NAME,DETAILS,TAXONOMY,LATITUDE_MEAN,LONGITUDE_MEAN,LATITUDE,LONGITUDE,PROVINCE,COUNTRY,COLLECTION,Genus,Rank,Infraspecific,Species,Taxon
CN 98995,'SD 1374 (Arny x 954) (1663 x 1134)',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 98996,'Nored x Bison N1P3',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 98997,'SP 1229',Linum usitatissimum L.,,,,,NA,NA,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 98960,'Ott 770B x Arg. 8C x (Arrow x C.I. 975)',Linum usitatissimum L.,43.796888,-80.561373,43.72878681,-80.94325881,Ontario,Canada,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 45371,'Andrew',Viburnum opulus L. var. americanum Aiton,,,,,NA,NA,PGRC,Viburnum,var.,americanum,Viburnum opulus,Viburnum opulus var. americanum
CN 45372,'Hahs',Viburnum opulus L. var. americanum Aiton,,,,,NA,NA,PGRC,Viburnum,var.,americanum,Viburnum opulus,Viburnum opulus var. americanum
CN 45373,'Wentworth',Viburnum opulus L. var. americanum Aiton,,,,,NA,NA,PGRC,Viburnum,var.,americanum,Viburnum opulus,Viburnum opulus var. americanum
CN 99593,Native 'BC Collection: Site 123',Fragaria virginiana Mill.,43.796888,-80.561373,43.67033627,-80.27940247,Ontario,Canada,CCG,Fragaria,,,Fragaria virginiana,Fragaria virginiana  
CN 44343,PGR 17911,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44344,PGR 17912,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44345,PGR 17913,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44346,PGR 17914,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44347,PGR 17915,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44348,PGR 17916,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44349,PGR 17917,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44350,PGR 17918,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44351,PGR 17919,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44352,PGR 17920,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44353,PGR 17921,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44354,PGR 17922,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44355,PGR 17923,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44356,PGR 17924,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44357,PGR 17925,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44358,PGR 17926,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44359,PGR 17927,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44360,PGR 17928,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44361,PGR 17929,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44362,PGR 17930,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44363,PGR 17931,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44364,PGR 17932,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44365,PGR 17933,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44366,PGR 17934,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44367,PGR 17935,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44368,PGR 17936,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44334,PGR 17898,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44335,PGR 17899,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44336,PGR 17900,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44337,PGR 17901,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44338,PGR 17902,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44339,PGR 17903,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44340,PGR 17904,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44341,PGR 17905,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 44342,PGR 17906,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 33381,PGR 5031,Lathyrus clymenum L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus clymenum,Lathyrus clymenum  
CN 33382,PGR 5033,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 33383,PGR 5034,Lathyrus ochroleucus Hook.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus ochroleucus,Lathyrus ochroleucus  
CN 32285,no. 817,Lathyrus sylvestris L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sylvestris,Lathyrus sylvestris  
CN 32287,No. 18,Lathyrus sylvestris L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sylvestris,Lathyrus sylvestris  
CN 37241,PGR 9965,Lathyrus spp.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus spp.,Lathyrus spp.  
CN 37242,PGR 9966,Lathyrus spp.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus spp.,Lathyrus spp.  
CN 32265,PGR 3706,Lathyrus sylvestris L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sylvestris,Lathyrus sylvestris  
CN 32270,No. 556,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 32271,No. 557,Lathyrus vernus (L.) Bernh.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus vernus,Lathyrus vernus  
CN 32272,PGR 3716,Lathyrus cirrhosus Ser.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus cirrhosus,Lathyrus cirrhosus  
CN 30400,WIR 926,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 30401,PGR 1096,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 30402,PGR 1097,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 30403,PGR 1098,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 30404,PGR 1099,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 30405,WIR 1196,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 30406,'Kinelskaja 7',Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 30407,'Krasnogradskaja 1',Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 30408,'Saranskaja Mestnaja',Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 30409,'Kormovaja 31',Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 30410,'Belianka',Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 30411,'Kubanskaja 492',Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 30336,NDL-34,Lathyrus ochroleucus Hook.,,,,,North Dakota,United States,PGRC,Lathyrus,,,Lathyrus ochroleucus,Lathyrus ochroleucus  
CN 29476,'Krasnogradskaya 1',Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 31935,PGR 3276,Lathyrus cirrhosus Ser.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus cirrhosus,Lathyrus cirrhosus  
CN 31936,PGR 3277,Lathyrus clymenum L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus clymenum,Lathyrus clymenum  
CN 31937,PGR 3278,Lathyrus odoratus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus odoratus,Lathyrus odoratus  
CN 31938,PGR 3279,Lathyrus rotundifolius Willd.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus rotundifolius,Lathyrus rotundifolius  
CN 31939,PGR 3280,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 31940,PGR 3281,Lathyrus tuberosus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus tuberosus,Lathyrus tuberosus  
CN 31941,PGR 3282,Lathyrus vernus (L.) Bernh. subsp. vernus,,,,,NA,NA,PGRC,Lathyrus,subsp.,vernus,Lathyrus vernus,Lathyrus vernus subsp. vernus
CN 31954,PGR 3299,Lathyrus sylvestris L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sylvestris,Lathyrus sylvestris  
CN 31960,PGR 3308,Lathyrus japonicus Willd. subsp. maritimus (L.) P. W. Ball,,,,,NA,NA,PGRC,Lathyrus,subsp.,maritimus,Lathyrus japonicus,Lathyrus japonicus subsp. maritimus
CN 31701,PGR 2976,Lathyrus heterophyllus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus heterophyllus,Lathyrus heterophyllus  
CN 31702,PGR 2977,Lathyrus heterophyllus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus heterophyllus,Lathyrus heterophyllus  
CN 31703,PGR 2978,Lathyrus latifolius L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus latifolius,Lathyrus latifolius  
CN 31704,PGR 2979,Lathyrus latifolius L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus latifolius,Lathyrus latifolius  
CN 31705,PGR 2980,Lathyrus laevigatus (Waldst. & Kit.) Gren.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus laevigatus,Lathyrus laevigatus  
CN 31706,PGR 2981,Lathyrus vernus (L.) Bernh.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus vernus,Lathyrus vernus  
CN 31707,PGR 2982,Lathyrus vernus (L.) Bernh.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus vernus,Lathyrus vernus  
CN 31965,PGR 3313,Lathyrus sylvestris L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sylvestris,Lathyrus sylvestris  
CN 31972,PGR 3321,Lathyrus clymenum L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus clymenum,Lathyrus clymenum  
CN 31980,PGR 3335,Lathyrus sylvestris L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sylvestris,Lathyrus sylvestris  
CN 31985,PGR 3342,Lathyrus sylvestris L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sylvestris,Lathyrus sylvestris  
CN 32527,No. 892,Lathyrus sylvestris L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sylvestris,Lathyrus sylvestris  
CN 31720,PGR 2999,Lathyrus latifolius L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus latifolius,Lathyrus latifolius  
CN 31721,PGR 3000,Lathyrus linifolius (Reichard) Bässler,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus linifolius,Lathyrus linifolius  
CN 31722,PGR 3001,Lathyrus pratensis L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus pratensis,Lathyrus pratensis  
CN 31723,PGR 3002,Lathyrus sylvestris L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sylvestris,Lathyrus sylvestris  
CN 32002,PGR 3364,Lathyrus sylvestris L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sylvestris,Lathyrus sylvestris  
CN 32010,PGR 3372,Lathyrus latifolius L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus latifolius,Lathyrus latifolius  
CN 31752,PGR 3036,Lathyrus sylvestris L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sylvestris,Lathyrus sylvestris  
CN 31753,PGR 3037,Lathyrus tuberosus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus tuberosus,Lathyrus tuberosus  
CN 32030,PGR 3395,Lathyrus aphaca L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus aphaca,Lathyrus aphaca  
CN 32031,PGR 3396,Lathyrus spp.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus spp.,Lathyrus spp.  
CN 31541,PGR 2774,Lathyrus niger (L.) Bernh.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus niger,Lathyrus niger  
CN 31542,PGR 2775,Lathyrus rotundifolius Willd.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus rotundifolius,Lathyrus rotundifolius  
CN 31791,PGR 3081,Lathyrus aphaca L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus aphaca,Lathyrus aphaca  
CN 31792,PGR 3082,Lathyrus latifolius L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus latifolius,Lathyrus latifolius  
CN 31793,PGR 3083,Lathyrus pratensis L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus pratensis,Lathyrus pratensis  
CN 31794,PGR 3084,Lathyrus sylvestris L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sylvestris,Lathyrus sylvestris  
CN 31839,PGR 3144,Lathyrus sylvestris L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sylvestris,Lathyrus sylvestris  
CN 31840,PGR 3145,Lathyrus tuberosus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus tuberosus,Lathyrus tuberosus  
CN 31841,PGR 3146,Lathyrus vernus (L.) Bernh.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus vernus,Lathyrus vernus  
CN 31592,PGR 2836,Lathyrus sylvestris L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sylvestris,Lathyrus sylvestris  
CN 31639,No. 369,Lathyrus sylvestris L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sylvestris,Lathyrus sylvestris  
CN 31867,PGR 3185,Lathyrus sylvestris L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sylvestris,Lathyrus sylvestris  
CN 31912,PGR 3249,Lathyrus pratensis L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus pratensis,Lathyrus pratensis  
CN 31913,PGR 3250,Lathyrus sylvestris L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sylvestris,Lathyrus sylvestris  
CN 31682,No. 287,Lathyrus sylvestris L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sylvestris,Lathyrus sylvestris  
CN 110456,NC8Q-3,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 110488,CN 110488,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 110489,CN 110489,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 110490,447,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 110491,448,Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 110526,'AC Greenfix',Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 110527,'NC8',Lathyrus sativus L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus sativus,Lathyrus sativus  
CN 108918,,Lathyrus ochroleucus Hook.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus ochroleucus,Lathyrus ochroleucus  
CN 99593,Native 'BC Collection: Site 123',Fragaria virginiana Mill.,43.796888,-80.561373,43.53586629,-80.9404088,Ontario,Canada,CCG,Fragaria,,,Fragaria virginiana,Fragaria virginiana  
CN 108104,PAK-66071,Lathyrus aphaca L.,,,,,NA,NA,PGRC,Lathyrus,,,Lathyrus aphaca,Lathyrus aphaca  
CN 105006,,Agrostis perennans (Walter) Tuck.,46.349807,-63.234534,46.48352421,-63.15536438,Prince Edward Island,Canada,PGRC,Agrostis,,,Agrostis perennans,Agrostis perennans  
CN 108938,,Agrostis perennans (Walter) Tuck.,46.349807,-63.234534,46.3132777,-63.20939165,Prince Edward Island,Canada,PGRC,Agrostis,,,Agrostis perennans,Agrostis perennans  
CN 102503,RIB0103,Ribes uva-crispa L.,45.378811,-72.949498,45.56085727,-72.76412395,Quebec,Canada,CCG,Ribes,,,Ribes uva-crispa,Ribes uva-crispa  
CN 32333,PGR 3789,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 32340,PGR 3797,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 35086,PGR 7209,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 35093,PGR 7216,Astragalus secundus DC.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus secundus,Astragalus secundus  
CN 40457,PGR 13494,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 40458,PGR 13495,Astragalus cicer L.,,,,,Krasnodar,Russian Federation,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 40459,PGR 13496,Astragalus asper Jacq.,,,,,Stavropol,Russian Federation,PGRC,Astragalus,,,Astragalus asper,Astragalus asper  
CN 40460,PGR 13497,Astragalus falcatus Lam.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus falcatus,Astragalus falcatus  
CN 40461,PGR 13498,Astragalus falcatus Lam.,,,,,Stavropol,Russian Federation,PGRC,Astragalus,,,Astragalus falcatus,Astragalus falcatus  
CN 40462,PGR 13499,Astragalus ponticus Pall.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus ponticus,Astragalus ponticus  
CN 40463,PGR 13500,Astragalus sulcatus L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus sulcatus,Astragalus sulcatus  
CN 32262,PGR 3702,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 30979,PGR 1886,Astragalus spp.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus spp.,Astragalus spp.  
CN 30980,PGR 1887,Astragalus spp.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus spp.,Astragalus spp.  
CN 34025,PGR 5805,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 34026,PGR 5806,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 33875,PGR 5612,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 31924,PGR 3264,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 31928,PGR 3268,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 31953,PGR 3298,Astragalus alpinus L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus alpinus,Astragalus alpinus  
CN 31963,PGR 3311,Astragalus echinatus Murray,,,,,NA,NA,PGRC,Astragalus,,,Astragalus echinatus,Astragalus echinatus  
CN 31969,PGR 3318,Astragalus alpinus L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus alpinus,Astragalus alpinus  
CN 31970,PGR 3319,Astragalus frigidus (L.) A. Gray,,,,,NA,NA,PGRC,Astragalus,,,Astragalus frigidus,Astragalus frigidus  
CN 31982,PGR 3337,Astragalus asper Jacq.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus asper,Astragalus asper  
CN 31983,PGR 3338,Astragalus norvegicus Weber,,,,,NA,NA,PGRC,Astragalus,,,Astragalus norvegicus,Astragalus norvegicus  
CN 32980,'Oxley',Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 32521,PGR 4023,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 32522,PGR 4024,Astragalus sikkimensis Benth. ex Bunge,,,,,NA,NA,PGRC,Astragalus,,,Astragalus sikkimensis,Astragalus sikkimensis  
CN 31714,PGR 2992,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 31715,PGR 2993,Astragalus falcatus Lam.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus falcatus,Astragalus falcatus  
CN 31716,PGR 2994,Astragalus gummifer Labill.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus gummifer,Astragalus gummifer  
CN 31717,PGR 2995,Astragalus purpureus Lam.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus purpureus,Astragalus purpureus  
CN 31742,PGR 3025,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 31743,PGR 3027,Astragalus galegiformis L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus galegiformis,Astragalus galegiformis  
CN 31744,PGR 3028,Astragalus sulcatus L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus sulcatus,Astragalus sulcatus  
CN 31994,PGR 3353,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 31770,PGR 3058,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 31781,PGR 3070,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 32756,PGR 4319,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 32757,PGR 4320,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 32758,PGR 4321,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 32769,PGR 4332,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 32055,PGR 3423,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 31540,PGR 2773,Astragalus penduliflorus Lam.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus penduliflorus,Astragalus penduliflorus  
CN 32810,PGR 4374,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 32603,PGR 4118,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 31788,PGR 3078,Astragalus glycyphyllos L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus glycyphyllos,Astragalus glycyphyllos  
CN 32372,PGR 3840,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 32382,PGR 3853,Astragalus glycyphyllos L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus glycyphyllos,Astragalus glycyphyllos  
CN 32389,PGR 3861,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 32399,PGR 3872,Astragalus sieversianus Pall.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus sieversianus,Astragalus sieversianus  
CN 32417,PGR 3891,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 31836,PGR 3141,Astragalus falcatus Lam.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus falcatus,Astragalus falcatus  
CN 31837,PGR 3142,Astragalus glycyphyllos L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus glycyphyllos,Astragalus glycyphyllos  
CN 31838,PGR 3143,Astragalus glycyphyllos L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus glycyphyllos,Astragalus glycyphyllos  
CN 31852,PGR 3163,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 32827,PGR 4393,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 32876,PGR 4463,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 31632,PGR 2889,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 31641,PGR 2902,Astragalus adsurgens Pall.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus adsurgens,Astragalus adsurgens  
CN 31642,PGR 2903,Astragalus americanus (Hook.) M. E. Jones,,,,,NA,NA,PGRC,Astragalus,,,Astragalus americanus,Astragalus americanus  
CN 32617,PGR 4156,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
CN 31857,PGR 3169,Astragalus cicer L.,,,,,NA,NA,PGRC,Astragalus,,,Astragalus cicer,Astragalus cicer  
