NAME,DETAILS,TAXONOMY,LATITUDE_MEAN,LONGITUDE_MEAN,LATITUDE,LONGITUDE,PROVINCE,COUNTRY,COLLECTION,Genus,Rank,Infraspecific,Species,Taxon
CN 37511,R-33,Astragalus americanus (Hook.) M. E. Jones,51.070358,-113.770527,50.88433159,-113.7576566,Alberta,Canada,PGRC,Astragalus,,,Astragalus americanus,Astragalus americanus  
CN 37513,R-34,Astragalus flexuosus (Hook.) Douglas ex G. Don,51.070358,-113.770527,50.36194482,-114.0366742,Alberta,Canada,PGRC,Astragalus,,,Astragalus flexuosus,Astragalus flexuosus  
CN 37515,R-30,Elymus canadensis L.,51.070358,-113.770527,51.25123866,-113.5110438,Alberta,Canada,PGRC,Elymus,,,Elymus canadensis,Elymus canadensis  
CN 37516,R-27a,Leymus innovatus (Beal) Pilg.,51.070358,-113.770527,50.93881104,-113.2826565,Alberta,Canada,PGRC,Leymus,,,Leymus innovatus,Leymus innovatus  
CN 37517,R-35,Linum lewisii Pursh,51.070358,-113.770527,51.36732616,-113.6489479,Alberta,Canada,PGRC,Linum,,,Linum lewisii,Linum lewisii  
CN 96645,FRA1664,Fragaria ×ananassa Duchesne ex Rozier,51.070358,-113.770527,51.16330014,-113.7137884,Alberta,Canada,CCG,Fragaria,,,Fragaria ×ananassa,Fragaria ×ananassa  
CN 97380,'Lethbridge Golden',Linum usitatissimum L.,51.070358,-113.770527,51.19212173,-114.5020941,Alberta,Canada,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 97571,'Cyprus',Linum usitatissimum L.,51.070358,-113.770527,51.05145838,-113.7459844,Alberta,Canada,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 97899,PI 523064,Linum usitatissimum L.,51.070358,-113.770527,51.08004433,-113.4168954,Alberta,Canada,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 98539,'F.V. 386.97 (F.P. 415)',Linum usitatissimum L.,51.070358,-113.770527,50.65522985,-114.1544647,Alberta,Canada,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 98844,PI 524113,Linum usitatissimum L.,51.070358,-113.770527,51.1262737,-113.8763024,Alberta,Canada,PGRC,Linum,,,Linum usitatissimum,Linum usitatissimum  
CN 100002,Native 'BC Collection: Site 108',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,49.223067,-122.455481,49.34923002,-122.6155836,British Columbia,Canada,CCG,Fragaria,subsp.,pacifica,Fragaria chiloensis,Fragaria chiloensis subsp. pacifica
CN 100005,Native 'BC Collection: Site 109 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,49.223067,-122.455481,49.06840333,-122.1765802,British Columbia,Canada,CCG,Fragaria,subsp.,pacifica,Fragaria chiloensis,Fragaria chiloensis subsp. pacifica
CN 100010,Native 'BC Collection: Site 19',Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt,49.223067,-122.455481,49.43117111,-122.468021,British Columbia,Canada,CCG,Fragaria,subsp.,cuneifolia,Fragaria ×ananassa,Fragaria ×ananassa subsp. cuneifolia
CN 100014,Native 'BC Collection: Site 109 A',Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt,49.223067,-122.455481,49.39833889,-122.1040779,British Columbia,Canada,CCG,Fragaria,subsp.,pacifica,Fragaria chiloensis,Fragaria chiloensis subsp. pacifica
