NAME,DETAILS,TAXONOMY,ORIGIN,COLLECTION
CN 97508,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97509,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97510,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97511,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97512,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97513,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97514,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97515,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97516,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97517,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97518,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97519,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97520,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97521,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97522,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97523,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97524,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97525,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97526,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97527,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97528,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97529,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97530,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97531,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97532,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97533,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97534,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97535,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97536,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97537,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97538,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97539,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97540,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97541,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97542,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97543,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97544,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97545,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97546,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97547,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97548,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97549,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97550,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97551,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97552,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97553,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97554,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97555,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97556,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97557,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97558,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97559,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97560,'North Africa',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97561,'Pale Blue',Linum usitatissimum L.,,PGRC
CN 97562,PI 522727,Linum usitatissimum L.,,PGRC
CN 97563,'Deep Pink',Linum usitatissimum L.,,PGRC
CN 97564,'Light Pink',Linum usitatissimum L.,,PGRC
CN 97565,'Argentine x Saginaw (116) F7',Linum usitatissimum L.,,PGRC
CN 97566,'Saginaw x Bombay F6',Linum usitatissimum L.,,PGRC
CN 97567,'Winona x Ottawa 770B F6',Linum usitatissimum L.,,PGRC
CN 97568,'Saginaw x Ottawa 770B F6',Linum usitatissimum L.,,PGRC
CN 97569,'Saginaw x Ottawa 770B F6',Linum usitatissimum L.,,PGRC
CN 97570,'Talmune',Linum usitatissimum L.,,PGRC
CN 97571,'Cyprus',Linum usitatissimum L.,"Alberta, Canada",PGRC
CN 97572,RIGO,Linum usitatissimum L.,,PGRC
CN 97573,'Argentine Sel. (Lavender)',Linum usitatissimum L.,,PGRC
CN 97574,'Pinnacle',Linum usitatissimum L.,,PGRC
CN 97575,'F.I. No. 3',Linum usitatissimum L.,,PGRC
CN 97576,'Peerless (fiber)',Linum usitatissimum L.,,PGRC
CN 97577,'Malabrigo Sel.',Linum usitatissimum L.,,PGRC
CN 97578,'L. Angustifolium',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97579,'Abyssinian Brown',Linum usitatissimum L.,Ethiopia,PGRC
CN 97580,'Moose',Linum usitatissimum L.,Australia,PGRC
CN 97581,'Argentine Sel.',Linum usitatissimum L.,,PGRC
CN 97582,'J.W.S.',Linum usitatissimum L.,Kenya,PGRC
CN 97583,'Kenya',Linum usitatissimum L.,Kenya,PGRC
CN 97584,'Minn. Sel. Winona x 770B F5',Linum usitatissimum L.,,PGRC
CN 97585,'Minn. Sel. Winona x 770B F5',Linum usitatissimum L.,,PGRC
CN 97586,'Long 66 (non-ciliate)',Linum usitatissimum L.,,PGRC
CN 97587,'Capa (Argentine)',Linum usitatissimum L.,,PGRC
CN 97588,'Capa 10',Linum usitatissimum L.,,PGRC
CN 97589,'Capa 11',Linum usitatissimum L.,,PGRC
CN 97590,'Beatall (Liral 2)',Linum usitatissimum L.,Ireland,PGRC
CN 97591,'Gossamer (Stormont)',Linum usitatissimum L.,Ireland,PGRC
CN 97592,'Smokey Golden',Linum usitatissimum L.,,PGRC
CN 97593,'Buda Sel.',Linum usitatissimum L.,,PGRC
CN 97594,'Sel. Rio C.I. 280 x C.I. 263',Linum usitatissimum L.,,PGRC
CN 97595,'Hyb. Sel. of 19x(19x(19x112)',Linum usitatissimum L.,,PGRC
CN 97596,'Sel. Buda (19 x 112)',Linum usitatissimum L.,,PGRC
CN 97597,'Sel. Buda x (19 x 112)',Linum usitatissimum L.,,PGRC
CN 97598,'Sel. Buda x (19 x 112)',Linum usitatissimum L.,,PGRC
CN 97599,'Sel. (19 x 112) x 19',Linum usitatissimum L.,,PGRC
CN 97600,'Winona x 770B',Linum usitatissimum L.,,PGRC
CN 97601,'Smokey Golden No. 1846',Linum usitatissimum L.,,PGRC
CN 97602,'N.D. 1844',Linum usitatissimum L.,,PGRC
CN 97603,'N.D. No. 1851',Linum usitatissimum L.,,PGRC
CN 97604,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97605,'noname',Linum usitatissimum L.,"Former, Soviet Union",PGRC
CN 97606,'noname',Linum usitatissimum L.,Spain,PGRC
CN 97607,'Indian commercial',Linum usitatissimum L.,India,PGRC
CN 97608,'Minn. Sel.',Linum usitatissimum L.,,PGRC
CN 97609,'Tammes Type 1',Linum usitatissimum L.,Netherlands,PGRC
CN 97610,'Tammes Type 2',Linum usitatissimum L.,Netherlands,PGRC
CN 97611,'Tammes Type 3',Linum usitatissimum L.,Netherlands,PGRC
CN 97612,'Tammes Type 4',Linum usitatissimum L.,Netherlands,PGRC
CN 97613,'Tammes Type 5',Linum usitatissimum L.,Netherlands,PGRC
CN 97614,'Tammes Type 10',Linum usitatissimum L.,Netherlands,PGRC
CN 97615,PI 522780,Linum usitatissimum L.,Netherlands,PGRC
CN 97616,'Tammes Type 12',Linum usitatissimum L.,Netherlands,PGRC
CN 97617,'Tammes Type 13',Linum usitatissimum L.,Netherlands,PGRC
CN 97618,PI 522783,Linum usitatissimum L.,,PGRC
CN 97619,'Sel. 9b',Linum usitatissimum L.,Uruguay,PGRC
CN 97620,'Sel. 12c12',Linum usitatissimum L.,Uruguay,PGRC
CN 97621,'Sel. Ar. (cross)',Linum usitatissimum L.,Uruguay,PGRC
CN 97622,'Sel. Am. (cross)',Linum usitatissimum L.,Uruguay,PGRC
CN 97623,'Repetible 117',Linum usitatissimum L.,Uruguay,PGRC
CN 97624,REPETIBLE 3/33,Linum usitatissimum L.,Uruguay,PGRC
CN 97625,'Risia',Linum usitatissimum L.,India,PGRC
CN 97626,'Ismailpur',Linum usitatissimum L.,India,PGRC
CN 97627,'Dorst F6',Linum usitatissimum L.,Netherlands,PGRC
CN 97628,INDIAN BOLD,Linum usitatissimum L.,India,PGRC
CN 97629,'Williston Brown',Linum usitatissimum L.,,PGRC
CN 97630,'Calif. No. 2',Linum usitatissimum L.,,PGRC
CN 97631,'Calif. No. 8',Linum usitatissimum L.,,PGRC
CN 97632,'(19 x 112) 19',Linum usitatissimum L.,,PGRC
CN 97633,'Royal',Linum usitatissimum L.,"Saskatchewan, Canada",PGRC
CN 97634,'Chinese Commercial',Linum usitatissimum L.,,PGRC
CN 97635,'Sel. of C.I. 161 (Nat. Hybrid)',Linum usitatissimum L.,,PGRC
CN 97636,'Sel. of C.I. 161 (Nat. Hybrid)',Linum usitatissimum L.,,PGRC
CN 97637,'Sel. of C.I. 161 (Nat. Hybrid)',Linum usitatissimum L.,,PGRC
CN 97638,'Sel. of C.I. 161 (Nat. Hybrid)',Linum usitatissimum L.,,PGRC
CN 97639,'Sel. of C.I. 161 (Nat. Hybrid)',Linum usitatissimum L.,,PGRC
CN 97640,'Leona',Linum usitatissimum L.,,PGRC
CN 97641,'Sel. Newland x Bison',Linum usitatissimum L.,,PGRC
CN 97642,'Renew',Linum usitatissimum L.,,PGRC
CN 97643,'dP x Lino Grande',Linum usitatissimum L.,,PGRC
CN 97644,'Sel. (19 x 112E) x Bison',Linum usitatissimum L.,,PGRC
CN 97645,'Koto',Linum usitatissimum L.,,PGRC
CN 97646,'Sel. 19 x 112',Linum usitatissimum L.,,PGRC
CN 97647,PI 522812,Linum usitatissimum L.,,PGRC
CN 97648,SEL BUDA X (19 X 112),Linum usitatissimum L.,,PGRC
CN 97649,'Sel. 176 x (19 x 112)',Linum usitatissimum L.,,PGRC
CN 97650,'Sel. Rio x Buda',Linum usitatissimum L.,,PGRC
CN 97651,'Sel. Rio x Buda',Linum usitatissimum L.,,PGRC
CN 97652,'Sel. Rio x Buda',Linum usitatissimum L.,,PGRC
CN 97653,'Sel. of C.I. 742',Linum usitatissimum L.,,PGRC
CN 97654,'Sel. of Agr. 1-25-70',Linum usitatissimum L.,,PGRC
CN 97655,'Sel. of H10-2-59-3:19x(19x19)x112',Linum usitatissimum L.,,PGRC
CN 97656,'Sel. of C.I. 115',Linum usitatissimum L.,,PGRC
CN 97657,'Ispayti',Linum usitatissimum L.,Turkey,PGRC
CN 97658,'Milas',Linum usitatissimum L.,Turkey,PGRC
CN 97659,'Aramas',Linum usitatissimum L.,Turkey,PGRC
CN 97660,'Lino 6899 M.A.',Linum usitatissimum L.,Argentina,PGRC
CN 97661,'Klein No. 11',Linum usitatissimum L.,Argentina,PGRC
CN 97662,'Sel. 22450/30',Linum usitatissimum L.,Argentina,PGRC
CN 97663,'Lineta',Linum usitatissimum L.,Argentina,PGRC
CN 97664,'Malabrigo',Linum usitatissimum L.,Argentina,PGRC
CN 97665,'Buda 80',Linum usitatissimum L.,,PGRC
CN 97666,PI 522831,Linum usitatissimum L.,,PGRC
CN 97667,'No. 5060 - 1937',Linum usitatissimum L.,,PGRC
CN 97668,'No. 5066 - 1937',Linum usitatissimum L.,,PGRC
CN 97669,'No. 5310 - 1937',Linum usitatissimum L.,,PGRC
CN 97670,'No. 5242 - 1937',Linum usitatissimum L.,,PGRC
CN 97671,'J.W.S.',Linum usitatissimum L.,"Ontario, Canada",PGRC
CN 97672,'Cirrus',Linum usitatissimum L.,"Ontario, Canada",PGRC
CN 97673,'(160 x 119) x 176',Linum usitatissimum L.,,PGRC
CN 97674,'Sel. Buda x (19 x 112)',Linum usitatissimum L.,,PGRC
CN 97675,'Sel. Buda x (19 x 112)',Linum usitatissimum L.,,PGRC
CN 97676,'Sel. Buda x (19 x 112)',Linum usitatissimum L.,,PGRC
CN 97677,'Sel. of H1-1-51-2',Linum usitatissimum L.,,PGRC
CN 97678,'Sel. of (19 x 112) x 19',Linum usitatissimum L.,,PGRC
CN 97679,'Sel. of C.I. 385',Linum usitatissimum L.,,PGRC
CN 97680,'Sel. of Agr. 1-25-70',Linum usitatissimum L.,,PGRC
CN 97681,'Nat. Hybrid of Redwing',Linum usitatissimum L.,,PGRC
CN 97682,PI 522847,Linum usitatissimum L.,,PGRC
CN 97683,PI 522848,Linum usitatissimum L.,,PGRC
CN 97684,'No. 7072 - 1938',Linum usitatissimum L.,,PGRC
CN 97685,PI 522850,Linum usitatissimum L.,,PGRC
CN 97686,PI 522851,Linum usitatissimum L.,,PGRC
CN 97687,'No. 7341 - 1938',Linum usitatissimum L.,,PGRC
CN 97688,'No. 6052 - 1938',Linum usitatissimum L.,,PGRC
CN 97689,'No. 6156 - 1938',Linum usitatissimum L.,,PGRC
CN 97690,PI 522855,Linum usitatissimum L.,,PGRC
CN 97691,'No. 6634 - 1938',Linum usitatissimum L.,,PGRC
CN 97692,'No. 6821 - 1938',Linum usitatissimum L.,,PGRC
CN 97693,'No. 6626 - 1938',Linum usitatissimum L.,,PGRC
CN 97694,'No. 7126 - 1938',Linum usitatissimum L.,,PGRC
CN 97695,'II-29-1 Bison x Redwing',Linum usitatissimum L.,,PGRC
CN 97696,'Bis. Rawg',Linum usitatissimum L.,,PGRC
CN 97697,'II-29-9 Bison x Redwing',Linum usitatissimum L.,,PGRC
CN 97698,'II-29-20',Linum usitatissimum L.,,PGRC
CN 97699,AVON,Linum usitatissimum L.,,PGRC
CN 97700,'Bison x Aby. Yellow',Linum usitatissimum L.,,PGRC
CN 97701,'Bison x Aby. Yellow',Linum usitatissimum L.,,PGRC
CN 97702,'Bison x Aby. Yellow',Linum usitatissimum L.,,PGRC
CN 97703,PI 522868,Linum usitatissimum L.,,PGRC
CN 97704,"'Sel. 2, Rio x C.I. 26, F7'",Linum usitatissimum L.,,PGRC
CN 97705,"'Sel. 7, Rio x C.I. 36, F7'",Linum usitatissimum L.,,PGRC
CN 97706,'Sel. 3 Bison x C.I. 36 F7',Linum usitatissimum L.,,PGRC
CN 97707,'noname',Linum usitatissimum L.,,PGRC
CN 97708,"'Sel. 2 1935, C.I. 36 x Bison, F7'",Linum usitatissimum L.,,PGRC
CN 97709,"'Sel. 4 1935, C.I. 36 x Bison, F7'",Linum usitatissimum L.,,PGRC
CN 97710,"'Sel. 1935, C.I. 36 x Bison, F7'",Linum usitatissimum L.,,PGRC
CN 97711,"'Sel. 8, 1935, C.I. 36 x Bison, F7'",Linum usitatissimum L.,,PGRC
CN 97712,"'Sel. 2, 1935, C.I. 36 x Bison, F8'",Linum usitatissimum L.,,PGRC
CN 97713,PI 522878,Linum usitatissimum L.,,PGRC
CN 97714,"'C.I. 300 x 355, F8'",Linum usitatissimum L.,,PGRC
CN 97715,"'C.I. 300 x 355, F8'",Linum usitatissimum L.,,PGRC
CN 97716,PI 522881,Linum usitatissimum L.,,PGRC
CN 97717,'Argentine C.I. 342 x B. Golden',Linum usitatissimum L.,,PGRC
CN 97718,"'C.I. 342 x 644, F8 Sel. 6'",Linum usitatissimum L.,,PGRC
CN 97719,"'C.I. 342 x 644, F8 Sel. 7'",Linum usitatissimum L.,,PGRC
CN 97720,'B. Golden x Redwing (644 x 320) F8',Linum usitatissimum L.,,PGRC
CN 97721,'B. Golden x Redwing (644 x 320) F8',Linum usitatissimum L.,,PGRC
CN 97722,'B. Golden x Redwing (644 x 320) F8',Linum usitatissimum L.,,PGRC
CN 97723,'B. Golden x Redwing (644 x 320) F8',Linum usitatissimum L.,,PGRC
CN 97724 01,,Linum usitatissimum L.,,PGRC
CN 97725,'B. Golden x Redwing (644 x 320) F8',Linum usitatissimum L.,,PGRC
CN 97726,'B. Golden x Redwing (644 x 320) F8',Linum usitatissimum L.,,PGRC
CN 97727,'B. Golden x Redwing (644 x 320) F8',Linum usitatissimum L.,,PGRC
CN 97728,'B. Golden x Bison (644 x 389)',Linum usitatissimum L.,,PGRC
CN 97729,'B. Golden x Bison (644 x 389)',Linum usitatissimum L.,,PGRC
CN 97730,PI 522895,Linum usitatissimum L.,,PGRC
CN 97731,'B. Golden x Bison (644 x 389)',Linum usitatissimum L.,,PGRC
CN 97732,'B. Golden x Bison (644 x 389)',Linum usitatissimum L.,,PGRC
CN 97733,'B. Golden x Bison (644 x 389)',Linum usitatissimum L.,,PGRC
CN 97734,'B. Golden x Bison (644 x 389)',Linum usitatissimum L.,,PGRC
CN 97735,'B. Golden x Bison (644 x 389)',Linum usitatissimum L.,,PGRC
CN 97736,PI 522901,Linum usitatissimum L.,,PGRC
CN 97737,PI 522902,Linum usitatissimum L.,,PGRC
CN 97738,'Bison x Rio',Linum usitatissimum L.,,PGRC
CN 97739,'Bison x Rio',Linum usitatissimum L.,,PGRC
CN 97740,'Redson',Linum usitatissimum L.,,PGRC
CN 97741,'Bison x Redwing II-29-8',Linum usitatissimum L.,,PGRC
CN 97742,'Bison x Redwing II-29-17',Linum usitatissimum L.,,PGRC
CN 97743,PI 522908,Linum usitatissimum L.,,PGRC
CN 97744,"'Sel. B. Golden, R557'",Linum usitatissimum L.,,PGRC
CN 97745,PI 522910,Linum usitatissimum L.,,PGRC
CN 97746,'Buda x Arg. No. 1',Linum usitatissimum L.,,PGRC
CN 97747,'B5128 (Golden x Rio)',Linum usitatissimum L.,,PGRC
CN 97748,'Viking',Linum usitatissimum L.,,PGRC
CN 97749,'Crystal',Linum usitatissimum L.,,PGRC
CN 97750,'Bison x 649',Linum usitatissimum L.,,PGRC
CN 97751,"'Bison x 649, II-31-2'",Linum usitatissimum L.,,PGRC
CN 97752,'Bison x 649',Linum usitatissimum L.,,PGRC
CN 97753,PI 522918,Linum usitatissimum L.,,PGRC
CN 97754,'DeSanare',Linum usitatissimum L.,Argentina,PGRC
CN 97755,'Lineta Z195',Linum usitatissimum L.,Argentina,PGRC
CN 97756,'Italia Roma',Linum usitatissimum L.,Argentina,PGRC
CN 97757,'Ewigen 180',Linum usitatissimum L.,Germany,PGRC
CN 97758,'Ps 1600',Linum usitatissimum L.,Germany,PGRC
CN 97759,'Ci-1',Linum usitatissimum L.,Germany,PGRC
CN 97760,'Ewigen 100',Linum usitatissimum L.,Germany,PGRC
CN 97761,'Indian 12-12',Linum usitatissimum L.,,PGRC
CN 97762,'Maimana',Linum usitatissimum L.,Afghanistan,PGRC
CN 97763,'Tash',Linum usitatissimum L.,Afghanistan,PGRC
CN 97764,'Buda 80 x (Rio x B. Golden)',Linum usitatissimum L.,,PGRC
CN 97765,"'Primavera, E112'",Linum usitatissimum L.,Portugal,PGRC
CN 97766,PI 522931,Linum usitatissimum L.,Portugal,PGRC
CN 97767,PI 522932,Linum usitatissimum L.,Portugal,PGRC
CN 97768,"'Mourisco, E730'",Linum usitatissimum L.,Portugal,PGRC
CN 97769,"'Abertico, E978 (Crepitans)'",Linum usitatissimum L.,Portugal,PGRC
CN 97770,"'Mourisco, E1772'",Linum usitatissimum L.,Portugal,PGRC
CN 97771,'(Diadem x N.D.R. 52) x Bis.',Linum usitatissimum L.,"Ontario, Canada",PGRC
CN 97772,'Can. 3209',Linum usitatissimum L.,"Ontario, Canada",PGRC
CN 97773,'noname',Linum usitatissimum L.,"Ontario, Canada",PGRC
CN 97774,'Newland x E. 19/112',Linum usitatissimum L.,,PGRC
CN 97775,'Zenith',Linum usitatissimum L.,,PGRC
CN 97776,'(E19 x 112) x Bison',Linum usitatissimum L.,,PGRC
CN 97777,'(19 x 112) x Bison',Linum usitatissimum L.,,PGRC
CN 97778,'Newland x (19 x 112)',Linum usitatissimum L.,,PGRC
CN 97779,'Newbud',Linum usitatissimum L.,,PGRC
CN 97780,'Nurs. 38-2205',Linum usitatissimum L.,,PGRC
CN 97781,'Bay Korol',Linum usitatissimum L.,Turkey,PGRC
CN 97782,'C.I. 355 x Bison',Linum usitatissimum L.,,PGRC
CN 97783,'C.I. 355 x Bison',Linum usitatissimum L.,,PGRC
CN 97784,'C.I. 355 x Bison',Linum usitatissimum L.,,PGRC
CN 97785,'C.I. 355 x Bison',Linum usitatissimum L.,,PGRC
CN 97786,'C.I. 355 x Bison',Linum usitatissimum L.,,PGRC
CN 97787,'C.I. 355 x Bison',Linum usitatissimum L.,,PGRC
CN 97788,PI 522953,Linum usitatissimum L.,,PGRC
CN 97789,PI 522954,Linum usitatissimum L.,,PGRC
CN 97790,'C.I. 355 x Bison',Linum usitatissimum L.,,PGRC
CN 97791,PI 522956,Linum usitatissimum L.,,PGRC
CN 97792,'Bolley Sel. 5615',Linum usitatissimum L.,,PGRC
CN 97793,"'291 -'27 x Smokey Golden, B41-2603'",Linum usitatissimum L.,,PGRC
CN 97794,PI 522959,Linum usitatissimum L.,,PGRC
CN 97795,'J.W.S. x Bison (E 6-3-1)',Linum usitatissimum L.,,PGRC
CN 97796,'76 x Buda 80',Linum usitatissimum L.,,PGRC
CN 97797,"'Koto x Redwing, Sel. 4014'",Linum usitatissimum L.,,PGRC
CN 97798,"'Koto x Redwing, Sel. 4025'",Linum usitatissimum L.,,PGRC
CN 97799,"'Koto x Redwing, Sel. 4028'",Linum usitatissimum L.,,PGRC
CN 97800,"'Koto x Buda 80, Sel. 4031'",Linum usitatissimum L.,,PGRC
CN 97801,PI 522966,Linum usitatissimum L.,,PGRC
CN 97802,'C.I. 679 x Bison (II-33-p45)',Linum usitatissimum L.,,PGRC
CN 97803,'C.I. 679 x Bison (II-33-p51)',Linum usitatissimum L.,,PGRC
CN 97804,'C.I. 679 x Bison (II-33-p58)',Linum usitatissimum L.,,PGRC
CN 97805,'Liral Dominion',Linum usitatissimum L.,"Ontario, Canada",PGRC
CN 97806,'Liral Monarch - Ottawa',Linum usitatissimum L.,,PGRC
CN 97807,'Cirrus',Linum usitatissimum L.,,PGRC
CN 97808,'Koto x Bison F4 (D40-8)',Linum usitatissimum L.,,PGRC
CN 97809,'Koto x Redwing F4 (D40-18)',Linum usitatissimum L.,,PGRC
CN 97810,'Koto x Renew F4 (D40-27)',Linum usitatissimum L.,,PGRC
CN 97811,'Koto x Renew F4 (D40-30)',Linum usitatissimum L.,,PGRC
CN 97812,'Koto x Bison F4 (D40-10)',Linum usitatissimum L.,,PGRC
CN 97813,'Renew x Bison',Linum usitatissimum L.,,PGRC
CN 97814,'Arrow',Linum usitatissimum L.,,PGRC
CN 97815,'Dakota',Linum usitatissimum L.,,PGRC
CN 97816,PI 522981,Linum usitatissimum L.,,PGRC
CN 97817,STAMM NO 8,Linum usitatissimum L.,,PGRC
CN 97818,'Renew x Koto',Linum usitatissimum L.,,PGRC
CN 97819,'Liral Crown',Linum usitatissimum L.,Canada,PGRC
CN 97820,'Koto x Rdwy.',Linum usitatissimum L.,,PGRC
CN 97821,PI 522986,Linum usitatissimum L.,,PGRC
CN 97822,'Sel. 80.29.25',Linum usitatissimum L.,,PGRC
CN 97823,'Sel. 80.377.4',Linum usitatissimum L.,,PGRC
CN 97824,PI 522989,Linum usitatissimum L.,,PGRC
CN 97825,"'649 x Bison 4, Comp. A. ""Minerva""'",Linum usitatissimum L.,,PGRC
CN 97826,PI 522991,Linum usitatissimum L.,,PGRC
CN 97827,CUSTER,Linum usitatissimum L.,,PGRC
CN 97828,PI 522993,Linum usitatissimum L.,,PGRC
CN 97829,PI 522994,Linum usitatissimum L.,,PGRC
CN 97830,PI 522995,Linum usitatissimum L.,,PGRC
CN 97831,PI 522996,Linum usitatissimum L.,,PGRC
CN 97832,PI 522997,Linum usitatissimum L.,,PGRC
CN 97833,'Renew x Bison F5',Linum usitatissimum L.,,PGRC
CN 97834,'Renew x Bison F5',Linum usitatissimum L.,,PGRC
CN 97835,'Renew x Bison F5',Linum usitatissimum L.,,PGRC
CN 97836,PI 523001,Linum usitatissimum L.,,PGRC
CN 97837,'Renew x Koto F5',Linum usitatissimum L.,,PGRC
CN 97838,'Renew x Redwing F5',Linum usitatissimum L.,,PGRC
CN 97839,'Renew x Redwing F5',Linum usitatissimum L.,,PGRC
CN 97840,'Koto x C.I. 914',Linum usitatissimum L.,,PGRC
CN 97841,'Sib E x 914',Linum usitatissimum L.,,PGRC
CN 97842,'Ottawa 770B x Bison F5',Linum usitatissimum L.,,PGRC
CN 97843,'Klein No. 11',Linum usitatissimum L.,Argentina,PGRC
CN 97844,'6953/40',Linum usitatissimum L.,Argentina,PGRC
CN 97845,'6962/40',Linum usitatissimum L.,Argentina,PGRC
CN 97846,'7223/40',Linum usitatissimum L.,Argentina,PGRC
CN 97847,'6916/40',Linum usitatissimum L.,Argentina,PGRC
CN 97848,'7528/40',Linum usitatissimum L.,Argentina,PGRC
CN 97849,'7167/40',Linum usitatissimum L.,Argentina,PGRC
CN 97850,'6925/40',Linum usitatissimum L.,Argentina,PGRC
CN 97851,'No. 84-i',Linum usitatissimum L.,Uruguay,PGRC
CN 97852,'Repetible 117',Linum usitatissimum L.,Uruguay,PGRC
CN 97853,"'""Ar""'",Linum usitatissimum L.,Uruguay,PGRC
CN 97854,'No. 204',Linum usitatissimum L.,Uruguay,PGRC
CN 97855,'Argentine Sel. G5',Linum usitatissimum L.,,PGRC
CN 97856,"'Punjab, Sel. G18'",Linum usitatissimum L.,,PGRC
CN 97857,'Imperial',Linum usitatissimum L.,,PGRC
CN 97858,'Punjab 47',Linum usitatissimum L.,,PGRC
CN 97859,'C.I. 975 x 1073',Linum usitatissimum L.,,PGRC
CN 97860,"'Crystal x Redson, (II-41-2)'",Linum usitatissimum L.,,PGRC
CN 97861,'C.I. 980 x Redson (II-41-5)',Linum usitatissimum L.,,PGRC
CN 97862,'Biwing x C.I. 980 (II-40-40)',Linum usitatissimum L.,,PGRC
CN 97863,PI 523028,Linum usitatissimum L.,,PGRC
CN 97864,"'Sheyenne x 975, F3 (W18-34)'",Linum usitatissimum L.,,PGRC
CN 97865,'(Bison x J.W.S.) x 1073 (W17-8-7)',Linum usitatissimum L.,,PGRC
CN 97866,'(Bison x J.W.S.) x 1073 (W17-3-3)',Linum usitatissimum L.,,PGRC
CN 97867,'(Bison x J.W.S.) x 1073 (W17-22-1)',Linum usitatissimum L.,,PGRC
CN 97868,'Sheyenne x C.I. 975',Linum usitatissimum L.,,PGRC
CN 97869,PI 523034,Linum usitatissimum L.,,PGRC
CN 97870,'Minn. II-36-p255',Linum usitatissimum L.,,PGRC
CN 97871,'Atlas (fiber)',Linum usitatissimum L.,Sweden,PGRC
CN 97872,'(J.W.S. x Bison) x Sheyenne',Linum usitatissimum L.,,PGRC
CN 97873,'REDWOOD',Linum usitatissimum L.,,PGRC
CN 97874,'Biwing x C.I. 980 (II-40-33)',Linum usitatissimum L.,,PGRC
CN 97875,'Biwing X C.I. 980 (ii-40-41)',Linum usitatissimum L.,,PGRC
CN 97876,'Rocket (Arg. 8C x Rdwg)',Linum usitatissimum L.,"Ontario, Canada",PGRC
CN 97877,'(644 x 1049) x Sheyenne',Linum usitatissimum L.,,PGRC
CN 97878,'Victory Sel. 3254',Linum usitatissimum L.,,PGRC
