"","ACCESSION","NAME","TAXONOMY","ORIGIN","REPOSITORY","RECEIVED","COORDINATES","Taxon","Genus","Species","Rank","Infraspecific"
"419","PI 603137","G 25456","Agastache foeniculum (Pursh) Kuntze","Manitoba, Canada","NC7",1993,"49.18333333, -98.10000000","Agastache foeniculum  ","Agastache","Agastache foeniculum","",""
"420","PI 607413","880365","Alnus incana (L.) Moench subsp. rugosa (Du Roi) R. T. Clausen","Ontario, Canada","NC7",1990,"44.86666667, -76.76666667","Alnus incana Subsp. rugosa","Alnus","Alnus incana","Subsp.","rugosa"
"421","PI 607440","No. 143","Spiraea alba Du Roi","Ontario, Canada","NC7",1993,"","Spiraea alba  ","Spiraea","Spiraea alba","",""
"422","PI 608663","AMA 66/89","Amaranthus blitoides S. Watson","Canada","NC7",1990,"","Amaranthus blitoides  ","Amaranthus","Amaranthus blitoides","",""
"423","PI 610981","T-1046","Elymus elymoides (Raf.) Swezey subsp. brevifolius (J. G. Sm.) Barkworth","Alberta, Canada","W6",1995,"50.24416667, -110.76166667","Elymus elymoides Subsp. brevifolius","Elymus","Elymus elymoides","Subsp.","brevifolius"
"424","PI 611151","T-920","Elymus elymoides (Raf.) Swezey subsp. brevifolius (J. G. Sm.) Barkworth","Alberta, Canada","W6",1995,"49.98916667, -112.50750000","Elymus elymoides Subsp. brevifolius","Elymus","Elymus elymoides","Subsp.","brevifolius"
"425","PI 613030","Index Seminum 410","Parthenocissus inserta (A. Kern.) Fritsch","Québec, Canada","NC7",1990,"46.60000000, -72.08333333","Parthenocissus inserta  ","Parthenocissus","Parthenocissus inserta","",""
"426","PI 613034","Index Seminum 344","Spiraea betulifolia Pall.","British Columbia, Canada","NC7",1996,"51.76666667, -120.01666667","Spiraea betulifolia  ","Spiraea","Spiraea betulifolia","",""
"427","PI 613037","Index Seminum 19","Symphoricarpos occidentalis Hook.","Manitoba, Canada","NC7",1990,"50.33333333, -99.00000000","Symphoricarpos occidentalis  ","Symphoricarpos","Symphoricarpos occidentalis","",""
"428","PI 613757","MAX-2288","Helianthus maximiliani Schrad.","Manitoba, Canada","NC7",1994,"51.53361111, -100.00805556","Helianthus maximiliani  ","Helianthus","Helianthus maximiliani","",""
"429","PI 616649","F. hybrid - chiloensis x virginiana intr","Fragaria  hybr.","British Columbia, Canada","COR",1994,"49.00000000, -124.50000000","Fragaria hybr.  ","Fragaria","Fragaria hybr.","",""
"430","PI 616650","F. x cuneifolia Sproat Lake","Fragaria ×ananassa Duchesne ex Rozier nothosubsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","COR",1994,"49.15000000, -124.50000000","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"431","PI 616651","F. vesca f. bracteata","Fragaria vesca L. subsp. bracteata (A. Heller) Staudt f. bracteata (A. Heller) Staudt","British Columbia, Canada","COR",1994,"49.15000000, -124.50000000","Fragaria vesca Subsp. bracteata","Fragaria","Fragaria vesca","Subsp.","bracteata"
"432","PI 616652","F. chiloensis","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","COR",1994,"48.75000000, -125.50000000","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"433","PI 616653","F. chiloensis subsp. pacifica KH 94-07","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","COR",1994,"48.75000000, -125.50000000","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"434","PI 616675","F. virginiana subsp. virginiana N-2","Fragaria virginiana Mill. subsp. virginiana","Québec, Canada","COR",1994,"49.09867800, -66.51042800","Fragaria virginiana Subsp. virginiana","Fragaria","Fragaria virginiana","Subsp.","virginiana"
"435","PI 616676","F. virginiana subsp. virginiana N-8","Fragaria virginiana Mill. subsp. virginiana","Québec, Canada","COR",1994,"49.10355600, -66.50911000","Fragaria virginiana Subsp. virginiana","Fragaria","Fragaria virginiana","Subsp.","virginiana"
"436","PI 616677","F. virginiana subsp. virginiana N-15","Fragaria virginiana Mill. subsp. virginiana","Québec, Canada","COR",1994,"49.09867800, -66.51042800","Fragaria virginiana Subsp. virginiana","Fragaria","Fragaria virginiana","Subsp.","virginiana"
"437","PI 616678","F. virginiana subsp. virginiana N-8","Fragaria virginiana Mill. subsp. virginiana","Québec, Canada","COR",1994,"49.09867800, -66.51042800","Fragaria virginiana Subsp. virginiana","Fragaria","Fragaria virginiana","Subsp.","virginiana"
"438","PI 616679","F. virginiana subsp. virginiana N-9","Fragaria virginiana Mill. subsp. virginiana","Québec, Canada","COR",1994,"49.09867800, -66.51042800","Fragaria virginiana Subsp. virginiana","Fragaria","Fragaria virginiana","Subsp.","virginiana"
"439","PI 616728","F. vesca","Fragaria vesca L.","Ontario, Canada","COR",1995,"44.91250000, -76.48889000","Fragaria vesca  ","Fragaria","Fragaria vesca","",""
"440","PI 616729","F. virginiana subsp. virginiana SP3 Perth Ontario","Fragaria virginiana Mill. subsp. virginiana","Ontario, Canada","COR",1995,"44.91250000, -76.48889000","Fragaria virginiana Subsp. virginiana","Fragaria","Fragaria virginiana","Subsp.","virginiana"
"441","PI 616730","F. virginiana subsp. virginiana SP5 Ontario","Fragaria virginiana Mill. subsp. virginiana","Ontario, Canada","COR",1995,"45.33333000, -75.83333000","Fragaria virginiana Subsp. virginiana","Fragaria","Fragaria virginiana","Subsp.","virginiana"
"442","PI 618504","R. strigosus British Columbia","Rubus idaeus L. subsp. strigosus (Michx.) Focke","British Columbia, Canada","COR",1992,"55.90000000, -129.98333000","Rubus idaeus Subsp. strigosus","Rubus","Rubus idaeus","Subsp.","strigosus"
"443","PI 618691","890414","Cornus drummondii C. A. Mey.","Ontario, Canada","NC7",1990,"41.73333333, -82.68333333","Cornus drummondii  ","Cornus","Cornus drummondii","",""
"444","PI 618718","860013","Staphylea trifolia L. f. pyriformis Dore","Ontario, Canada","NC7",1988,"45.26666667, -75.75000000","Staphylea trifolia  ","Staphylea","Staphylea trifolia","",""
"445","PI 619305","P. incanum Ontario","Pycnanthemum incanum Michx.","Ontario, Canada","COR",1990,"43.30000000, -79.75000000","Pycnanthemum incanum  ","Pycnanthemum","Pycnanthemum incanum","",""
"446","PI 631248","890438","Cornus drummondii C. A. Mey.","Ontario, Canada","NC7",1990,"42.55000000, -81.56666667","Cornus drummondii  ","Cornus","Cornus drummondii","",""
"447","PI 631569","1860","Medicago sativa L. subsp. falcata (L.) Arcang.","Alberta, Canada","W6",1990,"","Medicago sativa Subsp. falcata","Medicago","Medicago sativa","Subsp.","falcata"
"448","PI 631570","1863","Medicago sativa L. subsp. falcata (L.) Arcang.","Alberta, Canada","W6",1990,"","Medicago sativa Subsp. falcata","Medicago","Medicago sativa","Subsp.","falcata"
"449","PI 632003","503","Medicago sativa L. subsp. sativa","Alberta, Canada","W6",1990,"","Medicago sativa Subsp. sativa","Medicago","Medicago sativa","Subsp.","sativa"
"450","PI 632015","526","Medicago sativa L. subsp. sativa","Alberta, Canada","W6",1990,"","Medicago sativa Subsp. sativa","Medicago","Medicago sativa","Subsp.","sativa"
"451","PI 632016","527","Medicago sativa L. subsp. sativa","Alberta, Canada","W6",1990,"","Medicago sativa Subsp. sativa","Medicago","Medicago sativa","Subsp.","sativa"
"452","PI 632521","T-908","Nassella viridula (Trin.) Barkworth","Alberta, Canada","W6",1998,"49.80000000, -114.15000000","Nassella viridula  ","Nassella","Nassella viridula","",""
"453","PI 633218","BCN 3064","Eruca vesicaria (L.) Cav.","Canada","NC7",1991,"","Eruca vesicaria  ","Eruca","Eruca vesicaria","",""
"454","PI 633342","Yellow 2","Sinapis alba L.","Canada","NC7",1992,"","Sinapis alba  ","Sinapis","Sinapis alba","",""
"455","PI 633580","AMA 65","Amaranthus albus L.","Saskatchewan, Canada","NC7",1990,"50.13333333, -102.66666667","Amaranthus albus  ","Amaranthus","Amaranthus albus","",""
"456","PI 634031","2287","Medicago sativa L. subsp. falcata (L.) Arcang.","Alberta, Canada","W6",1990,"","Medicago sativa Subsp. falcata","Medicago","Medicago sativa","Subsp.","falcata"
"457","PI 636387","Index Seminum 343","Spiraea alba Du Roi","Alberta, Canada","NC7",1996,"53.33333333, -113.53333333","Spiraea alba  ","Spiraea","Spiraea alba","",""
"458","PI 636606","T-915","Nassella viridula (Trin.) Barkworth","Alberta, Canada","W6",1998,"","Nassella viridula  ","Nassella","Nassella viridula","",""
"459","PI 636607","T-916","Nassella viridula (Trin.) Barkworth","Alberta, Canada","W6",1998,"49.71666667, -112.96666667","Nassella viridula  ","Nassella","Nassella viridula","",""
"460","PI 636608","T-919","Nassella viridula (Trin.) Barkworth","Alberta, Canada","W6",1998,"49.81666667, -112.16666667","Nassella viridula  ","Nassella","Nassella viridula","",""
"461","PI 636609","T-922","Nassella viridula (Trin.) Barkworth","Alberta, Canada","W6",1998,"50.25000000, -112.08333333","Nassella viridula  ","Nassella","Nassella viridula","",""
"462","PI 641697","56","Shepherdia argentea (Pursh) Nutt.","Canada","NC7",1990,"50.33333333, -99.00000000","Shepherdia argentea  ","Shepherdia","Shepherdia argentea","",""
"463","PI 649154","BCN 3023","Brassica nigra (L.) W. D. J. Koch","Ontario, Canada","NC7",1991,"","Brassica nigra  ","Brassica","Brassica nigra","",""
"464","PI 649505","41","Sium suave Walter","Québec, Canada","NC7",1996,"","Sium suave  ","Sium","Sium suave","",""
"465","PI 649711","Index Seminum 323","Potentilla argentea L.","British Columbia, Canada","NC7",1996,"55.08333333, -128.11666667","Potentilla argentea  ","Potentilla","Potentilla argentea","",""
"466","PI 649712","Index Seminum 177","Potentilla argentea L.","Québec, Canada","NC7",1996,"","Potentilla argentea  ","Potentilla","Potentilla argentea","",""
"467","PI 649719","Index Seminum 382","Potentilla gracilis Douglas ex Hook.","Alberta, Canada","NC7",1998,"49.10000000, -112.98333333","Potentilla gracilis  ","Potentilla","Potentilla gracilis","",""
"468","PI 649726","Index Seminum 385","Potentilla pensylvanica L.","Alberta, Canada","NC7",1998,"49.10000000, -112.98333333","Potentilla pensylvanica  ","Potentilla","Potentilla pensylvanica","",""
"469","PI 649727","138","Potentilla recta L.","Ontario, Canada","NC7",1993,"","Potentilla recta  ","Potentilla","Potentilla recta","",""
"470","PI 649729","Index Seminum 325","Potentilla recta L.","British Columbia, Canada","NC7",1996,"51.38333333, -119.45000000","Potentilla recta  ","Potentilla","Potentilla recta","",""
"471","PI 649970","No.101","Helianthus decapetalus L.","Québec, Canada","NC7",1992,"45.50000000, -73.60000000","Helianthus decapetalus  ","Helianthus","Helianthus decapetalus","",""
"472","PI 649971","Index Seminum 18","Helianthus decapetalus L.","Ontario, Canada","NC7",1993,"42.71666667, -81.48333333","Helianthus decapetalus  ","Helianthus","Helianthus decapetalus","",""
"473","PI 649984","Index Seminum 19","Helianthus giganteus L.","Ontario, Canada","NC7",1993,"42.03333333, -82.88333333","Helianthus giganteus  ","Helianthus","Helianthus giganteus","",""
"474","PI 650024","Index Seminum 344","Helianthus nuttallii Torr. & A. Gray","Alberta, Canada","NC7",1998,"19.06666667, -112.91666667","Helianthus nuttallii  ","Helianthus","Helianthus nuttallii","",""
"475","PI 650026","PAU-2291","Helianthus pauciflorus Nutt.","Saskatchewan, Canada","NC7",1994,"52.14500000, -106.37916667","Helianthus pauciflorus  ","Helianthus","Helianthus pauciflorus","",""
"476","PI 650027","PAU-2324","Helianthus pauciflorus Nutt.","Manitoba, Canada","NC7",1994,"50.01750000, -100.26250000","Helianthus pauciflorus  ","Helianthus","Helianthus pauciflorus","",""
"477","PI 650106","TUB-2329","Helianthus tuberosus L.","Manitoba, Canada","NC7",1994,"49.01250000, -100.34277778","Helianthus tuberosus  ","Helianthus","Helianthus tuberosus","",""
"478","PI 650243","BCN 8030","Erucastrum strigosum (Thunb.) O. E. Schulz","Canada","NC7",1991,"","Erucastrum strigosum  ","Erucastrum","Erucastrum strigosum","",""
"479","PI 652094","No. 046","Pastinaca sativa L.","Québec, Canada","NC7",1993,"","Pastinaca sativa  ","Pastinaca","Pastinaca sativa","",""
"480","PI 656818","Index Seminum 356","Physocarpus opulifolius (L.) Maxim.","Québec, Canada","NC7",1990,"","Physocarpus opulifolius  ","Physocarpus","Physocarpus opulifolius","",""
"481","PI 656819","Index Seminum 48","Physocarpus opulifolius (L.) Maxim.","Ontario, Canada","NC7",1993,"42.71666667, -81.48333333","Physocarpus opulifolius  ","Physocarpus","Physocarpus opulifolius","",""
"482","PI 658652","Index Seminum 8","Rhus typhina L.","Ontario, Canada","NC7",1993,"43.81666667, -79.18333333","Rhus typhina  ","Rhus","Rhus typhina","",""
"483","PI 664318","F. virginiana subsp. virginiana [formerly multicipita]","Fragaria virginiana Mill. subsp. virginiana","Québec, Canada","COR",1994,"49.09867800, -66.51042800","Fragaria virginiana Subsp. virginiana","Fragaria","Fragaria virginiana","Subsp.","virginiana"
"484","PI 664624","TUB-2282","Helianthus tuberosus L.","Manitoba, Canada","NC7",1994,"49.39833333, -98.69472222","Helianthus tuberosus  ","Helianthus","Helianthus tuberosus","",""
"485","PI 667507","405","Verbena urticifolia L.","Québec, Canada","OPGC",1990,"","Verbena urticifolia  ","Verbena","Verbena urticifolia","",""
"486","PI 673144","TUB-2278","Helianthus tuberosus L.","Manitoba, Canada","NC7",1994,"49.11666667, -99.33555556","Helianthus tuberosus  ","Helianthus","Helianthus tuberosus","",""
"487","PI 673145","Index Seminum 14","Helianthus giganteus L.","Ontario, Canada","NC7",1996,"42.25000000, -83.08333333","Helianthus giganteus  ","Helianthus","Helianthus giganteus","",""
"488","W6 14644","Acc:314","Leymus cinereus (Scribn. & Merr.) Á. Löve","Alberta, Canada","W6",1993,"","Leymus cinereus  ","Leymus","Leymus cinereus","",""
"489","W6 4578","2044","Medicago lupulina L.","Ontario, Canada","W6",1990,"","Medicago lupulina  ","Medicago","Medicago lupulina","",""
"490","W6 4909","1960","Medicago coronata (L.) Bartal.","Alberta, Canada","W6",1990,"","Medicago coronata  ","Medicago","Medicago coronata","",""
"491","W6 4990","2001","Medicago littoralis Rohde ex Loisel.","Alberta, Canada","W6",1990,"","Medicago littoralis  ","Medicago","Medicago littoralis","",""
"492","W6 5007","2696","Medicago littoralis Rohde ex Loisel.","Alberta, Canada","W6",1990,"","Medicago littoralis  ","Medicago","Medicago littoralis","",""
"493","W6 5011","2710b","Medicago littoralis Rohde ex Loisel.","Alberta, Canada","W6",1990,"","Medicago littoralis  ","Medicago","Medicago littoralis","",""
"494","W6 5065","313","Medicago lupulina L.","Alberta, Canada","W6",1990,"","Medicago lupulina  ","Medicago","Medicago lupulina","",""
"495","W6 5150","2178","Medicago orbicularis (L.) Bartal.","Alberta, Canada","W6",1990,"","Medicago orbicularis  ","Medicago","Medicago orbicularis","",""
"496","W6 5517","392","Medicago polymorpha L.","Alberta, Canada","W6",1990,"","Medicago polymorpha  ","Medicago","Medicago polymorpha","",""
"497","W6 5518","394","Medicago polymorpha L.","Alberta, Canada","W6",1990,"","Medicago polymorpha  ","Medicago","Medicago polymorpha","",""
"498","W6 5535","421","Medicago polymorpha L.","Alberta, Canada","W6",1990,"","Medicago polymorpha  ","Medicago","Medicago polymorpha","",""
"499","W6 5536","422","Medicago polymorpha L.","Alberta, Canada","W6",1990,"","Medicago polymorpha  ","Medicago","Medicago polymorpha","",""
"500","W6 5927","1842","Medicago italica (Mill.) Fiori","Alberta, Canada","W6",1990,"","Medicago italica  ","Medicago","Medicago italica","",""
