TAXON,GENUS,SPECIES,RANK,verbatimScientificName,INFRASPECIFIC,PROVINCE
Podophyllum peltatum,Podophyllum,Podophyllum peltatum,,Podophyllum peltatum,,Quebec
Pinus contorta,Pinus,Pinus contorta,,Pinus contorta,,Saskatchewan
Poa glauca,Poa,Poa glauca,,Poa glauca,,Northwest Territories
Pinus resinosa,Pinus,Pinus resinosa,,Pinus resinosa,,Manitoba
Panicum capillare,Panicum,Panicum capillare,,Panicum capillare,,British Columbia
Poa secunda,Poa,Poa secunda,,Poa secunda,,British Columbia
Phleum alpinum,Phleum,Phleum alpinum,,Phleum alpinum,,Northwest Territories
Poa glauca,Poa,Poa glauca,,Poa glauca,,Yukon
Poa alsodes,Poa,Poa alsodes,,Poa alsodes,,Ontario
Phalaris arundinacea,Phalaris,Phalaris arundinacea,,Phalaris arundinacea,,Newfoundland and Labrador
Populus balsamifera,Populus,Populus balsamifera,,Populus balsamifera,,New Brunswick
Physalis virginiana,Physalis,Physalis virginiana,,Physalis virginiana,,Manitoba
Poa pratensis,Poa,Poa pratensis,,Poa pratensis,,Quebec
Picea glauca,Picea,Picea glauca,,Picea glauca,,Prince Edward Island
Populus balsamifera,Populus,Populus balsamifera,,Populus balsamifera,,Saskatchewan
Physaria arctica,Physaria,Physaria arctica,,Physaria arctica,,Yukon
Pinus flexilis,Pinus,Pinus flexilis,,Pinus flexilis,,British Columbia
Philadelphus lewisii,Philadelphus,Philadelphus lewisii,,Philadelphus lewisii,,Ontario
Poa arctica,Poa,Poa arctica,,Poa arctica,,Yukon
Poa arctica,Poa,Poa arctica,,Poa arctica,,Nunavut
Panax trifolius,Panax,Panax trifolius,,Panax trifolius,,Nova Scotia
Poa alsodes,Poa,Poa alsodes,,Poa alsodes,,Prince Edward Island
Poa saltuensis,Poa,Poa saltuensis,,Poa saltuensis,,Ontario
Pinus strobus,Pinus,Pinus strobus,,Pinus strobus,,Manitoba
Panax trifolius,Panax,Panax trifolius,,Panax trifolius,,Prince Edward Island
Poa alsodes,Poa,Poa alsodes,,Poa alsodes,,Quebec
Panicum capillare,Panicum,Panicum capillare,,Panicum capillare,,New Brunswick
Poa alpina,Poa,Poa alpina,,Poa alpina,,Newfoundland and Labrador
Poa alpina,Poa,Poa alpina,,Poa alpina,,Ontario
Poa abbreviata,Poa,Poa abbreviata,,Poa abbreviata,,Nunavut
Poa abbreviata,Poa,Poa abbreviata,,Poa abbreviata,,British Columbia
Oxybasis rubra var. humilis,Oxybasis,Oxybasis rubra,var.,Oxybasis rubra humilis,humilis,Yukon
Physaria spatulata,Physaria,Physaria spatulata,,Physaria spatulata,,Alberta
Panicum capillare,Panicum,Panicum capillare,,Panicum capillare,,Quebec
Plantago maritima,Plantago,Plantago maritima,,Plantago maritima,,Yukon
Poa pratensis,Poa,Poa pratensis,,Poa pratensis,,New Brunswick
Panicum philadelphicum,Panicum,Panicum philadelphicum,,Panicum philadelphicum,,New Brunswick
Panicum virgatum,Panicum,Panicum virgatum,,Panicum virgatum,,Quebec
Populus deltoides,Populus,Populus deltoides,,Populus deltoides,,Nova Scotia
Physaria arctica,Physaria,Physaria arctica,,Physaria arctica,,Newfoundland and Labrador
Poa pratensis,Poa,Poa pratensis,,Poa pratensis,,Prince Edward Island
Panicum capillare,Panicum,Panicum capillare,,Panicum capillare,,Nova Scotia
Poa palustris,Poa,Poa palustris,,Poa palustris L.,,Alberta
Poa palustris,Poa,Poa palustris,,Poa palustris,,Newfoundland and Labrador
Philadelphus lewisii,Philadelphus,Philadelphus lewisii,,Philadelphus lewisii,,Alberta
Poa pratensis,Poa,Poa pratensis,,Poa pratensis,,Nova Scotia
Pinus rigida,Pinus,Pinus rigida,,Pinus rigida,,Nova Scotia
Populus grandidentata,Populus,Populus grandidentata,,Populus grandidentata,,British Columbia
Poa pratensis,Poa,Poa pratensis,,Poa pratensis,,Yukon
Poa pratensis,Poa,Poa pratensis,,Poa pratensis,,Northwest Territories
Poa secunda,Poa,Poa secunda,,Poa secunda,,Yukon
Poa trivialis,Poa,Poa trivialis,,Poa trivialis,,Ontario
Poa nemoralis,Poa,Poa nemoralis,,Poa nemoralis,,Yukon
Poa glauca,Poa,Poa glauca,,Poa glauca,,Newfoundland and Labrador
Poa palustris,Poa,Poa palustris,,Poa palustris,,Northwest Territories
Pinus banksiana,Pinus,Pinus banksiana,,Pinus banksiana,,Newfoundland and Labrador
Populus deltoides subsp. monilifera,Populus,Populus deltoides,subsp.,Populus deltoides monilifera,monilifera,Alberta
Pinus ponderosa var. ponderosa,Pinus,Pinus ponderosa,var.,Pinus ponderosa ponderosa,ponderosa,British Columbia
Poa trivialis,Poa,Poa trivialis,,Poa trivialis,,Quebec
Phleum alpinum,Phleum,Phleum alpinum,,Phleum alpinum,,Newfoundland and Labrador
Poa saltuensis,Poa,Poa saltuensis,,Poa saltuensis,,Prince Edward Island
Poa nemoralis,Poa,Poa nemoralis,,Poa nemoralis,,Ontario
Panicum virgatum,Panicum,Panicum virgatum,,Panicum virgatum,,Prince Edward Island
Poa cusickii,Poa,Poa cusickii,,Poa cusickii Vasey,,Alberta
Poa cusickii,Poa,Poa cusickii,,Poa cusickii Vasey,,Saskatchewan
Physaria arctica,Physaria,Physaria arctica,,Physaria arctica,,Alberta
Panicum capillare,Panicum,Panicum capillare,,Panicum capillare L.,,Prince Edward Island
Panicum capillare,Panicum,Panicum capillare,,Panicum capillare L.,,Saskatchewan
Poa abbreviata,Poa,Poa abbreviata,,Poa abbreviata,,Northwest Territories
Poa secunda,Poa,Poa secunda,,Poa secunda,,Alberta
Panicum virgatum,Panicum,Panicum virgatum,,Panicum virgatum,,Nova Scotia
Poa glauca,Poa,Poa glauca,,Poa glauca,,Quebec
Poa glauca subsp. rupicola,Poa,Poa glauca,subsp.,Poa glauca subsp. rupicola,rupicola,Nunavut
Poa arctica,Poa,Poa arctica,,Poa arctica,,Newfoundland and Labrador
Poa alpina,Poa,Poa alpina,,Poa alpina,,Northwest Territories
Poa arctica,Poa,Poa arctica,,Poa arctica,,Northwest Territories
Poa alpina,Poa,Poa alpina,,Poa alpina,,Nunavut
Poa alpina,Poa,Poa alpina,,Poa alpina,,Manitoba
Poa glauca,Poa,Poa glauca,,Poa glauca,,Manitoba
Poa pratensis,Poa,Poa pratensis,,Poa pratensis,,Newfoundland and Labrador
Poa glauca,Poa,Poa glauca,,Poa glauca,,Nunavut
Poa arctica,Poa,Poa arctica,,Poa arctica,,Quebec
Poa alpina,Poa,Poa alpina,,Poa alpina,,Quebec
Poa glauca,Poa,Poa glauca,,Poa glauca,,Alberta
Poa arctica,Poa,Poa arctica,,Poa arctica,,Manitoba
Poa hartzii subsp. hartzii,Poa,Poa hartzii,subsp.,Poa hartzii subsp. hartzii,hartzii,Nunavut
Poa pratensis,Poa,Poa pratensis,,Poa pratensis,,Nunavut
Poa gaspensis,Poa,Poa gaspensis,,Poa x gaspensis,,Quebec
Poa palustris,Poa,Poa palustris,,Poa palustris,,Quebec
Poa hartzii subsp. hartzii,Poa,Poa hartzii,subsp.,Poa hartzii subsp. hartzii,hartzii,Northwest Territories
Phleum alpinum,Phleum,Phleum alpinum,,Phleum alpinum,,Quebec
Poa pratensis subsp. agassizensis,Poa,Poa pratensis,subsp.,Poa pratensis subsp. agassizensis,agassizensis,British Columbia
Poa glauca subsp. rupicola,Poa,Poa glauca,subsp.,Poa glauca subsp. rupicola,rupicola,Yukon
Poa palustris,Poa,Poa palustris,,Poa palustris,,British Columbia
Phalaris arundinacea,Phalaris,Phalaris arundinacea,,Phalaris arundinacea,,Yukon
Phalaris arundinacea,Phalaris,Phalaris arundinacea,,Phalaris arundinacea,,Northwest Territories
Pinus contorta var. yukonensis,Pinus,Pinus contorta,var.,Pinus contorta yukonensis,yukonensis,Yukon
Physaria arctica,Physaria,Physaria arctica,,Physaria arctica,,Nunavut
Panicum dichotomiflorum,Panicum,Panicum dichotomiflorum,,Panicum dichotomiflorum,,Nova Scotia
Pinus resinosa,Pinus,Pinus resinosa,,Pinus resinosa,,Saskatchewan
Poa trivialis,Poa,Poa trivialis,,Poa trivialis,,Nova Scotia
Populus deltoides subsp. monilifera,Populus,Populus deltoides,subsp.,Populus deltoides subsp. monilifera,monilifera,Ontario
Poa nemoralis,Poa,Poa nemoralis,,Poa nemoralis,,Quebec
Poa arctica,Poa,Poa arctica,,Poa arctica,,Ontario
Poa palustris,Poa,Poa palustris,,Poa palustris,,Yukon
Poa saltuensis,Poa,Poa saltuensis,,Poa saltuensis,,New Brunswick
Poa pratensis subsp. pratensis,Poa,Poa pratensis,subsp.,Poa pratensis pratensis,pratensis,Alberta
Poa palustris,Poa,Poa palustris,,Poa palustris,,Prince Edward Island
Poa glauca,Poa,Poa glauca,,Poa glauca,,British Columbia
Poa cusickii subsp. purpurascens,Poa,Poa cusickii,subsp.,Poa cusickii purpurascens,purpurascens,British Columbia
Populus deltoides subsp. deltoides,Populus,Populus deltoides,subsp.,Populus deltoides deltoides,deltoides,Ontario
Poa saltuensis,Poa,Poa saltuensis,,Poa saltuensis,,Nova Scotia
Populus balsamifera,Populus,Populus balsamifera,,Populus balsamifera,,Newfoundland and Labrador
Picea glauca,Picea,Picea glauca,,Picea glauca,,Nunavut
Picea mariana,Picea,Picea mariana,,Picea mariana,,Saskatchewan
Poa glauca subsp. glauca,Poa,Poa glauca,subsp.,Poa glauca M. Vahl subsp. glauca,glauca,Yukon
Pinus resinosa,Pinus,Pinus resinosa,,Pinus resinosa,,Newfoundland and Labrador
Physaria arctica,Physaria,Physaria arctica,,Physaria arctica,,British Columbia
Poa arctica subsp. arctica,Poa,Poa arctica,subsp.,Poa arctica arctica,arctica,Newfoundland and Labrador
Physaria spatulata,Physaria,Physaria spatulata,,Physaria spatulata,,Saskatchewan
Physaria arctica,Physaria,Physaria arctica,,Physaria arctica,,Manitoba
Panicum dichotomiflorum,Panicum,Panicum dichotomiflorum,,Panicum dichotomiflorum,,New Brunswick
Poa leptocoma,Poa,Poa leptocoma,,Poa leptocoma Trin.,,Alberta
Poa arctica,Poa,Poa arctica,,Poa arctica,,British Columbia
Poa lettermanii,Poa,Poa lettermanii,,Poa lettermanii Vasey,,Alberta
Poa glauca subsp. glauca,Poa,Poa glauca,subsp.,Poa glauca Vahl ssp. glauca,glauca,Alberta
Poa secunda subsp. secunda,Poa,Poa secunda,subsp.,Poa secunda J. Presl ssp. secunda,secunda,Alberta
Pinus contorta var. latifolia,Pinus,Pinus contorta,var.,Pinus contorta latifolia,latifolia,Saskatchewan
Poa palustris,Poa,Poa palustris,,Poa palustris,,Nova Scotia
Poa alsodes,Poa,Poa alsodes,,Poa alsodes,,Nova Scotia
Oxybasis rubra,Oxybasis,Oxybasis rubra,,Chenopodium humile,,Nova Scotia
Oxybasis rubra,Oxybasis,Oxybasis rubra,,Chenopodium humile,,Yukon
Phleum alpinum,Phleum,Phleum alpinum,,Phleum alpinum,,Nova Scotia
Poa alpina subsp. vivipara,Poa,Poa alpina,subsp.,Poa alpina vivipara,vivipara,Yukon
Physaria arctica,Physaria,Physaria arctica,,Physaria arctica,,Northwest Territories
Populus balsamifera,Populus,Populus balsamifera,,Populus balsamifera L.,,Nunavut
Pinus contorta var. latifolia,Pinus,Pinus contorta,var.,Pinus contorta latifolia,latifolia,Northwest Territories
Poa arctica subsp. arctica,Poa,Poa arctica,subsp.,Poa arctica arctica,arctica,Northwest Territories
Populus angustifolia,Populus,Populus angustifolia,,Populus angustifolia E. James,,Alberta
Oxybasis rubra,Oxybasis,Oxybasis rubra,,Chenopodium rubrum L.,,British Columbia
Poa pratensis subsp. pratensis,Poa,Poa pratensis,subsp.,Poa pratensis L. subsp. pratensis,pratensis,British Columbia
Poa marcida,Poa,Poa marcida,,Poa marcida Hitchc.,,British Columbia
Physaria douglasii subsp. douglasii,Physaria,Physaria douglasii,subsp.,Physaria douglasii (S. Watson) O'Kane & Al-Shehbaz subsp. douglasii,douglasii,British Columbia
Poa glauca subsp. rupicola,Poa,Poa glauca,subsp.,Poa glauca Vahl subsp. rupicola (Nash) W.A. Weber,rupicola,British Columbia
Poa glauca subsp. glauca,Poa,Poa glauca,subsp.,Poa glauca Vahl subsp. glauca,glauca,Northwest Territories
Poa arctica subsp. arctica,Poa,Poa arctica,subsp.,Poa arctica R. Br. subsp. arctica,arctica,British Columbia
Poa nemoralis,Poa,Poa nemoralis,,Agrostis alba L.,,Alberta
Poa confinis,Poa,Poa confinis,,Poa confinis Vasey,,British Columbia
Poa cusickii,Poa,Poa cusickii,,Poa cusickii Vasey,,British Columbia
Poa trivialis,Poa,Poa trivialis,,Poa trivialis L.,,British Columbia
Poa arctica subsp. arctica,Poa,Poa arctica,subsp.,Poa arctica R. Br. subsp. arctica,arctica,Yukon
Poa lettermanii,Poa,Poa lettermanii,,Poa lettermanii Vasey,,British Columbia
Poa nemoralis,Poa,Poa nemoralis,,Agrostis alba L.,,Nova Scotia
Poa leptocoma,Poa,Poa leptocoma,,Poa leptocoma Trin.,,British Columbia
Poa nemoralis,Poa,Poa nemoralis,,Agrostis alba L.,,Manitoba
Poa nemoralis,Poa,Poa nemoralis,,Agrostis alba L.,,British Columbia
Poa secunda subsp. secunda,Poa,Poa secunda,subsp.,Poa secunda J. Presl subsp. secunda,secunda,Yukon
Panicum dichotomiflorum,Panicum,Panicum dichotomiflorum,,Panicum dichotomiflorum Michx.,,British Columbia
Poa cusickii,Poa,Poa cusickii,,Poa cusickii Vasey,,Yukon
Poa hartzii,Poa,Poa hartzii,,Poa hartzii,,Nunavut
Poa cusickii subsp. pallida,Poa,Poa cusickii,subsp.,Poa cusickii subsp. pallida,pallida,Saskatchewan
Poa pratensis subsp. pratensis,Poa,Poa pratensis,subsp.,Poa pratensis subsp. pratensis,pratensis,Northwest Territories
Poa glauca subsp. rupicola,Poa,Poa glauca,subsp.,Poa glauca subsp. rupicola,rupicola,Northwest Territories
Poa cusickii subsp. pallida,Poa,Poa cusickii,subsp.,Poa cusickii subsp. pallida,pallida,Alberta
Poa pratensis subsp. agassizensis,Poa,Poa pratensis,subsp.,Poa pratensis subsp. agassizensis,agassizensis,Manitoba
Poa glauca subsp. glauca,Poa,Poa glauca,subsp.,Poa glauca subsp. glauca,glauca,Manitoba
Poa glauca subsp. glauca,Poa,Poa glauca,subsp.,Poa glauca subsp. glauca,glauca,British Columbia
Poa stenantha,Poa,Poa stenantha,,Poa stenantha,,British Columbia
Poa abbreviata,Poa,Poa abbreviata,,Poa abbreviata,,Yukon
Poa glauca subsp. rupicola,Poa,Poa glauca,subsp.,Poa glauca subsp. rupicola,rupicola,Alberta
Poa arctica subsp. arctica,Poa,Poa arctica,subsp.,Poa arctica subsp. arctica,arctica,Alberta
Poa glauca subsp. glauca,Poa,Poa glauca,subsp.,Poa glauca subsp. glauca,glauca,Quebec
Poa glauca subsp. glauca,Poa,Poa glauca,subsp.,Poa glauca subsp. glauca,glauca,Ontario
Poa arida,Poa,Poa arida,,Poa arida,,Alberta
Poa howellii,Poa,Poa howellii,,Poa howellii,,British Columbia
Pinus rigida,Pinus,Pinus rigida,,Pinus rigida,,New Brunswick
Poa arctica subsp. arctica,Poa,Poa arctica,subsp.,Poa arctica subsp. arctica,arctica,Quebec
Poa pratensis subsp. pratensis,Poa,Poa pratensis,subsp.,Poa pratensis subsp. pratensis,pratensis,Quebec
Poa cusickii subsp. pallida,Poa,Poa cusickii,subsp.,Poa cusickii Vasey ssp. pallida Soreng,pallida,British Columbia
Poa stenantha var. stenantha,Poa,Poa stenantha,var.,Poa stenantha Trin. var. stenantha,stenantha,British Columbia
Poa arctica,Poa,Poa arctica,,Poa arctica R. Br.,,Alberta
Poa arida,Poa,Poa arida,,Poa glaucifolia Scribn. & Williams,,British Columbia
Poa saltuensis,Poa,Poa saltuensis,,Poa saltuensis Fern. & Wieg.,,Quebec
Poa cusickii subsp. purpurascens,Poa,Poa cusickii,subsp.,Poa cusickii Vasey ssp. purpurascens (Vasey) Soreng,purpurascens,Alberta
Poa pratensis subsp. agassizensis,Poa,Poa pratensis,subsp.,Poa pratensis L. ssp. agassizensis (Boivin & D. Löve) Taylor & MacBryde,agassizensis,Ontario
Oxybasis rubra,Oxybasis,Oxybasis rubra,,Chenopodium rubrum L.,,Alberta
Poa saltuensis,Poa,Poa saltuensis,,Poa saltuensis,,Saskatchewan
Panicum philadelphicum,Panicum,Panicum philadelphicum,,Panicum philadelphicum,,Newfoundland and Labrador
Poa stenantha,Poa,Poa stenantha,,Poa stenantha Trin.,,Northwest Territories
Poa secunda,Poa,Poa secunda,,Poa secunda J.Presl,,Northwest Territories
Poa arida,Poa,Poa arida,,Poa arida Vasey,,Saskatchewan
Poa nemoralis,Poa,Poa nemoralis,,Poa nemoralis L.,,Newfoundland and Labrador
Poa arctica subsp. arctica,Poa,Poa arctica,subsp.,Poa arctica subsp. arctica,arctica,Manitoba
Poa pratensis subsp. pratensis,Poa,Poa pratensis,subsp.,Poa pratensis subsp. pratensis,pratensis,Manitoba
Panicum dichotomiflorum subsp. dichotomiflorum,Panicum,Panicum dichotomiflorum,subsp.,Panicum dichotomiflorum dichotomiflorum,dichotomiflorum,New Brunswick
Panax trifolius,Panax,Panax trifolius,,Panax trifolius,,New Brunswick
Picea rubens,Picea,Picea rubens,,Picea rubens,,British Columbia
Poa glauca,Poa,Poa glauca,,Poa glauca Vahl,,Nova Scotia
Panicum philadelphicum,Panicum,Panicum philadelphicum,,Panicum tuckermanii,,Nova Scotia
Poa trivialis,Poa,Poa trivialis,,Poa trivialis L.,,Prince Edward Island
Poa glauca subsp. glauca,Poa,Poa glauca,subsp.,Poa glauca subsp. glauca Vahl,glauca,Nova Scotia
Poa arida,Poa,Poa arida,,Poa arida,,Manitoba
Oxybasis rubra,Oxybasis,Oxybasis rubra,,Chenopodium rubrum,,Saskatchewan
Poa stenantha,Poa,Poa stenantha,,Poa stenantha,,Alberta
Picea mariana,Picea,Picea mariana,,Picea mariana,,Nunavut
Poa secunda subsp. secunda,Poa,Poa secunda,subsp.,Poa secunda subsp. secunda,secunda,Saskatchewan
Phleum alpinum,Phleum,Phleum alpinum,,Phleum alpinum,,Saskatchewan
Poa abbreviata subsp. abbreviata,Poa,Poa abbreviata,subsp.,Poa abbreviata subsp. abbreviata,abbreviata,Northwest Territories
Poa palustris,Poa,Poa palustris,,Poa palustris,,Nunavut
Oxybasis rubra,Oxybasis,Oxybasis rubra,,Chenopodium rubrum,,Manitoba
Poa trivialis,Poa,Poa trivialis,,Poa trivialis,,New Brunswick
Poa secunda subsp. secunda,Poa,Poa secunda,subsp.,Poa secunda subsp. secunda,secunda,Manitoba
Poa saltuensis,Poa,Poa saltuensis,,Poa saltuensis,,Newfoundland and Labrador
Panicum virgatum,Panicum,Panicum virgatum,,Panicum virgatum,,Saskatchewan
Poa glauca,Poa,Poa glauca,,Poa glauca,,Saskatchewan
Poa hartzii subsp. hartzii,Poa,Poa hartzii,subsp.,Poa hartzii subsp. hartzii,hartzii,Yukon
Plantago maritima,Plantago,Plantago maritima,,Plantago maritima,,Saskatchewan
Plantago maritima,Plantago,Plantago maritima,,Plantago maritima,,Nunavut
Panicum philadelphicum,Panicum,Panicum philadelphicum,,Panicum philadelphicum Bernh. ex Nees,,Quebec
Phleum alpinum,Phleum,Phleum alpinum,,Phleum alpinum L.,,Manitoba
Populus deltoides subsp. monilifera,Populus,Populus deltoides,subsp.,Populus deltoides  Bartr. ex Marsh. subsp. monilifera (Ait.) Eckenwalder,monilifera,Manitoba
Poa hartzii,Poa,Poa hartzii,,Poa ammophila A.E. Porsild,,Northwest Territories
Poa secunda,Poa,Poa secunda,,Poa secunda J. Presl,,Manitoba
Poa cusickii subsp. pallida,Poa,Poa cusickii,subsp.,Poa cusickii Vasey subsp. pallida Soreng,pallida,Yukon
Poa pratensis subsp. pratensis,Poa,Poa pratensis,subsp.,Poa pratensis L. subsp. pratensis,pratensis,Yukon
Physalis heterophylla,Physalis,Physalis heterophylla,,Physalis heterophylla,,Manitoba
Poa alsodes,Poa,Poa alsodes,,Poa alsodes,,New Brunswick
Poa alpina subsp. alpina,Poa,Poa alpina,subsp.,Poa alpina subsp. alpina,alpina,Alberta
Poa stenantha,Poa,Poa stenantha,,Poa stenantha Trin.,,Manitoba
Poa nemoralis,Poa,Poa nemoralis,,Poa nemoralis L.,,New Brunswick
Poa leptocoma,Poa,Poa leptocoma,,Poa leptocoma Trin.,,Manitoba
Poa cusickii subsp. pallida,Poa,Poa cusickii,subsp.,Poa cusickii subsp. pallida Soreng,pallida,Manitoba
Panax quinquefolius,Panax,Panax quinquefolius,,Panax quinquefolius L.,,Ontario
Poa alpina subsp. alpina,Poa,Poa alpina,subsp.,Poa alpina Linnaeus subsp. alpina,alpina,Newfoundland and Labrador
Poa secunda,Poa,Poa secunda,,Poa secunda J. L. Presl,,Quebec
Physaria arctica,Physaria,Physaria arctica,,Lesquerella arctica (Wormsk. ex Hornem.) S. Wats.,,Quebec
Pinus albicaulis,Pinus,Pinus albicaulis,,Pinus albicaulis Engelm.,,Manitoba
Poa abbreviata subsp. abbreviata,Poa,Poa abbreviata,subsp.,Poa abbreviata subsp. abbreviata,abbreviata,Yukon
Pinus ponderosa var. scopulorum,Pinus,Pinus ponderosa,var.,Pinus ponderosa Douglas ex C. Lawson var. scopulorum Engelm.,scopulorum,British Columbia
Plantago maritima,Plantago,Plantago maritima,,Plantago maritima L.,,Alberta
Oxybasis rubra,Oxybasis,Oxybasis rubra,,Chenopodium rubrum L.,,Northwest Territories
Poa nemoralis,Poa,Poa nemoralis,,Poa nemoralis L.,,Northwest Territories
Poa abbreviata,Poa,Poa abbreviata,,Poa abbreviata R. Br.,,Alberta
Pinus ponderosa,Pinus,Pinus ponderosa,,Pinus ponderosa Douglas ex Lawson & C. Lawson,,Alberta
Populus deltoides subsp. deltoides,Populus,Populus deltoides,subsp.,Populus deltoides W. Bartram ex Marshall subsp. deltoides (A. Gray) Hultén,deltoides,Quebec
Poa trivialis,Poa,Poa trivialis,,Poa trivialis L.,,Newfoundland and Labrador
Poa secunda subsp. secunda,Poa,Poa secunda,subsp.,Poa secunda ssp. secunda J. Presl,secunda,Quebec
Poa pratensis subsp. pratensis,Poa,Poa pratensis,subsp.,Poa pratensis subsp. pratensis L.,pratensis,Nova Scotia
Poa pratensis subsp. pratensis,Poa,Poa pratensis,subsp.,Poa pratensis Linnaeus subsp. pratensis,pratensis,Newfoundland and Labrador
Poa glauca subsp. glauca,Poa,Poa glauca,subsp.,Poa glauca M. Vahl subsp. glauca,glauca,Newfoundland and Labrador
Oxybasis rubra,Oxybasis,Oxybasis rubra,,Chenopodium rubrum L.,,Prince Edward Island
Physalis virginiana,Physalis,Physalis virginiana,,Physalis virginiana Mill.,,Quebec
Physalis heterophylla,Physalis,Physalis heterophylla,,Physalis heterophylla Nees,,Nova Scotia
Populus deltoides subsp. deltoides,Populus,Populus deltoides,subsp.,Populus deltoides subsp. deltoides Bartr. ex Marsh.,deltoides,Prince Edward Island
Poa pratensis subsp. pratensis,Poa,Poa pratensis,subsp.,Poa pratensis subsp. pratensis L.,pratensis,Ontario
Poa abbreviata,Poa,Poa abbreviata,,Poa abbreviata R. Br.,,Ontario
Pseudotsuga menziesii,Pseudotsuga,Pseudotsuga menziesii,,Pseudotsuga menziesii,,British Columbia
Prunus virginiana,Prunus,Prunus virginiana,,Prunus virginiana,,Nova Scotia
Ribes cereum,Ribes,Ribes cereum,,Ribes cereum,,British Columbia
Rhododendron groenlandicum,Rhododendron,Rhododendron groenlandicum,,Rhododendron groenlandicum,,British Columbia
Quercus rubra,Quercus,Quercus rubra,,Quercus rubra,,Quebec
Quercus rubra,Quercus,Quercus rubra,,Quercus rubra,,Nova Scotia
Quercus rubra,Quercus,Quercus rubra,,Quercus rubra,,Ontario
Prunus virginiana,Prunus,Prunus virginiana,,Prunus virginiana,,British Columbia
Prunus virginiana,Prunus,Prunus virginiana,,Prunus virginiana,,Ontario
Prunus pensylvanica,Prunus,Prunus pensylvanica,,Prunus pensylvanica,,Nova Scotia
Prunus serotina,Prunus,Prunus serotina,,Prunus serotina,,Nova Scotia
Prunella vulgaris,Prunella,Prunella vulgaris,,Prunella vulgaris,,British Columbia
Ribes laxiflorum,Ribes,Ribes laxiflorum,,Ribes laxiflorum,,British Columbia
Rubus allegheniensis,Rubus,Rubus allegheniensis,,Rubus allegheniensis,,Ontario
Rosa acicularis,Rosa,Rosa acicularis,,Rosa acicularis,,British Columbia
Quercus rubra,Quercus,Quercus rubra,,Quercus rubra,,New Brunswick
Quercus macrocarpa,Quercus,Quercus macrocarpa,,Quercus macrocarpa,,Ontario
Prunella vulgaris,Prunella,Prunella vulgaris,,Prunella vulgaris,,Quebec
Rhododendron groenlandicum,Rhododendron,Rhododendron groenlandicum,,Rhododendron groenlandicum,,Ontario
Rhododendron groenlandicum,Rhododendron,Rhododendron groenlandicum,,Rhododendron groenlandicum,,Nova Scotia
Prunella vulgaris,Prunella,Prunella vulgaris,,Prunella vulgaris,,Ontario
Prunus pensylvanica,Prunus,Prunus pensylvanica,,Prunus pensylvanica,,Ontario
Quercus garryana,Quercus,Quercus garryana,,Quercus garryana,,British Columbia
Populus trichocarpa,Populus,Populus trichocarpa,,Populus trichocarpa,,British Columbia
Prunus serotina,Prunus,Prunus serotina,,Prunus serotina,,Ontario
Prunus virginiana,Prunus,Prunus virginiana,,Prunus virginiana,,Manitoba
Prunus serotina,Prunus,Prunus serotina,,Prunus serotina,,New Brunswick
Quercus palustris,Quercus,Quercus palustris,,Quercus palustris,,Ontario
Rosa acicularis,Rosa,Rosa acicularis,,Rosa acicularis,,Alberta
Quercus bicolor,Quercus,Quercus bicolor,,Quercus bicolor,,Ontario
Rosa nitida,Rosa,Rosa nitida,,Rosa nitida,,Newfoundland and Labrador
Rosa carolina,Rosa,Rosa carolina,,Rosa carolina,,Nova Scotia
Rosa carolina,Rosa,Rosa carolina,,Rosa carolina,,Ontario
Prunella vulgaris,Prunella,Prunella vulgaris,,Prunella vulgaris,,Nova Scotia
Quercus macrocarpa,Quercus,Quercus macrocarpa,,Quercus macrocarpa,,Manitoba
Rosa woodsii,Rosa,Rosa woodsii,,Rosa woodsii,,British Columbia
Rosa gymnocarpa,Rosa,Rosa gymnocarpa,,Rosa gymnocarpa,,British Columbia
Ribes bracteosum,Ribes,Ribes bracteosum,,Ribes bracteosum,,British Columbia
Rhododendron groenlandicum,Rhododendron,Rhododendron groenlandicum,,Rhododendron groenlandicum,,Newfoundland and Labrador
Ribes americanum,Ribes,Ribes americanum,,Ribes americanum,,Ontario
Quercus alba,Quercus,Quercus alba,,Quercus alba,,Quebec
Rhododendron groenlandicum,Rhododendron,Rhododendron groenlandicum,,Rhododendron groenlandicum,,New Brunswick
Prunus nigra,Prunus,Prunus nigra,,Prunus nigra,,Ontario
Prunus pensylvanica,Prunus,Prunus pensylvanica,,Prunus pensylvanica,,Newfoundland and Labrador
Ribes lacustre,Ribes,Ribes lacustre,,Ribes lacustre,,British Columbia
Ribes cynosbati,Ribes,Ribes cynosbati,,Ribes cynosbati,,Ontario
Rosa arkansana,Rosa,Rosa arkansana,,Rosa arkansana,,Alberta
Rosa nutkana,Rosa,Rosa nutkana,,Rosa nutkana,,British Columbia
Rosa woodsii,Rosa,Rosa woodsii,,Rosa woodsii,,Alberta
Pseudotsuga menziesii var. glauca,Pseudotsuga,Pseudotsuga menziesii,var.,Pseudotsuga menziesii glauca,glauca,British Columbia
Rhododendron groenlandicum,Rhododendron,Rhododendron groenlandicum,,Rhododendron groenlandicum,,Manitoba
Rosa woodsii,Rosa,Rosa woodsii,,Rosa woodsii,,Saskatchewan
Quercus alba,Quercus,Quercus alba,,Quercus alba,,Ontario
