TAXON,DMS,,,,,,,,,,,,
Frangula purshiana subsp. purshiana,"48.8N, 123.1W",,,,,,,,,,,,
Frangula purshiana subsp. purshiana,"49.4N, 126.1W",,,,,,,,,,,,
Frangula purshiana subsp. purshiana,"49.3N, 124.2W",,,,,,,,,,,,
Frangula purshiana subsp. purshiana,"49.5N, 124.8W",,,,,,,,,,,,
Frangula purshiana subsp. purshiana,"48.6N, 123.7W",,,,,,,,,,,,
Frangula purshiana subsp. purshiana,"48.4N, 123.5W",,,,,,,,,,,,
Frangula purshiana subsp. purshiana,"48.4N, 123.5W",,,,,,,,,,,,
Frangula purshiana subsp. purshiana,"48.4N, 123.5W",,,,,,,,,,,,
Frangula purshiana subsp. purshiana,"51.0N, 118.2W",,,,,,,,,,,,
Frangula purshiana subsp. purshiana,"50.6N, 118.8W",,,,,,,,,,,,
Frangula purshiana subsp. purshiana,"48.6N, 123.4W",,,,,,,,,,,,
Frangula purshiana subsp. purshiana,"49.2N, 121.1W",,,,,,,,,,,,
Frangula purshiana subsp. purshiana,"49.1N, 121.2W",,,,,,,,,,,,
Frangula purshiana subsp. purshiana,"48.5N, 123.5W",,,,,,,,,,,,
Frangula purshiana subsp. purshiana,"48.8N, 123.9W",,,,,,,,,,,,
Frangula purshiana subsp. purshiana,"49.6N, 124.5W",,,,,,,,,,,,
Frangula purshiana subsp. purshiana,"48.9N, 125.1W",,,,,,,,,,,,
Helianthus ×laetiflorus,"44.5N, 77.3W",,,,,,,,,,,,
Helianthus ×laetiflorus,"47.0N, 65.4W",,,,,,,,,,,,
Helianthus ×laetiflorus,"44.1N, 77.6W",,,,,,,,,,,,
Helianthus ×laetiflorus,"44.1N, 77.6W",,,,,,,,,,,,
Helianthus ×laetiflorus,"43.4N, 80.6W",,,,,,,,,,,,
Helianthus ×laetiflorus,"43.2N, 81.9W",,,,,,,,,,,,
Helianthus ×laetiflorus,"43.4N, 80.1W",,,,,,,,,,,,
Helianthus ×laetiflorus,"44.5N, 77.4W",,,,,,,,,,,,
Helianthus ×laetiflorus,"43.3N, 79.9W",,,,,,,,,,,,
Helianthus ×laetiflorus,"46.2N, 60.3W",,,,,,,,,,,,
Helianthus ×laetiflorus,"49.7N, 112.8W",,,,,,,,,,,,
Helianthus ×laetiflorus,"49.2N, 122.9W",,,,,,,,,,,,
Helianthus ×laetiflorus,"45.1N, 72.2W",,,,,,,,,,,,
Helianthus ×laetiflorus,"48.4N, 89.6W",,,,,,,,,,,,
Helianthus ×laetiflorus,"45.3N, 75.6W",,,,,,,,,,,,
Helianthus ×laetiflorus,"48.4N, 89.8W",,,,,,,,,,,,
Helianthus ×laetiflorus,"49.9N, 98.3W",,,,,,,,,,,,
Helianthus ×laetiflorus,"49.6N, 114.3W",,,,,,,,,,,,
Helianthus ×laetiflorus,"49.7N, 113.7W",,,,,,,,,,,,
Helianthus ×laetiflorus,"45.7N, 73.5W",,,,,,,,,,,,
Helianthus ×laetiflorus,"48.4N, 89.6W",,,,,,,,,,,,
Helianthus ×laetiflorus,"50.8N, 100.3W",,,,,,,,,,,,
Helianthus ×laetiflorus,"44.1N, 79.5W",,,,,,,,,,,,
Helianthus ×laetiflorus,"49.8N, 99.6W",,,,,,,,,,,,
Helianthus ×laetiflorus,"46.8N, 71.3W",,,,,,,,,,,,
Helianthus ×laetiflorus,"46.8N, 71.3W",,,,,,,,,,,,
Helianthus ×laetiflorus,"46.8N, 71.3W",,,,,,,,,,,,
