"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFC","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","SECONDARY_ASSOCIATED_CROP_COMMON_NAME","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","CATEGORY","TIER","GENEPOOL","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE"
"94","Poa cusickii subsp. epillis","Poa","Poa cusickii","subsp.","epillis","Bluegrass",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","",""
"95","Poa hartzii subsp. vrangelica","Poa","Poa hartzii","subsp.","vrangelica","Bluegrass",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","",""
"96","Poa pratensis subsp. alpigena","Poa","Poa pratensis","subsp.","alpigena","Bluegrass",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","",""
"97","Poa pratensis subsp. angustifolia","Poa","Poa pratensis","subsp.","angustifolia","Bluegrass",NA,"Y","Y","N","","N","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","",""
"98","Poa pratensis subsp. colpodea","Poa","Poa pratensis","subsp.","colpodea","Bluegrass",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","",""
"99","Poa pratensis subsp. irrigata","Poa","Poa pratensis","subsp.","irrigata","Bluegrass",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","",""
"100","Poa saltuensis subsp. saltuensis","Poa","Poa saltuensis","subsp.","saltuensis","Bluegrass",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","",""
"101","Poa secunda subsp. juncifolia","Poa","Poa secunda","subsp.","juncifolia","Bluegrass",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","",""
"102","Poa stenantha subsp. stenantha","Poa","Poa stenantha","subsp.","stenantha","Bluegrass",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","",""
"103","Potentilla anserina subsp. anserina","Potentilla","Potentilla anserina","subsp.","anserina","Potentilla",NA,"Y","N","Y","","Y","Food","Cultural",NA,"Vegetables","Medicinals","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"104","Potentilla anserina subsp. groenlandica","Potentilla","Potentilla anserina","subsp.","groenlandica","Potentilla",NA,"Y","N","Y","","Y","Food","Cultural",NA,"Vegetables","Medicinals","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"105","Potentilla anserina subsp. pacifica","Potentilla","Potentilla anserina","subsp.","pacifica","Potentilla",NA,"Y","N","Y","","Y","Food","Cultural",NA,"Vegetables","Medicinals","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"106","Potentilla anserina subsp. yukonensis","Potentilla","Potentilla anserina","subsp.","yukonensis","Potentilla",NA,"Y","N","Y","","Y","Food","Cultural",NA,"Vegetables","Medicinals","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"107","Prunus pumila var. depressa","Prunus","Prunus pumila","var.","depressa","Apricot, Cherry, Peach, Plum","Almond","Y","Y","N","","Y","Food","Cultural","Food","Fruits","Ornamentals","Materials","Nuts","1A",1,"Progenitor","Graftstock","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021",""
"108","Prunus pumila var. susquehanae","Prunus","Prunus pumila","var.","susquehanae","Apricot, Cherry, Peach, Plum","Almond","Y","Y","N","","Y","Food","Cultural","Food","Fruits","Ornamentals","Materials","Nuts","1A",1,"Progenitor","Graftstock","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021",""
"109","Pseudoroegneria spicata","Pseudoroegneria","Pseudoroegneria spicata",NA,NA,"Wheat",NA,"Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","",""
"110","Ribes aureum var. vilosum","Ribes","Ribes aureum","var.","vilosum","Currant, Gooseberry",NA,"Y","Y","Y","fruit","N","Food","",NA,"Fruits","Ornamentals","",NA,"1A",1,"Tertiary","Graftstock","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020"
"111","Ribes oxyacanthoides subsp. irriguum","Ribes","Ribes oxyacanthoides","subsp.","irriguum","Currant, Gooseberry",NA,"Y","Y","Y","fruit","Y","Food","",NA,"Fruits","Ornamentals","",NA,"1B",1,"Secondary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020"
"112","Ribes viscosissimum var. viscosissimum","Ribes","Ribes viscosissimum","var.","viscosissimum","Currant, Gooseberry",NA,"Y","Y","Y","fruit","Y","Food","",NA,"Fruits","Ornamentals","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020"
"113","Rosa carolina subsp. carolina","Rosa","Rosa carolina","subsp.","carolina","Rose",NA,"Y","N","Y","fruit","Y","Food","",NA,"Fruits","Ornamentals","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"114","Rosa carolina subsp. subserrulata","Rosa","Rosa carolina","subsp.","subserrulata","Rose",NA,"Y","N","Y","fruit","Y","Food","",NA,"Fruits","Ornamentals","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"115","Rosa pisocarpa subsp. pisocarpa","Rosa","Rosa pisocarpa","subsp.","pisocarpa","Rose",NA,"Y","N","Y","fruit","Y","Food","",NA,"Fruits","Ornamentals","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"116","Rosa virginiana subsp. minidentata","Rosa","Rosa virginiana","subsp.","minidentata","Rose",NA,"Y","N","Y","fruit","Y","Food","",NA,"Fruits","Ornamentals","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"117","Rosa virginiana subsp. virginiana","Rosa","Rosa virginiana","subsp.","virginiana","Rose",NA,"Y","N","Y","fruit","Y","Food","",NA,"Fruits","Ornamentals","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"118","Rubus ×paracaulis","Rubus","Rubus ×paracaulis",NA,NA,"Blackberry, Raspberry",NA,"Y","Y","Y","fruit","Y","Food","",NA,"Fruits","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020"
"119","Rubus ×recurvicaulis","Rubus","Rubus ×recurvicaulis",NA,NA,"Blackberry, Raspberry",NA,"Y","Y","Y","fruit","Y","Food","",NA,"Fruits","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020"
"120","Rubus ×setosus","Rubus","Rubus ×setosus",NA,NA,"Blackberry, Raspberry",NA,"Y","Y","Y","fruit","Y","Food","",NA,"Fruits","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020"
"121","Rubus chloocladus","Rubus","Rubus chloocladus",NA,NA,"Blackberry, Raspberry",NA,"Y","Y","Y","fruit","Y","Food","",NA,"Fruits","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020"
"122","Rubus idaeus subsp. Idaeus","Rubus","Rubus idaeus","subsp.","Idaeus","Blackberry, Raspberry",NA,"Y","Y","Y","fruit, shoots, leaves for tea","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020"
"123","Rubus leucodermis var. leucodermis","Rubus","Rubus leucodermis","var.","leucodermis","Blackberry, Raspberry",NA,"Y","Y","Y","fruit, shoots","Y","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020"
"124","Salix exigua var. exigua","Salix","Salix exigua","var.","exigua","Willow",NA,"Y","N","Y","leaves","Y","Cultural","Food",NA,"Medicinals","Vegetables","Forest Resources",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"125","Salix exigua var. hindsiana","Salix","Salix exigua","var.","hindsiana","Willow",NA,"Y","N","Y","leaves","Y","Cultural","Food",NA,"Medicinals","Vegetables","Forest Resources",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"126","Salix lasiandra","Salix","Salix lasiandra",NA,NA,"Willow",NA,"N","N","Y","","Y","Cultural","Forest Resources",NA,"Medicinals","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"127","Salix lasiandra var. caudata","Salix","Salix lasiandra","var.","caudata","Willow",NA,"Y","N","Y","","Y","Cultural","Forest Resources",NA,"Medicinals","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"128","Salix lasiandra var. lasiandra","Salix","Salix lasiandra","var.","lasiandra","Willow",NA,"Y","N","Y","","Y","Cultural","Forest Resources",NA,"Medicinals","Forest Resources","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"129","Schizachyrium scoparium subsp. scoparium","Schizachyrium","Schizachyrium scoparium","subsp.","scoparium","Bluestem",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","",""
"130","Sedum oreganum var. tenue","Sedum","Sedum oreganum","var.","tenue","Sedum",NA,"Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"131","Sedum spathulifolium var. spathulifolium","Sedum","Sedum spathulifolium","var.","spathulifolium","Sedum",NA,"Y","N","Y","","Y","Cultural","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020"
"132","Silphium integrifolium var. laeve","Silphium","Silphium integrifolium","var.","laeve","Rosinweed",NA,"Y","Y","N","","N","Cultural","Food",NA,"Medicinals","Oils","",NA,"2",2,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021",""
"133","Silphium perfoliatum var. perfoliatum","Silphium","Silphium perfoliatum","var.","perfoliatum","Rosinweed",NA,"Y","Y","N","","Y","Cultural","Food",NA,"Medicinals","Oils","",NA,"2",2,"Secondary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021",""
"134","Trifolium variegatum var. variegatum","Trifolium","Trifolium variegatum","var.","variegatum","Clover",NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","",""
"135","Vaccinium ×nubigenum","Vaccinium","Vaccinium ×nubigenum",NA,NA,"Blueberry",NA,"Y","Y","Y","newfoundland bilberry; fruits","Y","Food","",NA,"Fruits","","",NA,"1C",1,"Assume distant","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020"
"136","Vaccinium macrocarpon","Vaccinium","Vaccinium macrocarpon",NA,NA,"Cranberry",NA,"Y","Y","Y","fruit, leaves and fruit as tea","Y","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020"
"137","Viburnum cassinoides","Viburnum","Viburnum cassinoides",NA,NA,"Highbush cranberry",NA,"Y","N","Y","fruit","Y","Cultural","",NA,"Ornamentals","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020"
"138","Viburnum dentatum var. lucidum","Viburnum","Viburnum dentatum","var.","lucidum","Highbush cranberry",NA,"Y","N","Y","fruit","Y","Cultural","",NA,"Ornamentals","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020"
"139","Vicia americana subsp. americana","Vicia","Vicia americana","subsp.","americana","Vetch",NA,"Y","Y","Y","seeds","Y","Food","",NA,"Forage and Feed","","",NA,"2",2,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020"
"140","Zizania palustris var. interior","Zizania","Zizania palustris","var.","interior","Rice, Wild-rice",NA,"Y","Y","Y","wild rice', grains","Y","Food","",NA,"Cereals and pseudocereals","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020"
