"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFIC","PROVINCE"
"2633","Argentina anserina subsp. anserina","Argentina","Argentina anserina","subsp.","anserina","Yukon"
"2634","Ribes sanguineum","Ribes","Ribes sanguineum","","","Alberta"
"2635","Rosa arkansana","Rosa","Rosa arkansana","","","Quebec"
"2636","Quercus rubra","Quercus","Quercus rubra","","","Manitoba"
"2637","Rosa setigera","Rosa","Rosa setigera","","","Alberta"
"2638","Rubus recurvicaulis","Rubus","Rubus recurvicaulis","","","New Brunswick"
"2639","Prunus virginiana var. virginiana","Prunus","Prunus virginiana","var.","virginiana","New Brunswick"
"2640","Prunus serotina var. serotina","Prunus","Prunus serotina","var.","serotina","New Brunswick"
"2641","Rosa acicularis subsp. sayi","Rosa","Rosa acicularis","subsp.","sayi","Quebec"
"2642","Rosa carolina","Rosa","Rosa carolina","","","Newfoundland and Labrador"
"2643","Rosa blanda","Rosa","Rosa blanda","","","Nova Scotia"
"2644","Prunus virginiana var. virginiana","Prunus","Prunus virginiana","var.","virginiana","Newfoundland and Labrador"
"2645","Rubus setosus","Rubus","Rubus setosus","","","British Columbia"
"2646","Ribes aureum var. villosum","Ribes","Ribes aureum","var.","villosum","Nova Scotia"
"2647","Quercus prinoides","Quercus","Quercus prinoides","","","Quebec"
"2648","Ribes americanum","Ribes","Ribes americanum","","","Nova Scotia"
"2649","Rubus pedatus","Rubus","Rubus pedatus","","","British Columbia"
"2650","Thuja plicata","Thuja","Thuja plicata","","","British Columbia"
"2651","Shepherdia canadensis","Shepherdia","Shepherdia canadensis","","","British Columbia"
"2652","Salix reticulata","Salix","Salix reticulata","","","Nunavut"
"2653","Rubus idaeus","Rubus","Rubus idaeus","","","Ontario"
"2654","Tsuga canadensis","Tsuga","Tsuga canadensis","","","Nova Scotia"
"2655","Tsuga heterophylla","Tsuga","Tsuga heterophylla","","","British Columbia"
"2656","Thuja occidentalis","Thuja","Thuja occidentalis","","","Ontario"
"2657","Symphoricarpos albus","Symphoricarpos","Symphoricarpos albus","","","British Columbia"
"2658","Taxus canadensis","Taxus","Taxus canadensis","","","Nova Scotia"
"2659","Sambucus caerulea","Sambucus","Sambucus caerulea","","","British Columbia"
"2660","Sorbus decora","Sorbus","Sorbus decora","","","Ontario"
"2661","Rubus idaeus subsp. strigosus","Rubus","Rubus idaeus","subsp.","strigosus","Manitoba"
"2662","Tilia americana","Tilia","Tilia americana","","","Ontario"
"2663","Urtica dioica","Urtica","Urtica dioica","","","British Columbia"
"2664","Spiraea douglasii","Spiraea","Spiraea douglasii","","","British Columbia"
"2665","Rubus ursinus","Rubus","Rubus ursinus","","","British Columbia"
"2666","Sagittaria latifolia","Sagittaria","Sagittaria latifolia","","","Ontario"
"2667","Tsuga canadensis","Tsuga","Tsuga canadensis","","","Ontario"
"2668","Rubus chamaemorus","Rubus","Rubus chamaemorus","","","British Columbia"
"2669","Typha latifolia","Typha","Typha latifolia","","","Nova Scotia"
"2670","Ulmus americana","Ulmus","Ulmus americana","","","Ontario"
"2671","Typha latifolia","Typha","Typha latifolia","","","British Columbia"
"2672","Rubus spectabilis","Rubus","Rubus spectabilis","","","British Columbia"
"2673","Symphoricarpos albus","Symphoricarpos","Symphoricarpos albus","","","Quebec"
"2674","Rubus idaeus","Rubus","Rubus idaeus","","","British Columbia"
"2675","Rubus odoratus","Rubus","Rubus odoratus","","","Ontario"
"2676","Rubus idaeus","Rubus","Rubus idaeus","","","Quebec"
"2677","Rubus idaeus subsp. strigosus","Rubus","Rubus idaeus","subsp.","strigosus","Alberta"
"2678","Thuja occidentalis","Thuja","Thuja occidentalis","","","Quebec"
"2679","Sedum divergens","Sedum","Sedum divergens","","","British Columbia"
"2680","Vaccinium angustifolium","Vaccinium","Vaccinium angustifolium","","","Ontario"
"2681","Taxus canadensis","Taxus","Taxus canadensis","","","Ontario"
"2682","Rubus occidentalis","Rubus","Rubus occidentalis","","","Ontario"
"2683","Ulmus americana","Ulmus","Ulmus americana","","","Manitoba"
"2684","Taxus canadensis","Taxus","Taxus canadensis","","","Quebec"
"2685","Urtica dioica","Urtica","Urtica dioica","","","Manitoba"
"2686","Sedum spathulifolium","Sedum","Sedum spathulifolium","","","British Columbia"
"2687","Schizachyrium scoparium","Schizachyrium","Schizachyrium scoparium","","","Ontario"
"2688","Vaccinium angustifolium","Vaccinium","Vaccinium angustifolium","","","Nova Scotia"
"2689","Sambucus racemosa","Sambucus","Sambucus racemosa","","","Alberta"
"2690","Salix reticulata","Salix","Salix reticulata","","","British Columbia"
"2691","Trifolium wormskioldii","Trifolium","Trifolium wormskioldii","","","British Columbia"
"2692","Sorbus americana","Sorbus","Sorbus americana","","","Nova Scotia"
"2693","Sambucus canadensis","Sambucus","Sambucus canadensis","","","Ontario"
