"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFIC","PROVINCE"
"4063","Juniperus communis","Juniperus","Juniperus communis","","","Northwest Territories"
"4064","Mentha canadensis","Mentha","Mentha canadensis","","","British Columbia"
"4065","Mentha canadensis","Mentha","Mentha canadensis","","","British Columbia"
"4066","Linum lewisii","Linum","Linum lewisii","","","Yukon"
"4067","Mentha canadensis","Mentha","Mentha canadensis","","","British Columbia"
"4068","Maianthemum racemosum","Maianthemum","Maianthemum racemosum","","","Quebec"
"4069","Lomatium triternatum","Lomatium","Lomatium triternatum","","","British Columbia"
"4070","Lathyrus japonicus","Lathyrus","Lathyrus japonicus","","","Quebec"
"4071","Lupinus nootkatensis","Lupinus","Lupinus nootkatensis","","","British Columbia"
"4072","Kalmia microphylla","Kalmia","Kalmia microphylla","","","British Columbia"
"4073","Kalmia microphylla","Kalmia","Kalmia microphylla","","","British Columbia"
"4074","Melica bulbosa","Melica","Melica bulbosa","","","British Columbia"
"4075","Lactuca pulchella","Lactuca","Lactuca pulchella","","","British Columbia"
"4076","Leymus innovatus","Leymus","Leymus innovatus","","","British Columbia"
"4077","Maianthemum racemosum","Maianthemum","Maianthemum racemosum","","","British Columbia"
"4078","Lathyrus japonicus","Lathyrus","Lathyrus japonicus","","","British Columbia"
"4079","Lomatium foeniculaceum","Lomatium","Lomatium foeniculaceum","","","British Columbia"
"4080","Kalmia microphylla","Kalmia","Kalmia microphylla","","","Alberta"
"4081","Juniperus communis","Juniperus","Juniperus communis","","","British Columbia"
"4082","Maianthemum racemosum","Maianthemum","Maianthemum racemosum","","","British Columbia"
"4083","Lomatium triternatum","Lomatium","Lomatium triternatum","","","British Columbia"
"4084","Leymus triticoides","Leymus","Leymus triticoides","","","British Columbia"
"4085","Lomatium foeniculaceum","Lomatium","Lomatium foeniculaceum","","","Alberta"
"4086","Lathyrus palustris","Lathyrus","Lathyrus palustris","","","Prince Edward Island"
"4087","Kalmia microphylla","Kalmia","Kalmia microphylla","","","Yukon"
"4088","Mentha canadensis","Mentha","Mentha canadensis","","","British Columbia"
"4089","Mentha canadensis","Mentha","Mentha canadensis","","","Quebec"
"4090","Lathyrus palustris","Lathyrus","Lathyrus palustris","","","Ontario"
"4091","Lathyrus palustris","Lathyrus","Lathyrus palustris","","","Quebec"
"4092","Lathyrus palustris","Lathyrus","Lathyrus palustris","","","Prince Edward Island"
"4093","Mentha canadensis","Mentha","Mentha canadensis","","","Newfoundland and Labrador"
"4094","Leymus mollis","Leymus","Leymus mollis","","","Ontario"
"4095","Maianthemum racemosum","Maianthemum","Maianthemum racemosum","","","Ontario"
"4096","Myrica gale","Myrica","Myrica gale","","","Ontario"
"4097","Juniperus communis","Juniperus","Juniperus communis","","","Quebec"
"4098","Juniperus communis","Juniperus","Juniperus communis","","","British Columbia"
"4099","Juniperus communis","Juniperus","Juniperus communis","","","Saskatchewan"
"4100","Lathyrus japonicus","Lathyrus","Lathyrus japonicus","","","New Brunswick"
"4101","Linum lewisii","Linum","Linum lewisii","","","British Columbia"
"4102","Lactuca pulchella","Lactuca","Lactuca pulchella","","","Alberta"
"4103","Lactuca pulchella","Lactuca","Lactuca pulchella","","","Manitoba"
"4104","Lactuca pulchella","Lactuca","Lactuca pulchella","","","Saskatchewan"
"4105","Mentha canadensis","Mentha","Mentha canadensis","","","Alberta"
"4106","Mentha canadensis","Mentha","Mentha canadensis","","","Nova Scotia"
"4107","Mentha canadensis","Mentha","Mentha canadensis","","","Nova Scotia"
"4108","Juniperus communis","Juniperus","Juniperus communis","","","Nova Scotia"
"4109","Lathyrus japonicus","Lathyrus","Lathyrus japonicus","","","Nova Scotia"
"4110","Maianthemum racemosum","Maianthemum","Maianthemum racemosum","","","Nova Scotia"
"4111","Maianthemum racemosum","Maianthemum","Maianthemum racemosum","","","Prince Edward Island"
"4112","Lathyrus japonicus","Lathyrus","Lathyrus japonicus","","","Prince Edward Island"
"4113","Lathyrus japonicus","Lathyrus","Lathyrus japonicus","","","Manitoba"
"4114","Lactuca pulchella","Lactuca","Lactuca pulchella","","","Ontario"
"4115","Lathyrus japonicus","Lathyrus","Lathyrus japonicus","","","Prince Edward Island"
"4116","Lactuca pulchella","Lactuca","Lactuca pulchella","","","Manitoba"
"4117","Maianthemum racemosum","Maianthemum","Maianthemum racemosum","","","New Brunswick"
"4118","Lathyrus japonicus","Lathyrus","Lathyrus japonicus","","","Quebec"
"4119","Lathyrus japonicus","Lathyrus","Lathyrus japonicus","","","New Brunswick"
"4120","Lathyrus palustris","Lathyrus","Lathyrus palustris","","","New Brunswick"
"4121","Lathyrus palustris","Lathyrus","Lathyrus palustris","","","British Columbia"
"4122","Lathyrus japonicus","Lathyrus","Lathyrus japonicus","","","New Brunswick"
"4123","Lathyrus japonicus","Lathyrus","Lathyrus japonicus","","","Nunavut"
"4124","Lactuca pulchella","Lactuca","Lactuca pulchella","","","Saskatchewan"
"4125","Lathyrus japonicus","Lathyrus","Lathyrus japonicus","","","Prince Edward Island"
"4126","Lathyrus japonicus","Lathyrus","Lathyrus japonicus","","","Yukon"
"4127","Lathyrus palustris","Lathyrus","Lathyrus palustris","","","Ontario"
"4128","Lathyrus japonicus","Lathyrus","Lathyrus japonicus","","","Ontario"
"4129","Lactuca pulchella","Lactuca","Lactuca pulchella","","","Alberta"
"4130","Lathyrus japonicus","Lathyrus","Lathyrus japonicus","","","Manitoba"
"4131","Myrica gale","Myrica","Myrica gale","","","Ontario"
"4132","Mentha canadensis","Mentha","Mentha canadensis","","","Manitoba"
"4133","Lathyrus palustris","Lathyrus","Lathyrus palustris","","","Manitoba"
"4134","Lathyrus palustris","Lathyrus","Lathyrus palustris","","","Manitoba"
"4135","Juniperus communis","Juniperus","Juniperus communis","","","Yukon"
"4136","Juniperus communis","Juniperus","Juniperus communis","","","Northwest Territories"
"4137","Lathyrus japonicus","Lathyrus","Lathyrus japonicus","","","Northwest Territories"
"4138","Leymus mollis","Leymus","Leymus mollis","","","Quebec"
"4139","Lathyrus japonicus","Lathyrus","Lathyrus japonicus","","","Prince Edward Island"
"4140","Lonicera involucrata","Lonicera","Lonicera involucrata","","","British Columbia"
"4141","Maianthemum racemosum","Maianthemum","Maianthemum racemosum","","","Alberta"
"4142","Myrica gale","Myrica","Myrica gale","","","Quebec"
"4143","Lathyrus japonicus","Lathyrus","Lathyrus japonicus","","","Quebec"
"4144","Lactuca pulchella","Lactuca","Lactuca pulchella","","","Quebec"
"4145","Juniperus communis","Juniperus","Juniperus communis","","","Quebec"
"4146","Lathyrus palustris","Lathyrus","Lathyrus palustris","","","Quebec"
"4147","Lathyrus palustris","Lathyrus","Lathyrus palustris","","","Quebec"
"4148","Lathyrus palustris","Lathyrus","Lathyrus palustris","","","Quebec"
"4149","Leymus mollis","Leymus","Leymus mollis","","","Quebec"
"4150","Leymus mollis","Leymus","Leymus mollis","","","Newfoundland and Labrador"
"4151","Myrica gale","Myrica","Myrica gale","","","Newfoundland and Labrador"
"4152","Myrica gale","Myrica","Myrica gale","","","Quebec"
"4153","Mentha canadensis","Mentha","Mentha canadensis","","","Quebec"
"4154","Lathyrus palustris","Lathyrus","Lathyrus palustris","","","Quebec"
"4155","Lathyrus japonicus","Lathyrus","Lathyrus japonicus","","","Newfoundland and Labrador"
"4156","Juniperus communis","Juniperus","Juniperus communis","","","Quebec"
"4157","Nuphar polysepalum","Nuphar","Nuphar polysepalum","","","Yukon"
"4158","Mentha canadensis","Mentha","Mentha canadensis","","","Northwest Territories"
"4159","Mentha canadensis","Mentha","Mentha canadensis","","","Northwest Territories"
"4160","Myrica gale","Myrica","Myrica gale","","","Northwest Territories"
"4161","Myrica gale","Myrica","Myrica gale","","","Manitoba"
"4162","Myrica gale","Myrica","Myrica gale","","","Yukon"
"4163","Myrica gale","Myrica","Myrica gale","","","Alberta"
"4164","Juniperus communis","Juniperus","Juniperus communis","","","Alberta"
"4165","Lathyrus japonicus","Lathyrus","Lathyrus japonicus","","","Yukon"
"4166","Juniperus scopulorum","Juniperus","Juniperus scopulorum","","","British Columbia"
"4167","Juniperus communis","Juniperus","Juniperus communis","","","Newfoundland and Labrador"
"4168","Myrica gale","Myrica","Myrica gale","","","Newfoundland and Labrador"
"4169","Lathyrus japonicus","Lathyrus","Lathyrus japonicus","","","New Brunswick"
"4170","Lathyrus japonicus","Lathyrus","Lathyrus japonicus","","","Newfoundland and Labrador"
"4171","Mentha canadensis","Mentha","Mentha canadensis","","","Nova Scotia"
"4172","Mentha canadensis","Mentha","Mentha canadensis","","","Nova Scotia"
"4173","Mentha canadensis","Mentha","Mentha canadensis","","","Quebec"
"4174","Mentha canadensis","Mentha","Mentha canadensis","","","Quebec"
"4175","Lathyrus japonicus","Lathyrus","Lathyrus japonicus","","","Ontario"
"4176","Myrica gale","Myrica","Myrica gale","","","Nova Scotia"
"4177","Poa saltuensis","Poa","Poa saltuensis","","","Ontario"
"4178","Pinus albicaulis","Pinus","Pinus albicaulis","","","Alberta"
"4179","Panicum virgatum","Panicum","Panicum virgatum","","","Nova Scotia"
"4180","Poa juncifolia","Poa","Poa juncifolia","","","Saskatchewan"
"4181","Poa hartzii","Poa","Poa hartzii","","","Nunavut"
"4182","Populus balsamifera","Populus","Populus balsamifera","","","Ontario"
"4183","Populus balsamifera","Populus","Populus balsamifera","","","Northwest Territories"
"4184","Populus balsamifera","Populus","Populus balsamifera","","","British Columbia"
"4185","Poa alpigena","Poa","Poa alpigena","","","Nunavut"
"4186","Plantago maritima","Plantago","Plantago maritima","","","Nova Scotia"
"4187","Poa alpigena","Poa","Poa alpigena","","","Yukon"
"4188","Poa saltuensis","Poa","Poa saltuensis","","","Ontario"
"4189","Plantago maritima","Plantago","Plantago maritima","","","British Columbia"
"4190","Picea glauca","Picea","Picea glauca","","","Nova Scotia"
"4191","Plantago maritima","Plantago","Plantago maritima","","","Newfoundland and Labrador"
"4192","Poa glauca","Poa","Poa glauca","","","Northwest Territories"
"4193","Poa hartzii","Poa","Poa hartzii","","","Northwest Territories"
"4194","Poa cusickii","Poa","Poa cusickii","","","British Columbia"
"4195","Poa secunda","Poa","Poa secunda","","","British Columbia"
"4196","Poa alpigena","Poa","Poa alpigena","","","Nunavut"
"4197","Poa humilis","Poa","Poa humilis","","","Quebec"
"4198","Poa alpigena","Poa","Poa alpigena","","","Northwest Territories"
"4199","Plantago maritima","Plantago","Plantago maritima","","","Manitoba"
"4200","Poa alpigena","Poa","Poa alpigena","","","Ontario"
"4201","Physalis heterophylla","Physalis","Physalis heterophylla","","","Quebec"
"4202","Plantago maritima","Plantago","Plantago maritima","","","Quebec"
"4203","Plantago maritima","Plantago","Plantago maritima","","","New Brunswick"
"4204","Picea glauca","Picea","Picea glauca","","","Ontario"
"4205","Philadelphus lewisii","Philadelphus","Philadelphus lewisii","","","British Columbia"
"4206","Populus balsamifera","Populus","Populus balsamifera","","","Quebec"
"4207","Populus balsamifera","Populus","Populus balsamifera","","","Yukon"
"4208","Picea glauca","Picea","Picea glauca","","","Northwest Territories"
"4209","Picea glauca","Picea","Picea glauca","","","British Columbia"
"4210","Picea glauca","Picea","Picea glauca","","","Yukon"
"4211","Poa leptocoma","Poa","Poa leptocoma","","","British Columbia"
"4212","Oxybasis rubra","Oxybasis","Oxybasis rubra","","","British Columbia"
"4213","Poa tolmatchewii","Poa","Poa tolmatchewii","","","Nunavut"
"4214","Picea glauca","Picea","Picea glauca","","","British Columbia"
"4215","Poa juncifolia","Poa","Poa juncifolia","","","British Columbia"
"4216","Poa humilis","Poa","Poa humilis","","","British Columbia"
"4217","Populus balsamifera","Populus","Populus balsamifera","","","British Columbia"
"4218","Panicum capillare","Panicum","Panicum capillare","","","British Columbia"
"4219","Poa alpigena","Poa","Poa alpigena","","","British Columbia"
"4220","Poa lanata","Poa","Poa lanata","","","British Columbia"
"4221","Pinus contorta","Pinus","Pinus contorta","","","British Columbia"
"4222","Poa cusickii","Poa","Poa cusickii","","","Alberta"
"4223","Poa alpina","Poa","Poa alpina","","","British Columbia"
"4224","Poa alpigena","Poa","Poa alpigena","","","Alberta"
"4225","Poa alpigena","Poa","Poa alpigena","","","British Columbia"
"4226","Poa lanata","Poa","Poa lanata","","","Yukon"
"4227","Poa alpigena","Poa","Poa alpigena","","","Quebec"
"4228","Poa arctica","Poa","Poa arctica","","","British Columbia"
"4229","Poa cusickii","Poa","Poa cusickii","","","British Columbia"
"4230","Poa cusickii","Poa","Poa cusickii","","","British Columbia"
"4231","Poa arctica","Poa","Poa arctica","","","British Columbia"
"4232","Populus balsamifera","Populus","Populus balsamifera","","","British Columbia"
"4233","Populus tremuloides","Populus","Populus tremuloides","","","British Columbia"
"4234","Phleum alpinum","Phleum","Phleum alpinum","","","British Columbia"
"4235","Picea glauca","Picea","Picea glauca","","","British Columbia"
"4236","Populus balsamifera","Populus","Populus balsamifera","","","British Columbia"
"4237","Physaria arctica","Physaria","Physaria arctica","","","British Columbia"
"4238","Picea engelmannii","Picea","Picea engelmannii","","","British Columbia"
"4239","Poa arctica","Poa","Poa arctica","","","British Columbia"
"4240","Poa cusickii","Poa","Poa cusickii","","","British Columbia"
"4241","Poa leptocoma","Poa","Poa leptocoma","","","Alberta"
"4242","Poa alpigena","Poa","Poa alpigena","","","Yukon"
"4243","Poa leptocoma","Poa","Poa leptocoma","","","Yukon"
"4244","Panicum capillare","Panicum","Panicum capillare","","","Quebec"
"4245","Poa alpigena","Poa","Poa alpigena","","","Newfoundland and Labrador"
"4246","Plantago maritima","Plantago","Plantago maritima","","","Nunavut"
"4247","Poa alpina","Poa","Poa alpina","","","Ontario"
"4248","Poa alpina","Poa","Poa alpina","","","Quebec"
"4249","Panicum capillare","Panicum","Panicum capillare","","","Ontario"
"4250","Panicum dichotomiflorum","Panicum","Panicum dichotomiflorum","","","Ontario"
"4251","Panicum virgatum","Panicum","Panicum virgatum","","","Ontario"
"4252","Picea glauca","Picea","Picea glauca","","","Northwest Territories"
"4253","Picea glauca","Picea","Picea glauca","","","Yukon"
"4254","Poa alpigena","Poa","Poa alpigena","","","Northwest Territories"
"4255","Plantago maritima","Plantago","Plantago maritima","","","Prince Edward Island"
"4256","Panicum dichotomiflorum","Panicum","Panicum dichotomiflorum","","","Prince Edward Island"
"4257","Panicum dichotomiflorum","Panicum","Panicum dichotomiflorum","","","Nova Scotia"
"4258","Panicum dichotomiflorum","Panicum","Panicum dichotomiflorum","","","Nova Scotia"
"4259","Poa humilis","Poa","Poa humilis","","","Nunavut"
"4260","Poa pratensis","Poa","Poa pratensis","","","British Columbia"
"4261","Poa lanata","Poa","Poa lanata","","","Nunavut"
"4262","Poa lanata","Poa","Poa lanata","","","Northwest Territories"
"4263","Poa tolmatchewii","Poa","Poa tolmatchewii","","","Quebec"
"4264","Poa tolmatchewii","Poa","Poa tolmatchewii","","","Northwest Territories"
"4265","Poa tolmatchewii","Poa","Poa tolmatchewii","","","Manitoba"
"4266","Poa nemoralis","Poa","Poa nemoralis","","","Ontario"
"4267","Poa nemoralis","Poa","Poa nemoralis","","","Quebec"
"4268","Poa lanata","Poa","Poa lanata","","","Alberta"
"4269","Poa arctica","Poa","Poa arctica","","","Yukon"
"4270","Poa alpina","Poa","Poa alpina","","","Quebec"
"4271","Poa alpigena","Poa","Poa alpigena","","","Manitoba"
"4272","Picea glauca","Picea","Picea glauca","","","Northwest Territories"
"4273","Poa arctica","Poa","Poa arctica","","","Yukon"
"4274","Panicum philadelphicum","Panicum","Panicum philadelphicum","","","Ontario"
"4275","Pinus contorta","Pinus","Pinus contorta","","","Northwest Territories"
"4276","Physalis heterophylla","Physalis","Physalis heterophylla","","","Ontario"
"4277","Populus deltoides","Populus","Populus deltoides","","","Saskatchewan"
"4278","Plantago maritima","Plantago","Plantago maritima","","","Northwest Territories"
"4279","Poa humilis","Poa","Poa humilis","","","Newfoundland and Labrador"
"4280","Poa cusickii","Poa","Poa cusickii","","","Manitoba"
"4281","Panicum dichotomiflorum","Panicum","Panicum dichotomiflorum","","","Quebec"
"4282","Plantago maritima","Plantago","Plantago maritima","","","Newfoundland and Labrador"
"4283","Panicum capillare","Panicum","Panicum capillare","","","Quebec"
"4284","Panicum philadelphicum","Panicum","Panicum philadelphicum","","","Quebec"
"4285","Plantago maritima","Plantago","Plantago maritima","","","Quebec"
"4286","Poa arctica","Poa","Poa arctica","","","Northwest Territories"
"4287","Populus tremuloides","Populus","Populus tremuloides","","","Quebec"
"4288","Populus tremuloides","Populus","Populus tremuloides","","","Quebec"
"4289","Populus balsamifera","Populus","Populus balsamifera","","","Quebec"
"4290","Phleum alpinum","Phleum","Phleum alpinum","","","Quebec"
"4291","Plantago maritima","Plantago","Plantago maritima","","","Quebec"
"4292","Phalaris arundinacea","Phalaris","Phalaris arundinacea","","","Ontario"
"4293","Picea glauca","Picea","Picea glauca","","","Alberta"
"4294","Poa juncifolia","Poa","Poa juncifolia","","","Yukon"
"4295","Pinus strobus","Pinus","Pinus strobus","","","New Brunswick"
"4296","Pinus strobus","Pinus","Pinus strobus","","","Manitoba"
"4297","Pinus strobus","Pinus","Pinus strobus","","","Quebec"
"4298","Pinus strobus","Pinus","Pinus strobus","","","Newfoundland and Labrador"
"4299","Picea engelmannii","Picea","Picea engelmannii","","","Alberta"
"4300","Pinus flexilis","Pinus","Pinus flexilis","","","Alberta"
"4301","Picea glauca","Picea","Picea glauca","","","Saskatchewan"
"4302","Picea glauca","Picea","Picea glauca","","","Alberta"
"4303","Picea glauca","Picea","Picea glauca","","","Newfoundland and Labrador"
"4304","Picea glauca","Picea","Picea glauca","","","Yukon"
"4305","Picea glauca","Picea","Picea glauca","","","Manitoba"
"4306","Picea glauca","Picea","Picea glauca","","","Quebec"
"4307","Poa glauca","Poa","Poa glauca","","","Alberta"
"4308","Physaria arctica","Physaria","Physaria arctica","","","Alberta"
"4309","Panicum capillare","Panicum","Panicum capillare","","","Ontario"
"4310","Populus balsamifera","Populus","Populus balsamifera","","","Alberta"
"4311","Populus balsamifera","Populus","Populus balsamifera","","","Alberta"
"4312","Poa nemoralis","Poa","Poa nemoralis","","","Alberta"
"4313","Populus balsamifera","Populus","Populus balsamifera","","","Northwest Territories"
"4314","Picea glauca","Picea","Picea glauca","","","Alberta"
"4315","Poa cusickii","Poa","Poa cusickii","","","Alberta"
"4316","Poa juncifolia","Poa","Poa juncifolia","","","Alberta"
"4317","Poa cusickii","Poa","Poa cusickii","","","Alberta"
"4318","Poa macrantha","Poa","Poa macrantha","","","British Columbia"
"4319","Poa saltuensis","Poa","Poa saltuensis","","","Prince Edward Island"
"4320","Poa saltuensis","Poa","Poa saltuensis","","","Newfoundland and Labrador"
"4321","Plantago maritima","Plantago","Plantago maritima","","","Quebec"
"4322","Plantago maritima","Plantago","Plantago maritima","","","Manitoba"
"4323","Plantago maritima","Plantago","Plantago maritima","","","Newfoundland and Labrador"
"4324","Poa pratensis","Poa","Poa pratensis","","","Quebec"
"4325","Plantago maritima","Plantago","Plantago maritima","","","Quebec"
"4326","Populus balsamifera","Populus","Populus balsamifera","","","Nova Scotia"
"4327","Poa alpigena","Poa","Poa alpigena","","","Nova Scotia"
"4328","Populus balsamifera","Populus","Populus balsamifera","","","Quebec"
"4329","Populus balsamifera","Populus","Populus balsamifera","","","Quebec"
"4330","Populus balsamifera","Populus","Populus balsamifera","","","New Brunswick"
"4331","Rosa acicularis","Rosa","Rosa acicularis","","","Alberta"
"4332","Rosa woodsii","Rosa","Rosa woodsii","","","Alberta"
"4333","Argentina anserina","Argentina","Argentina anserina","","","Newfoundland and Labrador"
"4334","Ribes americanum","Ribes","Ribes americanum","","","Ontario"
"4335","Prunus emarginata","Prunus","Prunus emarginata","","","British Columbia"
"4336","Ribes triste","Ribes","Ribes triste","","","Quebec"
"4337","Prunus depressa","Prunus","Prunus depressa","","","Quebec"
"4338","Ribes cereum","Ribes","Ribes cereum","","","British Columbia"
"4339","Prunus depressa","Prunus","Prunus depressa","","","Ontario"
"4340","Ribes triste","Ribes","Ribes triste","","","Ontario"
"4341","Ribes hirtellum","Ribes","Ribes hirtellum","","","Ontario"
"4342","Rosa acicularis","Rosa","Rosa acicularis","","","Ontario"
"4343","Rosa acicularis","Rosa","Rosa acicularis","","","British Columbia"
"4344","Prunella vulgaris","Prunella","Prunella vulgaris","","","Ontario"
"4345","Prunella vulgaris","Prunella","Prunella vulgaris","","","Ontario"
"4346","Prunella vulgaris","Prunella","Prunella vulgaris","","","Ontario"
"4347","Rosa blanda","Rosa","Rosa blanda","","","Ontario"
"4348","Rosa arkansana","Rosa","Rosa arkansana","","","Manitoba"
"4349","Rhododendron groenlandicum","Rhododendron","Rhododendron groenlandicum","","","Quebec"
"4350","Ribes americanum","Ribes","Ribes americanum","","","Manitoba"
"4351","Prunus virginiana","Prunus","Prunus virginiana","","","New Brunswick"
"4352","Rosa acicularis","Rosa","Rosa acicularis","","","Northwest Territories"
"4353","Rosa acicularis","Rosa","Rosa acicularis","","","Quebec"
"4354","Rosa acicularis","Rosa","Rosa acicularis","","","Yukon"
"4355","Rosa woodsii","Rosa","Rosa woodsii","","","British Columbia"
"4356","Prunus virginiana","Prunus","Prunus virginiana","","","British Columbia"
"4357","Rosa virginiana","Rosa","Rosa virginiana","","","Nova Scotia"
"4358","Rhododendron groenlandicum","Rhododendron","Rhododendron groenlandicum","","","Yukon"
"4359","Quercus rubra","Quercus","Quercus rubra","","","Ontario"
"4360","Argentina anserina","Argentina","Argentina anserina","","","British Columbia"
"4361","Rosa gymnocarpa","Rosa","Rosa gymnocarpa","","","British Columbia"
"4362","Rosa gymnocarpa","Rosa","Rosa gymnocarpa","","","British Columbia"
"4363","Prunus virginiana","Prunus","Prunus virginiana","","","British Columbia"
"4364","Rosa acicularis","Rosa","Rosa acicularis","","","Northwest Territories"
"4365","Prunella vulgaris","Prunella","Prunella vulgaris","","","British Columbia"
"4366","Prunella vulgaris","Prunella","Prunella vulgaris","","","British Columbia"
"4367","Rosa nutkana","Rosa","Rosa nutkana","","","British Columbia"
"4368","Prunus virginiana","Prunus","Prunus virginiana","","","British Columbia"
"4369","Rubus arcticus","Rubus","Rubus arcticus","","","Yukon"
"4370","Rubus arcticus","Rubus","Rubus arcticus","","","British Columbia"
"4371","Rosa nutkana","Rosa","Rosa nutkana","","","British Columbia"
"4372","Rosa arkansana","Rosa","Rosa arkansana","","","British Columbia"
"4373","Rhodiola rosea","Rhodiola","Rhodiola rosea","","","British Columbia"
"4374","Rhododendron neoglandulosum","Rhododendron","Rhododendron neoglandulosum","","","British Columbia"
"4375","Rhododendron groenlandicum","Rhododendron","Rhododendron groenlandicum","","","Newfoundland and Labrador"
"4376","Rosa acicularis","Rosa","Rosa acicularis","","","Ontario"
"4377","Rosa acicularis","Rosa","Rosa acicularis","","","Ontario"
"4378","Quercus muehlenbergii","Quercus","Quercus muehlenbergii","","","Ontario"
"4379","Quercus rubra","Quercus","Quercus rubra","","","Ontario"
"4380","Prunus emarginata","Prunus","Prunus emarginata","","","British Columbia"
"4381","Prunella vulgaris","Prunella","Prunella vulgaris","","","Nova Scotia"
"4382","Quercus rubra","Quercus","Quercus rubra","","","Nova Scotia"
"4383","Quercus rubra","Quercus","Quercus rubra","","","Prince Edward Island"
"4384","Argentina anserina","Argentina","Argentina anserina","","","Northwest Territories"
"4385","Prunus depressa","Prunus","Prunus depressa","","","New Brunswick"
"4386","Rosa arkansana","Rosa","Rosa arkansana","","","Saskatchewan"
"4387","Rosa woodsii","Rosa","Rosa woodsii","","","Saskatchewan"
"4388","Rosa blanda","Rosa","Rosa blanda","","","New Brunswick"
"4389","Rosa blanda","Rosa","Rosa blanda","","","Quebec"
"4390","Rosa blanda","Rosa","Rosa blanda","","","Northwest Territories"
"4391","Argentina anserina","Argentina","Argentina anserina","","","Quebec"
"4392","Rubus allegheniensis","Rubus","Rubus allegheniensis","","","Nova Scotia"
"4393","Prunella vulgaris","Prunella","Prunella vulgaris","","","Quebec"
"4394","Prunus susquehanae","Prunus","Prunus susquehanae","","","Manitoba"
"4395","Prunella vulgaris","Prunella","Prunella vulgaris","","","Manitoba"
"4396","Argentina anserina","Argentina","Argentina anserina","","","Nova Scotia"
"4397","Argentina anserina","Argentina","Argentina anserina","","","Manitoba"
"4398","Prunus virginiana","Prunus","Prunus virginiana","","","Saskatchewan"
"4399","Rosa acicularis","Rosa","Rosa acicularis","","","Saskatchewan"
"4400","Prunus pensylvanica","Prunus","Prunus pensylvanica","","","Ontario"
"4401","Rosa woodsii","Rosa","Rosa woodsii","","","Alberta"
"4402","Prunella vulgaris","Prunella","Prunella vulgaris","","","Alberta"
"4403","Rosa blanda","Rosa","Rosa blanda","","","Quebec"
"4404","Ribes hirtellum","Ribes","Ribes hirtellum","","","Quebec"
"4405","Prunella vulgaris","Prunella","Prunella vulgaris","","","Quebec"
"4406","Ribes hirtellum","Ribes","Ribes hirtellum","","","Quebec"
"4407","Quercus rubra","Quercus","Quercus rubra","","","Ontario"
"4408","Rosa acicularis","Rosa","Rosa acicularis","","","Yukon"
"4409","Rosa acicularis","Rosa","Rosa acicularis","","","Northwest Territories"
"4410","Rosa acicularis","Rosa","Rosa acicularis","","","Northwest Territories"
"4411","Quercus macrocarpa","Quercus","Quercus macrocarpa","","","Ontario"
"4412","Prunus nigra","Prunus","Prunus nigra","","","Quebec"
"4413","Rosa blanda","Rosa","Rosa blanda","","","Nova Scotia"
"4414","Quercus rubra","Quercus","Quercus rubra","","","Quebec"
"4415","Prunus susquehanae","Prunus","Prunus susquehanae","","","Quebec"
"4416","Ribes hirtellum","Ribes","Ribes hirtellum","","","Nova Scotia"
"4417","Sambucus racemosa","Sambucus","Sambucus racemosa","","","British Columbia"
"4418","Sambucus racemosa","Sambucus","Sambucus racemosa","","","Ontario"
"4419","Sambucus racemosa","Sambucus","Sambucus racemosa","","","Nova Scotia"
"4420","Urtica dioica","Urtica","Urtica dioica","","","Ontario"
"4421","Sambucus racemosa","Sambucus","Sambucus racemosa","","","British Columbia"
"4422","Sambucus racemosa","Sambucus","Sambucus racemosa","","","Manitoba"
"4423","Sambucus racemosa","Sambucus","Sambucus racemosa","","","Alberta"
"4424","Sambucus racemosa","Sambucus","Sambucus racemosa","","","Newfoundland and Labrador"
"4425","Symphoricarpos albus","Symphoricarpos","Symphoricarpos albus","","","British Columbia"
"4426","Salix lucida","Salix","Salix lucida","","","Yukon"
"4427","Sambucus racemosa","Sambucus","Sambucus racemosa","","","Quebec"
"4428","Sambucus racemosa","Sambucus","Sambucus racemosa","","","New Brunswick"
"4429","Salix richardsonii","Salix","Salix richardsonii","","","Nunavut"
"4430","Sorbus scopulina","Sorbus","Sorbus scopulina","","","British Columbia"
"4431","Tilia americana","Tilia","Tilia americana","","","Ontario"
"4432","Sambucus racemosa","Sambucus","Sambucus racemosa","","","British Columbia"
"4433","Rubus idaeus","Rubus","Rubus idaeus","","","Alberta"
"4434","Salix reticulata","Salix","Salix reticulata","","","Manitoba"
"4435","Urtica dioica","Urtica","Urtica dioica","","","Quebec"
"4436","Vaccinium angustifolium","Vaccinium","Vaccinium angustifolium","","","Ontario"
"4437","Salix planifolia","Salix","Salix planifolia","","","Alberta"
"4438","Salix reticulata","Salix","Salix reticulata","","","Nunavut"
"4439","Tilia americana","Tilia","Tilia americana","","","Quebec"
"4440","Rubus idaeus","Rubus","Rubus idaeus","","","Ontario"
"4441","Schizachyrium scoparium","Schizachyrium","Schizachyrium scoparium","","","Saskatchewan"
"4442","Urtica dioica","Urtica","Urtica dioica","","","Prince Edward Island"
"4443","Sedum spathulifolium","Sedum","Sedum spathulifolium","","","British Columbia"
"4444","Sambucus racemosa","Sambucus","Sambucus racemosa","","","Manitoba"
"4445","Urtica dioica","Urtica","Urtica dioica","","","Newfoundland and Labrador"
