TAXON,GENUS,SPECIES,RANK,INFRASPECIFIC,PROVINCE
Picea glauca,Picea,Picea glauca,,,New Brunswick
Phleum alpinum,Phleum,Phleum alpinum,,,British Columbia
Pinus monticola,Pinus,Pinus monticola,,,Alberta
Pinus contorta var. latifolia,Pinus,Pinus contorta,var.,latifolia,Yukon
Pinus rigida,Pinus,Pinus rigida,,,Ontario
Poa glauca,Poa,Poa glauca,,,Ontario
Populus balsamifera,Populus,Populus balsamifera,,,Yukon
Poa secunda subsp. secunda,Poa,Poa secunda,subsp.,secunda,Ontario
Pinus banksiana,Pinus,Pinus banksiana,,,Alberta
Picea glauca,Picea,Picea glauca,,,Manitoba
Picea mariana,Picea,Picea mariana,,,Alberta
Populus tremuloides,Populus,Populus tremuloides,,,New Brunswick
Picea rubens,Picea,Picea rubens,,,Quebec
Poa pratensis,Poa,Poa pratensis,,,Saskatchewan
Populus tremuloides,Populus,Populus tremuloides,,,Yukon
Plantago maritima,Plantago,Plantago maritima,,,Quebec
Pinus contorta,Pinus,Pinus contorta,,,Yukon
Picea mariana,Picea,Picea mariana,,,Yukon
Podophyllum peltatum,Podophyllum,Podophyllum peltatum,,,Nova Scotia
Physaria douglasii,Physaria,Physaria douglasii,,,British Columbia
Pinus banksiana,Pinus,Pinus banksiana,,,Saskatchewan
Phleum alpinum,Phleum,Phleum alpinum,,,Ontario
Poa palustris,Poa,Poa palustris,,,Saskatchewan
Picea glauca,Picea,Picea glauca,,,Northwest Territories
Poa alpina,Poa,Poa alpina,,,Alberta
Poa secunda,Poa,Poa secunda,,,Saskatchewan
Phalaris arundinacea,Phalaris,Phalaris arundinacea,,,Nova Scotia
Picea rubens,Picea,Picea rubens,,,Ontario
Picea mariana,Picea,Picea mariana,,,Prince Edward Island
Poa alpina,Poa,Poa alpina,,,Yukon
Poa pratensis,Poa,Poa pratensis,,,Ontario
Populus tremuloides,Populus,Populus tremuloides,,,Newfoundland and Labrador
Pinus banksiana,Pinus,Pinus banksiana,,,Northwest Territories
Populus grandidentata,Populus,Populus grandidentata,,,Manitoba
Oxybasis rubra var. humilis,Oxybasis,Oxybasis rubra,var.,humilis,Ontario
Plantago maritima,Plantago,Plantago maritima,,,Prince Edward Island
Phleum alpinum,Phleum,Phleum alpinum,,,Alberta
Poa secunda subsp. secunda,Poa,Poa secunda,subsp.,secunda,British Columbia
Panicum capillare,Panicum,Panicum capillare,,,Alberta
Panicum dichotomiflorum,Panicum,Panicum dichotomiflorum,,,Quebec
Plantago maritima,Plantago,Plantago maritima,,,Ontario
Populus tremuloides,Populus,Populus tremuloides,,,Saskatchewan
Picea mariana,Picea,Picea mariana,,,Manitoba
Picea engelmannii,Picea,Picea engelmannii,,,British Columbia
Populus deltoides,Populus,Populus deltoides,,,Saskatchewan
Picea glauca,Picea,Picea glauca,,,Newfoundland and Labrador
Plantago maritima,Plantago,Plantago maritima,,,New Brunswick
Picea glauca,Picea,Picea glauca,,,British Columbia
Poa pratensis subsp. pratensis,Poa,Poa pratensis,subsp.,pratensis,Saskatchewan
Pinus contorta var. latifolia,Pinus,Pinus contorta,var.,latifolia,Alberta
Physalis heterophylla,Physalis,Physalis heterophylla,,,Quebec
Poa alpina,Poa,Poa alpina,,,British Columbia
Picea mariana,Picea,Picea mariana,,,British Columbia
Poa palustris,Poa,Poa palustris,,,Manitoba
Poa glauca subsp. glauca,Poa,Poa glauca,subsp.,glauca,Nunavut
Poa macrantha,Poa,Poa macrantha,,,British Columbia
Phleum alpinum,Phleum,Phleum alpinum,,,Yukon
Picea rubens,Picea,Picea rubens,,,New Brunswick
Populus balsamifera,Populus,Populus balsamifera,,,Nova Scotia
Picea mariana,Picea,Picea mariana,,,Northwest Territories
Populus balsamifera,Populus,Populus balsamifera,,,Northwest Territories
Poa arctica subsp. arctica,Poa,Poa arctica,subsp.,arctica,Nunavut
Poa abbreviata subsp. abbreviata,Poa,Poa abbreviata,subsp.,abbreviata,Nunavut
Panicum capillare,Panicum,Panicum capillare,,,Manitoba
Pinus banksiana,Pinus,Pinus banksiana,,,Prince Edward Island
Panax trifolius,Panax,Panax trifolius,,,Quebec
Poa alpina subsp. alpina,Poa,Poa alpina,subsp.,alpina,British Columbia
Poa palustris,Poa,Poa palustris,,,New Brunswick
Pinus strobus,Pinus,Pinus strobus,,,Newfoundland and Labrador
Panax trifolius,Panax,Panax trifolius,,,Ontario
Picea mariana,Picea,Picea mariana,,,Newfoundland and Labrador
Phalaris arundinacea,Phalaris,Phalaris arundinacea,,,Prince Edward Island
Pinus rigida,Pinus,Pinus rigida,,,Quebec
Populus grandidentata,Populus,Populus grandidentata,,,Alberta
Poa pratensis,Poa,Poa pratensis,,,Manitoba
Panax quinquefolius,Panax,Panax quinquefolius,,,Quebec
Podophyllum peltatum,Podophyllum,Podophyllum peltatum,,,Quebec
Pinus contorta,Pinus,Pinus contorta,,,Saskatchewan
Poa glauca,Poa,Poa glauca,,,Northwest Territories
Pinus resinosa,Pinus,Pinus resinosa,,,Manitoba
Panicum capillare,Panicum,Panicum capillare,,,British Columbia
Poa secunda,Poa,Poa secunda,,,British Columbia
Phleum alpinum,Phleum,Phleum alpinum,,,Northwest Territories
Poa glauca,Poa,Poa glauca,,,Yukon
Poa alsodes,Poa,Poa alsodes,,,Ontario
Phalaris arundinacea,Phalaris,Phalaris arundinacea,,,Newfoundland and Labrador
Populus balsamifera,Populus,Populus balsamifera,,,New Brunswick
Physalis virginiana,Physalis,Physalis virginiana,,,Manitoba
Poa pratensis,Poa,Poa pratensis,,,Quebec
Picea glauca,Picea,Picea glauca,,,Prince Edward Island
Populus balsamifera,Populus,Populus balsamifera,,,Saskatchewan
Physaria arctica,Physaria,Physaria arctica,,,Yukon
Pinus flexilis,Pinus,Pinus flexilis,,,British Columbia
Philadelphus lewisii,Philadelphus,Philadelphus lewisii,,,Ontario
Poa arctica,Poa,Poa arctica,,,Yukon
Poa arctica,Poa,Poa arctica,,,Nunavut
Panax trifolius,Panax,Panax trifolius,,,Nova Scotia
Poa alsodes,Poa,Poa alsodes,,,Prince Edward Island
Poa saltuensis,Poa,Poa saltuensis,,,Ontario
Pinus strobus,Pinus,Pinus strobus,,,Manitoba
Panax trifolius,Panax,Panax trifolius,,,Prince Edward Island
Poa alsodes,Poa,Poa alsodes,,,Quebec
Panicum capillare,Panicum,Panicum capillare,,,New Brunswick
Poa alpina,Poa,Poa alpina,,,Newfoundland and Labrador
Poa alpina,Poa,Poa alpina,,,Ontario
Poa abbreviata,Poa,Poa abbreviata,,,Nunavut
Poa abbreviata,Poa,Poa abbreviata,,,British Columbia
Oxybasis rubra var. humilis,Oxybasis,Oxybasis rubra,var.,humilis,Yukon
Physaria spatulata,Physaria,Physaria spatulata,,,Alberta
Panicum capillare,Panicum,Panicum capillare,,,Quebec
Plantago maritima,Plantago,Plantago maritima,,,Yukon
Poa pratensis,Poa,Poa pratensis,,,New Brunswick
Panicum philadelphicum,Panicum,Panicum philadelphicum,,,New Brunswick
Panicum virgatum,Panicum,Panicum virgatum,,,Quebec
Populus deltoides,Populus,Populus deltoides,,,Nova Scotia
Physaria arctica,Physaria,Physaria arctica,,,Newfoundland and Labrador
Poa pratensis,Poa,Poa pratensis,,,Prince Edward Island
Panicum capillare,Panicum,Panicum capillare,,,Nova Scotia
Poa palustris,Poa,Poa palustris,,,Alberta
Poa palustris,Poa,Poa palustris,,,Newfoundland and Labrador
Philadelphus lewisii,Philadelphus,Philadelphus lewisii,,,Alberta
Poa pratensis,Poa,Poa pratensis,,,Nova Scotia
Poa pratensis,Poa,Poa pratensis,,,Yukon
Poa pratensis,Poa,Poa pratensis,,,Northwest Territories
Poa secunda,Poa,Poa secunda,,,Yukon
Poa trivialis,Poa,Poa trivialis,,,Ontario
Poa nemoralis,Poa,Poa nemoralis,,,Yukon
Poa glauca,Poa,Poa glauca,,,Newfoundland and Labrador
Poa palustris,Poa,Poa palustris,,,Northwest Territories
Pinus banksiana,Pinus,Pinus banksiana,,,Newfoundland and Labrador
Populus deltoides subsp. monilifera,Populus,Populus deltoides,subsp.,monilifera,Alberta
Pinus ponderosa var. ponderosa,Pinus,Pinus ponderosa,var.,ponderosa,British Columbia
Poa trivialis,Poa,Poa trivialis,,,Quebec
Phleum alpinum,Phleum,Phleum alpinum,,,Newfoundland and Labrador
Poa saltuensis,Poa,Poa saltuensis,,,Prince Edward Island
Poa nemoralis,Poa,Poa nemoralis,,,Ontario
Panicum virgatum,Panicum,Panicum virgatum,,,Prince Edward Island
Poa cusickii,Poa,Poa cusickii,,,Alberta
Poa cusickii,Poa,Poa cusickii,,,Saskatchewan
Physaria arctica,Physaria,Physaria arctica,,,Alberta
Panicum capillare,Panicum,Panicum capillare,,,Prince Edward Island
Panicum capillare,Panicum,Panicum capillare,,,Saskatchewan
Poa abbreviata,Poa,Poa abbreviata,,,Northwest Territories
Poa secunda,Poa,Poa secunda,,,Alberta
Panicum virgatum,Panicum,Panicum virgatum,,,Nova Scotia
Poa glauca,Poa,Poa glauca,,,Quebec
Poa glauca subsp. rupicola,Poa,Poa glauca,subsp.,rupicola,Nunavut
Poa arctica,Poa,Poa arctica,,,Newfoundland and Labrador
Poa alpina,Poa,Poa alpina,,,Northwest Territories
Poa arctica,Poa,Poa arctica,,,Northwest Territories
Poa alpina,Poa,Poa alpina,,,Nunavut
Poa alpina,Poa,Poa alpina,,,Manitoba
Poa glauca,Poa,Poa glauca,,,Manitoba
Poa pratensis,Poa,Poa pratensis,,,Newfoundland and Labrador
Poa glauca,Poa,Poa glauca,,,Nunavut
Poa arctica,Poa,Poa arctica,,,Quebec
Poa alpina,Poa,Poa alpina,,,Quebec
Poa glauca,Poa,Poa glauca,,,Alberta
Poa arctica,Poa,Poa arctica,,,Manitoba
Poa hartzii subsp. hartzii,Poa,Poa hartzii,subsp.,hartzii,Nunavut
Poa pratensis,Poa,Poa pratensis,,,Nunavut
Poa gaspensis,Poa,Poa gaspensis,,,Quebec
Poa palustris,Poa,Poa palustris,,,Quebec
Poa hartzii subsp. hartzii,Poa,Poa hartzii,subsp.,hartzii,Northwest Territories
Phleum alpinum,Phleum,Phleum alpinum,,,Quebec
Poa pratensis subsp. agassizensis,Poa,Poa pratensis,subsp.,agassizensis,British Columbia
Poa glauca subsp. rupicola,Poa,Poa glauca,subsp.,rupicola,Yukon
Poa palustris,Poa,Poa palustris,,,British Columbia
Phalaris arundinacea,Phalaris,Phalaris arundinacea,,,Yukon
Phalaris arundinacea,Phalaris,Phalaris arundinacea,,,Northwest Territories
Pinus contorta var. yukonensis,Pinus,Pinus contorta,var.,yukonensis,Yukon
Physaria arctica,Physaria,Physaria arctica,,,Nunavut
Panicum dichotomiflorum,Panicum,Panicum dichotomiflorum,,,Nova Scotia
Pinus resinosa,Pinus,Pinus resinosa,,,Saskatchewan
Poa trivialis,Poa,Poa trivialis,,,Nova Scotia
Populus deltoides subsp. monilifera,Populus,Populus deltoides,subsp.,monilifera,Ontario
Poa nemoralis,Poa,Poa nemoralis,,,Quebec
Poa arctica,Poa,Poa arctica,,,Ontario
Poa palustris,Poa,Poa palustris,,,Yukon
Poa saltuensis,Poa,Poa saltuensis,,,New Brunswick
Poa pratensis subsp. pratensis,Poa,Poa pratensis,subsp.,pratensis,Alberta
Poa palustris,Poa,Poa palustris,,,Prince Edward Island
Poa glauca,Poa,Poa glauca,,,British Columbia
Poa cusickii subsp. purpurascens,Poa,Poa cusickii,subsp.,purpurascens,British Columbia
Populus deltoides subsp. deltoides,Populus,Populus deltoides,subsp.,deltoides,Ontario
Poa saltuensis,Poa,Poa saltuensis,,,Nova Scotia
Populus balsamifera,Populus,Populus balsamifera,,,Newfoundland and Labrador
Picea glauca,Picea,Picea glauca,,,Nunavut
Picea mariana,Picea,Picea mariana,,,Saskatchewan
Poa glauca subsp. glauca,Poa,Poa glauca,subsp.,glauca,Yukon
Pinus resinosa,Pinus,Pinus resinosa,,,Newfoundland and Labrador
Physaria arctica,Physaria,Physaria arctica,,,British Columbia
Poa arctica subsp. arctica,Poa,Poa arctica,subsp.,arctica,Newfoundland and Labrador
Physaria spatulata,Physaria,Physaria spatulata,,,Saskatchewan
Physaria arctica,Physaria,Physaria arctica,,,Manitoba
Panicum dichotomiflorum,Panicum,Panicum dichotomiflorum,,,New Brunswick
Poa leptocoma,Poa,Poa leptocoma,,,Alberta
Poa arctica,Poa,Poa arctica,,,British Columbia
Poa lettermanii,Poa,Poa lettermanii,,,Alberta
Poa glauca subsp. glauca,Poa,Poa glauca,subsp.,glauca,Alberta
Poa secunda subsp. secunda,Poa,Poa secunda,subsp.,secunda,Alberta
Pinus contorta var. latifolia,Pinus,Pinus contorta,var.,latifolia,Saskatchewan
Poa palustris,Poa,Poa palustris,,,Nova Scotia
Poa alsodes,Poa,Poa alsodes,,,Nova Scotia
Oxybasis rubra,Oxybasis,Oxybasis rubra,,,Nova Scotia
Oxybasis rubra,Oxybasis,Oxybasis rubra,,,Yukon
Phleum alpinum,Phleum,Phleum alpinum,,,Nova Scotia
Poa alpina subsp. vivipara,Poa,Poa alpina,subsp.,vivipara,Yukon
Physaria arctica,Physaria,Physaria arctica,,,Northwest Territories
Populus balsamifera,Populus,Populus balsamifera,,,Nunavut
Pinus contorta var. latifolia,Pinus,Pinus contorta,var.,latifolia,Northwest Territories
Poa arctica subsp. arctica,Poa,Poa arctica,subsp.,arctica,Northwest Territories
Populus angustifolia,Populus,Populus angustifolia,,,Alberta
Oxybasis rubra,Oxybasis,Oxybasis rubra,,,British Columbia
Poa pratensis subsp. pratensis,Poa,Poa pratensis,subsp.,pratensis,British Columbia
Poa marcida,Poa,Poa marcida,,,British Columbia
Physaria douglasii subsp. douglasii,Physaria,Physaria douglasii,subsp.,douglasii,British Columbia
Poa glauca subsp. rupicola,Poa,Poa glauca,subsp.,rupicola,British Columbia
Poa glauca subsp. glauca,Poa,Poa glauca,subsp.,glauca,Northwest Territories
Poa arctica subsp. arctica,Poa,Poa arctica,subsp.,arctica,British Columbia
Poa nemoralis,Poa,Poa nemoralis,,,Alberta
Poa confinis,Poa,Poa confinis,,,British Columbia
Poa cusickii,Poa,Poa cusickii,,,British Columbia
Poa trivialis,Poa,Poa trivialis,,,British Columbia
Poa arctica subsp. arctica,Poa,Poa arctica,subsp.,arctica,Yukon
Poa lettermanii,Poa,Poa lettermanii,,,British Columbia
Poa nemoralis,Poa,Poa nemoralis,,,Nova Scotia
Poa leptocoma,Poa,Poa leptocoma,,,British Columbia
Poa nemoralis,Poa,Poa nemoralis,,,Manitoba
Poa nemoralis,Poa,Poa nemoralis,,,British Columbia
Poa secunda subsp. secunda,Poa,Poa secunda,subsp.,secunda,Yukon
Panicum dichotomiflorum,Panicum,Panicum dichotomiflorum,,,British Columbia
Poa cusickii,Poa,Poa cusickii,,,Yukon
Poa hartzii,Poa,Poa hartzii,,,Nunavut
Poa cusickii subsp. pallida,Poa,Poa cusickii,subsp.,pallida,Saskatchewan
Poa pratensis subsp. pratensis,Poa,Poa pratensis,subsp.,pratensis,Northwest Territories
Poa glauca subsp. rupicola,Poa,Poa glauca,subsp.,rupicola,Northwest Territories
Poa cusickii subsp. pallida,Poa,Poa cusickii,subsp.,pallida,Alberta
Poa pratensis subsp. agassizensis,Poa,Poa pratensis,subsp.,agassizensis,Manitoba
Poa glauca subsp. glauca,Poa,Poa glauca,subsp.,glauca,Manitoba
Poa glauca subsp. glauca,Poa,Poa glauca,subsp.,glauca,British Columbia
Poa stenantha,Poa,Poa stenantha,,,British Columbia
Poa abbreviata,Poa,Poa abbreviata,,,Yukon
Poa glauca subsp. rupicola,Poa,Poa glauca,subsp.,rupicola,Alberta
Poa arctica subsp. arctica,Poa,Poa arctica,subsp.,arctica,Alberta
Poa glauca subsp. glauca,Poa,Poa glauca,subsp.,glauca,Quebec
Poa glauca subsp. glauca,Poa,Poa glauca,subsp.,glauca,Ontario
Poa arida,Poa,Poa arida,,,Alberta
Poa howellii,Poa,Poa howellii,,,British Columbia
Poa arctica subsp. arctica,Poa,Poa arctica,subsp.,arctica,Quebec
Poa pratensis subsp. pratensis,Poa,Poa pratensis,subsp.,pratensis,Quebec
Poa cusickii subsp. pallida,Poa,Poa cusickii,subsp.,pallida,British Columbia
Poa stenantha var. stenantha,Poa,Poa stenantha,var.,stenantha,British Columbia
Poa arctica,Poa,Poa arctica,,,Alberta
Poa saltuensis,Poa,Poa saltuensis,,,Quebec
Poa cusickii subsp. purpurascens,Poa,Poa cusickii,subsp.,purpurascens,Alberta
Poa pratensis subsp. agassizensis,Poa,Poa pratensis,subsp.,agassizensis,Ontario
Oxybasis rubra,Oxybasis,Oxybasis rubra,,,Alberta
Poa saltuensis,Poa,Poa saltuensis,,,Saskatchewan
Panicum philadelphicum,Panicum,Panicum philadelphicum,,,Newfoundland and Labrador
Poa secunda,Poa,Poa secunda,,,Northwest Territories
Poa arida,Poa,Poa arida,,,Saskatchewan
Poa nemoralis,Poa,Poa nemoralis,,,Newfoundland and Labrador
Poa arctica subsp. arctica,Poa,Poa arctica,subsp.,arctica,Manitoba
Poa pratensis subsp. pratensis,Poa,Poa pratensis,subsp.,pratensis,Manitoba
Panicum dichotomiflorum subsp. dichotomiflorum,Panicum,Panicum dichotomiflorum,subsp.,dichotomiflorum,New Brunswick
Panax trifolius,Panax,Panax trifolius,,,New Brunswick
Picea rubens,Picea,Picea rubens,,,British Columbia
Poa glauca,Poa,Poa glauca,,,Nova Scotia
Panicum philadelphicum,Panicum,Panicum philadelphicum,,,Nova Scotia
Poa trivialis,Poa,Poa trivialis,,,Prince Edward Island
Poa glauca subsp. glauca,Poa,Poa glauca,subsp.,glauca,Nova Scotia
Poa arida,Poa,Poa arida,,,Manitoba
Oxybasis rubra,Oxybasis,Oxybasis rubra,,,Saskatchewan
Poa stenantha,Poa,Poa stenantha,,,Alberta
Picea mariana,Picea,Picea mariana,,,Nunavut
Poa secunda subsp. secunda,Poa,Poa secunda,subsp.,secunda,Saskatchewan
Phleum alpinum,Phleum,Phleum alpinum,,,Saskatchewan
Poa abbreviata subsp. abbreviata,Poa,Poa abbreviata,subsp.,abbreviata,Northwest Territories
Poa palustris,Poa,Poa palustris,,,Nunavut
Oxybasis rubra,Oxybasis,Oxybasis rubra,,,Manitoba
Poa trivialis,Poa,Poa trivialis,,,New Brunswick
Poa secunda subsp. secunda,Poa,Poa secunda,subsp.,secunda,Manitoba
Poa saltuensis,Poa,Poa saltuensis,,,Newfoundland and Labrador
Panicum virgatum,Panicum,Panicum virgatum,,,Saskatchewan
Poa glauca,Poa,Poa glauca,,,Saskatchewan
Poa hartzii subsp. hartzii,Poa,Poa hartzii,subsp.,hartzii,Yukon
Plantago maritima,Plantago,Plantago maritima,,,Saskatchewan
Plantago maritima,Plantago,Plantago maritima,,,Nunavut
Panicum philadelphicum,Panicum,Panicum philadelphicum,,,Quebec
Phleum alpinum,Phleum,Phleum alpinum,,,Manitoba
Populus deltoides subsp. monilifera,Populus,Populus deltoides,subsp.,monilifera,Manitoba
Poa hartzii,Poa,Poa hartzii,,,Northwest Territories
Poa secunda,Poa,Poa secunda,,,Manitoba
Poa cusickii subsp. pallida,Poa,Poa cusickii,subsp.,pallida,Yukon
Poa pratensis subsp. pratensis,Poa,Poa pratensis,subsp.,pratensis,Yukon
Physalis heterophylla,Physalis,Physalis heterophylla,,,Manitoba
Poa alsodes,Poa,Poa alsodes,,,New Brunswick
Poa alpina subsp. alpina,Poa,Poa alpina,subsp.,alpina,Alberta
Poa stenantha,Poa,Poa stenantha,,,Manitoba
Poa nemoralis,Poa,Poa nemoralis,,,New Brunswick
Poa leptocoma,Poa,Poa leptocoma,,,Manitoba
Poa cusickii subsp. pallida,Poa,Poa cusickii,subsp.,pallida,Manitoba
Panax quinquefolius,Panax,Panax quinquefolius,,,Ontario
Poa alpina subsp. alpina,Poa,Poa alpina,subsp.,alpina,Newfoundland and Labrador
Poa secunda,Poa,Poa secunda,,,Quebec
Physaria arctica,Physaria,Physaria arctica,,,Quebec
Pinus albicaulis,Pinus,Pinus albicaulis,,,Manitoba
Poa abbreviata subsp. abbreviata,Poa,Poa abbreviata,subsp.,abbreviata,Yukon
Pinus ponderosa var. scopulorum,Pinus,Pinus ponderosa,var.,scopulorum,British Columbia
Plantago maritima,Plantago,Plantago maritima,,,Alberta
Oxybasis rubra,Oxybasis,Oxybasis rubra,,,Northwest Territories
Poa nemoralis,Poa,Poa nemoralis,,,Northwest Territories
Poa abbreviata,Poa,Poa abbreviata,,,Alberta
Pinus ponderosa,Pinus,Pinus ponderosa,,,Alberta
Populus deltoides subsp. deltoides,Populus,Populus deltoides,subsp.,deltoides,Quebec
Poa trivialis,Poa,Poa trivialis,,,Newfoundland and Labrador
Poa secunda subsp. secunda,Poa,Poa secunda,subsp.,secunda,Quebec
Poa pratensis subsp. pratensis,Poa,Poa pratensis,subsp.,pratensis,Nova Scotia
Poa pratensis subsp. pratensis,Poa,Poa pratensis,subsp.,pratensis,Newfoundland and Labrador
Poa glauca subsp. glauca,Poa,Poa glauca,subsp.,glauca,Newfoundland and Labrador
Oxybasis rubra,Oxybasis,Oxybasis rubra,,,Prince Edward Island
Physalis virginiana,Physalis,Physalis virginiana,,,Quebec
Physalis heterophylla,Physalis,Physalis heterophylla,,,Nova Scotia
Populus deltoides subsp. deltoides,Populus,Populus deltoides,subsp.,deltoides,Prince Edward Island
Poa pratensis subsp. pratensis,Poa,Poa pratensis,subsp.,pratensis,Ontario
Poa abbreviata,Poa,Poa abbreviata,,,Ontario
Pseudotsuga menziesii,Pseudotsuga,Pseudotsuga menziesii,,,British Columbia
Prunus virginiana,Prunus,Prunus virginiana,,,Nova Scotia
Ribes cereum,Ribes,Ribes cereum,,,British Columbia
Rhododendron groenlandicum,Rhododendron,Rhododendron groenlandicum,,,British Columbia
Quercus rubra,Quercus,Quercus rubra,,,Quebec
Quercus rubra,Quercus,Quercus rubra,,,Nova Scotia
Quercus rubra,Quercus,Quercus rubra,,,Ontario
Prunus virginiana,Prunus,Prunus virginiana,,,British Columbia
Prunus virginiana,Prunus,Prunus virginiana,,,Ontario
Prunus pensylvanica,Prunus,Prunus pensylvanica,,,Nova Scotia
Prunus serotina,Prunus,Prunus serotina,,,Nova Scotia
Prunella vulgaris,Prunella,Prunella vulgaris,,,British Columbia
Ribes laxiflorum,Ribes,Ribes laxiflorum,,,British Columbia
Rubus allegheniensis,Rubus,Rubus allegheniensis,,,Ontario
Rosa acicularis,Rosa,Rosa acicularis,,,British Columbia
Quercus rubra,Quercus,Quercus rubra,,,New Brunswick
Quercus macrocarpa,Quercus,Quercus macrocarpa,,,Ontario
Prunella vulgaris,Prunella,Prunella vulgaris,,,Quebec
Rhododendron groenlandicum,Rhododendron,Rhododendron groenlandicum,,,Ontario
Rhododendron groenlandicum,Rhododendron,Rhododendron groenlandicum,,,Nova Scotia
Prunella vulgaris,Prunella,Prunella vulgaris,,,Ontario
Prunus pensylvanica,Prunus,Prunus pensylvanica,,,Ontario
Quercus garryana,Quercus,Quercus garryana,,,British Columbia
Populus trichocarpa,Populus,Populus trichocarpa,,,British Columbia
Prunus serotina,Prunus,Prunus serotina,,,Ontario
Prunus virginiana,Prunus,Prunus virginiana,,,Manitoba
Prunus serotina,Prunus,Prunus serotina,,,New Brunswick
Quercus palustris,Quercus,Quercus palustris,,,Ontario
Rosa acicularis,Rosa,Rosa acicularis,,,Alberta
Quercus bicolor,Quercus,Quercus bicolor,,,Ontario
Rosa nitida,Rosa,Rosa nitida,,,Newfoundland and Labrador
Rosa carolina,Rosa,Rosa carolina,,,Nova Scotia
Rosa carolina,Rosa,Rosa carolina,,,Ontario
Prunella vulgaris,Prunella,Prunella vulgaris,,,Nova Scotia
Quercus macrocarpa,Quercus,Quercus macrocarpa,,,Manitoba
Rosa woodsii,Rosa,Rosa woodsii,,,British Columbia
Rosa gymnocarpa,Rosa,Rosa gymnocarpa,,,British Columbia
Ribes bracteosum,Ribes,Ribes bracteosum,,,British Columbia
Rhododendron groenlandicum,Rhododendron,Rhododendron groenlandicum,,,Newfoundland and Labrador
Ribes americanum,Ribes,Ribes americanum,,,Ontario
Quercus alba,Quercus,Quercus alba,,,Quebec
Rhododendron groenlandicum,Rhododendron,Rhododendron groenlandicum,,,New Brunswick
Prunus nigra,Prunus,Prunus nigra,,,Ontario
Prunus pensylvanica,Prunus,Prunus pensylvanica,,,Newfoundland and Labrador
Ribes lacustre,Ribes,Ribes lacustre,,,British Columbia
Ribes cynosbati,Ribes,Ribes cynosbati,,,Ontario
Rosa arkansana,Rosa,Rosa arkansana,,,Alberta
Rosa nutkana,Rosa,Rosa nutkana,,,British Columbia
Rosa woodsii,Rosa,Rosa woodsii,,,Alberta
Pseudotsuga menziesii var. glauca,Pseudotsuga,Pseudotsuga menziesii,var.,glauca,British Columbia
Rhododendron groenlandicum,Rhododendron,Rhododendron groenlandicum,,,Manitoba
Rosa woodsii,Rosa,Rosa woodsii,,,Saskatchewan
Quercus alba,Quercus,Quercus alba,,,Ontario
Rhododendron groenlandicum,Rhododendron,Rhododendron groenlandicum,,,Quebec
Ribes triste,Ribes,Ribes triste,,,British Columbia
Pseudotsuga menziesii var. menziesii,Pseudotsuga,Pseudotsuga menziesii,var.,menziesii,British Columbia
Rubus arcticus,Rubus,Rubus arcticus,,,Alberta
Prunus virginiana,Prunus,Prunus virginiana,,,Alberta
Rhododendron groenlandicum,Rhododendron,Rhododendron groenlandicum,,,Prince Edward Island
Prunus emarginata,Prunus,Prunus emarginata,,,British Columbia
Rhododendron groenlandicum,Rhododendron,Rhododendron groenlandicum,,,Alberta
Rhododendron groenlandicum,Rhododendron,Rhododendron groenlandicum,,,Saskatchewan
Rhododendron groenlandicum,Rhododendron,Rhododendron groenlandicum,,,Yukon
Prunus pumila var. pumila,Prunus,Prunus pumila,var.,pumila,Ontario
Prunus virginiana,Prunus,Prunus virginiana,,,Quebec
Quercus rubra,Quercus,Quercus rubra,,,Prince Edward Island
Prunus serotina,Prunus,Prunus serotina,,,Quebec
Quercus bicolor,Quercus,Quercus bicolor,,,Quebec
Rubus allegheniensis,Rubus,Rubus allegheniensis,,,Quebec
Rubus allegheniensis,Rubus,Rubus allegheniensis,,,Nova Scotia
Prunella vulgaris subsp. vulgaris,Prunella,Prunella vulgaris,subsp.,vulgaris,British Columbia
Prunus pensylvanica,Prunus,Prunus pensylvanica,,,New Brunswick
Prunus virginiana,Prunus,Prunus virginiana,,,Prince Edward Island
Prunella vulgaris,Prunella,Prunella vulgaris,,,New Brunswick
Quercus macrocarpa,Quercus,Quercus macrocarpa,,,Quebec
Prunella vulgaris,Prunella,Prunella vulgaris,,,Prince Edward Island
Prunus nigra,Prunus,Prunus nigra,,,Quebec
Prunus virginiana,Prunus,Prunus virginiana,,,New Brunswick
Quercus muehlenbergii,Quercus,Quercus muehlenbergii,,,Ontario
Prunus pensylvanica,Prunus,Prunus pensylvanica,,,Manitoba
Rosa acicularis subsp. sayi,Rosa,Rosa acicularis,subsp.,sayi,Alberta
Prunella vulgaris subsp. vulgaris,Prunella,Prunella vulgaris,subsp.,vulgaris,Quebec
Rosa arkansana,Rosa,Rosa arkansana,,,Saskatchewan
Pseudotsuga menziesii var. glauca,Pseudotsuga,Pseudotsuga menziesii,var.,glauca,Alberta
Ribes aureum,Ribes,Ribes aureum,,,Alberta
Ribes hirtellum,Ribes,Ribes hirtellum,,,Nova Scotia
Ribes sanguineum,Ribes,Ribes sanguineum,,,British Columbia
Ribes viscosissimum,Ribes,Ribes viscosissimum,,,British Columbia
Prunus pensylvanica,Prunus,Prunus pensylvanica,,,Prince Edward Island
Pycnanthemum virginianum,Pycnanthemum,Pycnanthemum virginianum,,,Ontario
Quercus velutina,Quercus,Quercus velutina,,,Ontario
