TAXON,GENUS,SPECIES,RANK,INFRASPECIFIC,PROVINCE
Amaranthus retroflexus,Amaranthus,Amaranthus retroflexus,,,Northwest Territories
Alnus alnobetula subsp. crispa,Alnus,Alnus alnobetula,subsp.,crispa,Saskatchewan
Amelanchier alnifolia var. semiintegrifolia,Amelanchier,Amelanchier alnifolia,var.,semiintegrifolia,Alberta
Alnus alnobetula subsp. crispa,Alnus,Alnus alnobetula,subsp.,crispa,Northwest Territories
Alnus incana subsp. rugosa,Alnus,Alnus incana,subsp.,rugosa,Newfoundland and Labrador
Amelanchier bartramiana,Amelanchier,Amelanchier bartramiana,,,Prince Edward Island
Alnus incana subsp. rugosa,Alnus,Alnus incana,subsp.,rugosa,Alberta
Agrostis mertensii,Agrostis,Agrostis mertensii,,,New Brunswick
Alnus incana subsp. rugosa,Alnus,Alnus incana,subsp.,rugosa,Saskatchewan
Amelanchier pumila,Amelanchier,Amelanchier pumila,,,British Columbia
