"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFC","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","SECONDARY_ASSOCIATED_CROP_COMMON_NAME","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","CATEGORY","TIER","GENEPOOL","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","Botanical.Name","Common.Name","Count","Genus","Species_only","Variant","Subspecies","Rank","Infraspecific","Species"
"23","Castanea dentata","Castanea","Castanea dentata",NA,NA,"Chestnut",NA,"Y","Y","Y","american chestnut'; nuts","Y","Food","Cultural",NA,"Nuts","Ornamentals","",NA,"1B",1,"Secondary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Castanea dentata","American Chestnut",4,"Castanea","dentata","","","","","Castanea dentata"
"24","Celtis occidentalis","Celtis","Celtis occidentalis",NA,NA,"Hackberry",NA,"Y","N","Y","hackberry; fruit","Y","Cultural","Forest Resources",NA,"Ornamentals","Forest Resources","",NA,NA,NA,NA,"Graftstock","","","","","","","","","","Davidson 1995","GRIN-Global 2021","Kuhnlein and Turner 2020","Celtis occidentalis","Common Hackberry",21,"Celtis","occidentalis","","","","","Celtis occidentalis"
"25","Cornus sericea","Cornus","Cornus sericea",NA,NA,"Dogwood",NA,"N","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Cornus sericea","Red Osier Dogwood",11,"Cornus","sericea","","","","","Cornus sericea"
"26","Cornus sericea","Cornus","Cornus sericea",NA,NA,"Dogwood",NA,"N","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Cornus sericea 'Flaviramea'","Yellow Twig Dogwood",2,"Cornus","sericea","","","","","Cornus sericea"
"27","Fagus grandifolia","Fagus","Fagus grandifolia",NA,NA,"Beech",NA,"Y","N","Y","beechnut; nuts","Y","Forest Resources","",NA,"Forest Resources","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Fagus grandifolia","American Beech",18,"Fagus","grandifolia","","","","","Fagus grandifolia"
"28","Hamamelis virginiana","Hamamelis","Hamamelis virginiana",NA,NA,"Witch-Hazel",NA,"Y","N","Y","witch-hazel; leaves dried as tea","Y","Cultural","",NA,"Ornamentals","","",NA,"1A",NA,"Assume distant","Graftstock","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Hamamelis virginiana","Witch Hazel",6,"Hamamelis","virginiana","","","","","Hamamelis virginiana"
"29","Juglans cinerea","Juglans","Juglans cinerea",NA,NA,"Walnut",NA,"Y","Y","Y","butternut; nut","Y","Food","Materials",NA,"Nuts","Materials","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Juglans cinerea","Butternut",3,"Juglans","cinerea","","","","","Juglans cinerea"
"30","Juglans nigra","Juglans","Juglans nigra",NA,NA,"Walnut",NA,"Y","Y","Y","black walnut; nut","Y","Food","Materials",NA,"Nuts","Materials","Ornamental",NA,"1A",1,"Progenitor","","","","Disease Resistance (B)","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Juglans nigra","Black Walnut",80,"Juglans","nigra","","","","","Juglans nigra"
"31","Juniperus communis","Juniperus","Juniperus communis",NA,NA,"Juniper",NA,"N","N","Y","tea, leaves and shoots edible","Y","Cultural","Food",NA,"Medicinals","Vegetables","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Juniperus communis","Common Juniper",10,"Juniperus","communis","","","","","Juniperus communis"
"32","Juniperus scopulorum","Juniperus","Juniperus scopulorum",NA,NA,"Juniper",NA,"Y","N","Y","tea, leaves and shoots edible","Y","Cultural","Food",NA,"Medicinals","Vegetables","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Juniperus scopulorum 'Skyrocket'","Skyrocket Juniper",26,"Juniperus","scopulorum","","","","","Juniperus scopulorum"
"33","Juniperus scopulorum","Juniperus","Juniperus scopulorum",NA,NA,"Juniper",NA,"Y","N","Y","tea, leaves and shoots edible","Y","Cultural","Food",NA,"Medicinals","Vegetables","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Juniperus scopulorum ","Rocky Mountain Juniper",12,"Juniperus","scopulorum","","","","","Juniperus scopulorum"
"34","Magnolia acuminata","Magnolia","Magnolia acuminata",NA,NA,"Magnolia",NA,"Y","N","N","","Y","Cultural","",NA,"Ornamentals","","",NA,NA,NA,NA,"Graftstock","","","","","","Ornamental Features (AG)","","","","GRIN-Global 2021","GRIN-Global 2021","","Magnolia acuminata","Cucumber Tree",6,"Magnolia","acuminata","","","","","Magnolia acuminata"
