"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFC","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","SECONDARY_ASSOCIATED_CROP_COMMON_NAME","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","CATEGORY","TIER","GENEPOOL","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","Accession","Name","Taxonomy","Origin","Repository","Genus","Species_only","Variant","Subspecies","Rank","Infraspecific","Species"
"90","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99633","Native 'BC Collection: Site 8'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"91","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99644","Native 'BC Collection: Site 8'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"92","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99656","Native 'BC Collection: Site 8'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"93","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99667","Native 'BC Collection: Site 13'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"94","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99678","Native 'BC Collection: Site 13'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"95","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99689","Native 'BC Collection: Site 13'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"96","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99630","Native 'BC Collection: Site 48'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"97","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99631","Native 'BC Collection: Site 48'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"98","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99632","Native 'BC Collection: Site 48'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"99","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99820","Native 'BC Collection: Site 76'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"100","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99635","Native 'BC Collection: Site 48'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"101","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99743","Native 'BC Collection: Site 16'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"102","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99754","Native 'BC Collection: Site 16'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"103","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99766","Native 'BC Collection: Site 16'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"104","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99777","Native 'BC Collection: Site 16'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"105","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99788","Native 'BC Collection: Site 16'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"106","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99799","Native 'BC Collection: Site 16'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"107","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99642","Native 'BC Collection: Site 49'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"108","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99821","Native 'BC Collection: Site 16'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"109","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99832","Native 'BC Collection: Site 16'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"110","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 100464","Native 'BC Collection: Site 26'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"111","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 100475","Native 'BC Collection: Site 26'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"112","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99865","Native 'BC Collection: Site 18'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"113","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99877","Native 'BC Collection: Site 18'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"114","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99888","Native 'BC Collection: Site 18'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"115","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99651","Native 'BC Collection: Site 51'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"116","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99910","Native 'BC Collection: Site 18'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"117","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99921","Native 'BC Collection: Site 18'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"118","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99932","Native 'BC Collection: Site 18'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"119","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99943","Native 'BC Collection: Site 18'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"120","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99965","Native 'BC Collection: Site 19'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"121","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99976","Native 'BC Collection: Site 19'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"122","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99988","Native 'BC Collection: Site 19'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"123","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99999","Native 'BC Collection: Site 19'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"124","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99609","Native 'BC Collection: Site 46'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"125","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99664","Native 'BC Collection: Site 52'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"126","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99152","Native 'BC Collection: Site 34'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"127","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99163","Native 'BC Collection: Site 34'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"128","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99669","Native 'BC Collection: Site 53'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"129","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99670","Native 'BC Collection: Site 53'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"130","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99671","Native 'BC Collection: Site 53'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"131","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99672","Native 'BC Collection: Site 53'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"132","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99673","Native 'BC Collection: Site 53'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"133","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99682","Native 'BC Collection: Site 54'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"134","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99687","Native 'BC Collection: Site 54'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"135","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99688","Native 'BC Collection: Site 55'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
"136","Fragaria ananassa subsp. cuneifolia","Fragaria","Fragaria �ananassa","subsp.","cuneifolia","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","CN 99690","Native 'BC Collection: Site 55'","Fragaria ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria","ananassa","","cuneifolia","subsp.","cuneifolia","Fragaria ananassa"
