"","TAXON","GENUS","SPECIES","RANK","INFRASPECIFC","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","SECONDARY_ASSOCIATED_CROP_COMMON_NAME","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","CATEGORY","TIER","GENEPOOL","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","ACCESSION","NAME","TAXONOMY","ORIGIN","REPOSITORY","RECEIVED","COORDINATES","Genus","Species_only","Variant","Subspecies","Rank","Infraspecific","Species"
"32","Fragaria vesca subsp. bracteata","Fragaria","Fragaria vesca","subsp.","bracteata","Strawberry",NA,"Y","Y","Y","strawberry; fruit","Y","Food","",NA,"Fruits","","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 664439","F. vesca f. bracteata Ashland Marath","Fragaria vesca L. subsp. bracteata (A. Heller) Staudt f. bracteata (A. Heller) Staudt","Oregon, United States","COR",2010,"42.11052000, -122.70852000","Fragaria","vesca","","bracteata","subsp.","bracteata","Fragaria vesca"
"33","Fragaria vesca subsp. bracteata","Fragaria","Fragaria vesca","subsp.","bracteata","Strawberry",NA,"Y","Y","Y","strawberry; fruit","Y","Food","",NA,"Fruits","","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 660774","F. vesca f. bracteata 2010-03","Fragaria vesca L. subsp. bracteata (A. Heller) Staudt f. bracteata (A. Heller) Staudt","Oregon, United States","COR",2010,"44.85318000, -122.66097000","Fragaria","vesca","","bracteata","subsp.","bracteata","Fragaria vesca"
"34","Fragaria vesca subsp. bracteata","Fragaria","Fragaria vesca","subsp.","bracteata","Strawberry",NA,"Y","Y","Y","strawberry; fruit","Y","Food","",NA,"Fruits","","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 664396","F. vesca f. bracteata North Santiam","Fragaria vesca L. subsp. bracteata (A. Heller) Staudt f. bracteata (A. Heller) Staudt","Oregon, United States","COR",2010,"44.77185000, -122.56543000","Fragaria","vesca","","bracteata","subsp.","bracteata","Fragaria vesca"
"35","Fragaria vesca subsp. vesca","Fragaria","Fragaria vesca","subsp.","vesca","Strawberry",NA,"Y","Y","Y","strawberry; fruit","N","Food","",NA,"Fruits","","",NA,"1C",1,"Tertiary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 552241","F. vesca subsp. vesca S61","Fragaria vesca L. subsp. vesca","New Hampshire, United States","COR",1990,"","Fragaria","vesca","","vesca","subsp.","vesca","Fragaria vesca"
"36","Fragaria virginiana subsp. glauca","Fragaria","Fragaria virginiana","subsp.","glauca","Strawberry",NA,"Y","Y","Y","strawberry; fruit","Y","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 551789","F. virginiana subsp. glauca","Fragaria virginiana Mill. subsp. glauca (S. Watson) Staudt","Oregon, United States","COR",1985,"42.16667000, -123.00000000","Fragaria","virginiana","","glauca","subsp.","glauca","Fragaria virginiana"
"37","Fragaria virginiana subsp. glauca","Fragaria","Fragaria virginiana","subsp.","glauca","Strawberry",NA,"Y","Y","Y","strawberry; fruit","Y","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 551889","F. virginiana subsp. glauca LH 51-2","Fragaria virginiana Mill. subsp. glauca (S. Watson) Staudt","Montana, United States","COR",1989,"46.00000000, -110.33333000","Fragaria","virginiana","","glauca","subsp.","glauca","Fragaria virginiana"
"38","Fragaria virginiana subsp. platypetala","Fragaria","Fragaria virginiana","subsp.","platypetala","Strawberry",NA,"Y","Y","Y","strawberry; fruit","Y","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 679849","F. virginiana subsp. platypetala Halse 9489","Fragaria virginiana Mill. subsp. platypetala (Rydb.) Staudt","Oregon, United States","COR",2015,"","Fragaria","virginiana","","platypetala","subsp.","platypetala","Fragaria virginiana"
"39","Fragaria virginiana subsp. virginiana","Fragaria","Fragaria virginiana","subsp.","virginiana","Strawberry",NA,"Y","Y","Y","strawberry; fruit","Y","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 616996","F. virginiana subsp. virginiana  NC 99-4-2","Fragaria virginiana Mill. subsp. virginiana","North Carolina, United States","COR",2000,"36.29528000, -79.62194000","Fragaria","virginiana","","virginiana","subsp.","virginiana","Fragaria virginiana"
"40","Fragaria virginiana subsp. virginiana","Fragaria","Fragaria virginiana","subsp.","virginiana","Strawberry",NA,"Y","Y","Y","strawberry; fruit","Y","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 616896","F. virginiana","Fragaria virginiana Mill. subsp. virginiana","North Carolina, United States","COR",1996,"35.52194000, -76.81389000","Fragaria","virginiana","","virginiana","subsp.","virginiana","Fragaria virginiana"
"41","Fragaria virginiana subsp. virginiana","Fragaria","Fragaria virginiana","subsp.","virginiana","Strawberry",NA,"Y","Y","Y","strawberry; fruit","Y","Food","",NA,"Fruits","","",NA,"1A",1,"Primary","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","PI 616962","F. virginiana subsp. virginiana NC 98-18-3","Fragaria virginiana Mill. subsp. virginiana","Arkansas, United States","COR",2000,"34.07417000, -93.17528000","Fragaria","virginiana","","virginiana","subsp.","virginiana","Fragaria virginiana"
