"","TAXON","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","GENUS","SPECIES","RANK","INFRASPECIFIC","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","TIER","GENEPOOL","CATEGORY","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","total_accessions","garden_accessions","genebank_accessions"
"90","Rosa palustris","Rose","Rosa","Rosa palustris",NA,NA,"Y","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",36,14,22
"91","Rosa virginiana","Rose","Rosa","Rosa virginiana",NA,NA,"N","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",9,6,3
"92","Rosa woodsii subsp. ultramontana","Rose","Rosa","Rosa woodsii","subsp.","ultramontana","Y","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",121,7,114
"93","Rubus arcticus","Blackberry, Raspberry","Rubus","Rubus arcticus",NA,NA,"N","Y","Y","Nagoonberry; fruit","Y","","Food",NA,"Fruits","","",NA,1,"Tertiary","1C","","","","","","","High Yield (AG)","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",28,11,17
"94","Rubus idaeus subsp. strigosus","Blackberry, Raspberry","Rubus","Rubus idaeus","subsp.","strigosus","Y","Y","Y","fruit, shoots, leaves for tea","Y","","Food",NA,"Fruits","","",NA,1,"Primary","1A","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",659,38,621
"95","Rubus occidentalis","Blackberry, Raspberry","Rubus","Rubus occidentalis",NA,NA,"Y","Y","Y","fruit, greens, shoots]","Y","","Food",NA,"Fruits","","",NA,1,"Primary","1A","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",241,3,238
"96","Rubus odoratus","Blackberry, Raspberry","Rubus","Rubus odoratus",NA,NA,"Y","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Secondary","1B","","","","Disease Resistance (B)","","","High Yield (AG)","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",37,22,15
"97","Sambucus canadensis","Elderberry","Sambucus","Sambucus canadensis",NA,NA,"Y","Y","Y","fruit","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",111,55,56
"98","Shepherdia canadensis","Buffaloberry","Shepherdia","Shepherdia canadensis",NA,NA,"Y","N","Y","fruit","Y","Food","Food",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",26,25,1
"99","Sorbus americana","Rowan","Sorbus","Sorbus americana",NA,NA,"Y","Y","Y","fruit","Y","Forest Resources","Food",NA,"Forest Resources","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",27,15,12
"100","Sorbus decora","Rowan","Sorbus","Sorbus decora",NA,NA,"Y","Y","Y","fruit","Y","Forest Resources","Food",NA,"Forest Resources","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",31,21,10
"101","Symphoricarpos albus","Snowberry","Symphoricarpos","Symphoricarpos albus",NA,NA,"N","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",76,55,21
"102","Thuja occidentalis","Cedar","Thuja","Thuja occidentalis",NA,NA,"Y","Y","Y","leaves","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",1776,1632,144
"103","Thuja plicata","Cedar","Thuja","Thuja plicata",NA,NA,"Y","Y","Y","leaves, inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",74,61,13
"104","Ulmus rubra","Elm","Ulmus","Ulmus rubra",NA,NA,"Y","Y","Y","bark","Y","Forest Resources","Medicinals",NA,"Forest Resources","Medicinals","Ornamentals",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",36,19,17
"105","Ulmus thomasii","Elm","Ulmus","Ulmus thomasii",NA,NA,"Y","Y","Y","seeds","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",8,5,3
"106","Vaccinium angustifolium","Blueberry, Cranberry","Vaccinium","Vaccinium angustifolium",NA,NA,"Y","Y","Y","fruit, leaves and fruit as tea","Y","Food","",NA,"Fruits","","",NA,1,"Primary","1A","","","","Disease Resistance (B)","","","Crop Quality (AG)","","","Early Maturity (P)","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",82,20,62
"107","Viburnum opulus","Highbush cranberry","Viburnum","Viburnum opulus",NA,NA,"N","Y","Y","fruit","Y","Ornamentals","",NA,"Ornamentals","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",96,43,53
"108","Viburnum dentatum","Highbush cranberry","Viburnum","Viburnum dentatum",NA,NA,"Y","Y","Y","fruit","Y","Ornamentals","",NA,"Ornamentals","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",103,39,64
"109","Yucca glauca","Yucca","Yucca","Yucca glauca",NA,NA,"Y","N","Y","hearts, buds","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",13,4,9
"110","Acer macrophyllum","Sugar Maple","Acer","Acer macrophyllum",NA,NA,"Y","Y","Y","","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",13,2,11
"111","Acer saccharum","Sugar Maple","Acer","Acer saccharum",NA,NA,"Y","Y","Y","sugar maple'","Y","Food","Forest Resources",NA,"Sugars","Forest Resources","",NA,1,"Progenitor","1A","","","","","","","","","","","Davidson 1995","GRIN-Global 2021","Kuhnlein and Turner 2020",107,62,45
"112","Achillea millefolium","Yarrow","Achillea","Achillea millefolium",NA,NA,"Y","N","Y","medicinal properties","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",175,28,147
"113","Agastache foeniculum","Hyssop","Agastache","Agastache foeniculum",NA,NA,"Y","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",45,15,30
"114","Agastache nepetoides","Hyssop","Agastache","Agastache nepetoides",NA,NA,"Y","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",17,4,13
"115","Allium cernuum","Onions, Garlic, Leeks","Allium","Allium cernuum",NA,NA,"Y","Y","Y","nodding onion; bulbs and greens","Y","Food","",NA,"Vegetables","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",45,25,20
"116","Allium schoenoprasum","Onions, Garlic, Leeks","Allium","Allium schoenoprasum",NA,NA,"N","Y","Y","gathered as 'wild chives'","Y","Food","",NA,"Vegetables","","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",49,16,33
"117","Allium stellatum","Onions, Garlic, Leeks","Allium","Allium stellatum",NA,NA,"Y","Y","Y","prairie onion or pink flowered onion, both the bulbs and greens consumed","Y","Food","",NA,"Vegetables","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",4,4,0
"118","Alnus alnobetula","Alder","Alnus","Alnus alnobetula",NA,NA,"N","Y","Y","inner bark","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",4,4,0
"119","Amelanchier canadensis","Saskatoon","Amelanchier","Amelanchier canadensis",NA,NA,"Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",39,34,5
"120","Amelanchier interior","Saskatoon","Amelanchier","Amelanchier interior",NA,NA,"Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",1,1,0
"121","Amelanchier sanguinea","Saskatoon","Amelanchier","Amelanchier sanguinea",NA,NA,"Y","Y","Y","edible wild 'Saskatoon' or 'serviceberry', Juneberry, many other names berries/fruit","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",6,2,4
"122","Apios americana","Ground nut","Apios","Apios americana",NA,NA,"Y","N","Y","ground nut' or 'potato bean' edible tuber","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",9,9,0
"123","Arctostaphylos uva-ursi","Bearberry","Arctostaphylos","Arctostaphylos uva-ursi",NA,NA,"Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",48,36,12
"124","Arnica cordifolia","Arnica","Arnica","Arnica cordifolia",NA,NA,"Y","N","Y","medicinal properties","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",10,4,6
"125","Aruncus dioicus","Goatsbeard","Aruncus","Aruncus dioicus",NA,NA,"N","N","Y","medicinal properties","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",47,37,10
"126","Asarum canadense","Wild-ginger","Asarum","Asarum canadense",NA,NA,"Y","N","Y","wild ginger; rhizomes as condiment","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",23,20,3
"127","Astragalus canadensis","Milk-vetch","Astragalus","Astragalus canadensis",NA,NA,"N","Y","Y","roots","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",10,2,8
"128","Camassia leichtlinii","Camas","Camassia","Camassia leichtlinii",NA,NA,"N","N","Y","bulbs","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",49,37,12
"129","Camassia quamash","Camas","Camassia","Camassia quamash",NA,NA,"N","N","Y","bulbs","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",31,18,13
"130","Chamaenerion angustifolium","Fireweed","Chamaenerion","Chamaenerion angustifolium",NA,NA,"N","N","Y","greens food; honey plant","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",70,10,60
"131","Comarum palustre","Strawberry","Comarum","Comarum palustre",NA,NA,"Y","Y","Y","wild strawberry'","Y","Food","",NA,"Fruits","","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Khoury et al. 2020",15,6,9
"132","Cornus canadensis","Dogwood","Cornus","Cornus canadensis",NA,NA,"Y","Y","Y","fruit","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","Forest Resources",NA,NA,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",32,22,10
"133","Empetrum nigrum","Crowberry","Empetrum","Empetrum nigrum",NA,NA,"N","N","Y","berries edible","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",32,14,18
"134","Fragaria vesca","Strawberry","Fragaria","Fragaria vesca",NA,NA,"N","Y","Y","strawberry; fruit","Y","Food","",NA,"Fruits","","",NA,1,"Tertiary","1C","","","","Disease Resistance (B)","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",223,11,212
"135","Fritillaria pudica","Fritillaria","Fritillaria","Fritillaria pudica",NA,NA,"Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",8,3,5
"136","Gaultheria procumbens","Salal berry","Gaultheria","Gaultheria procumbens",NA,NA,"Y","N","Y","fruit, shoots","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",30,22,8
"137","Helianthus annuus","Sunflower","Helianthus","Helianthus annuus",NA,NA,"Y","Y","Y","sunflower; seeds","N","Food","",NA,"Oils","Vegetables","",NA,1,"Primary","1A","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","","","Early Maturity (P)","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",4297,2,4295
"138","Helianthus giganteus","Sunflower","Helianthus","Helianthus giganteus",NA,NA,"Y","Y","Y","sunflower; seeds","Y","Food","",NA,"Oils","Vegetables","",NA,1,"Tertiary","1C","","","","Disease Resistance (B)","Pest Resistance (B)","Cytoplasmic Male Sterility (F)","Crop Quality (AG)","Growth Habit (AG)","","Early Maturity (P)","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",28,1,27
"139","Holodiscus discolor","Oceanspray","Holodiscus","Holodiscus discolor",NA,NA,"N","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",37,16,21
"140","Humulus lupulus","Hops","Humulus","Humulus lupulus",NA,NA,"N","Y","Y","hops; greens edible, flowers in beer brewing","Y","Food","",NA,"Herbs and Spices","","",NA,1,"Primary","1A","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",164,10,154
"141","Lupinus polyphyllus","Lupin","Lupinus","Lupinus polyphyllus",NA,NA,"N","Y","Y","used directly as an ornamental","Y","Food","Ornamentals",NA,"Pulses","Ornamentals","",NA,1,"Progenitor","1A","","","","","","Gene Transfer (F)","Ornamental Features (AG)","Crop Quality (AG)","High Yield (AG)","","GRIN-Global 2021","GRIN-Global 2021","Khoury et al. 2020",109,10,99
"142","Lysichiton americanus","Skunk Cabbage","Lysichiton","Lysichiton americanus",NA,NA,"Y","N","Y","","Y","Food","Ornamentals",NA,"Vegetables","Medicinals","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",11,10,1
"143","Mahonia aquifolium","Barberry","Mahonia","Mahonia aquifolium",NA,NA,"Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",32,24,8
"144","Mahonia repens","Barberry","Mahonia","Mahonia repens",NA,NA,"Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",29,12,17
"145","Maianthemum dilatatum","Maianthemum","Maianthemum","Maianthemum dilatatum",NA,NA,"Y","N","Y","","Y","Food","Medicinals",NA,"Vegetables","Medicinals","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",12,8,4
"146","Maianthemum racemosum","Maianthemum","Maianthemum","Maianthemum racemosum",NA,NA,"Y","N","Y","","Y","Food","Medicinals",NA,"Vegetables","Medicinals","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",33,29,4
"147","Maianthemum stellatum","Maianthemum","Maianthemum","Maianthemum stellatum",NA,NA,"Y","N","Y","","Y","Food","Medicinals",NA,"Vegetables","Medicinals","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",17,15,2
"148","Mentha canadensis","Mint","Mentha","Mentha canadensis",NA,NA,"Y","Y","Y","leaves, tea, essential oil","Y","Food","Medicinals",NA,"Herbs and Spices","Medicinals","",NA,1,"Secondary","1B","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",49,2,47
"149","Mitchella repens","Partidge berry","Mitchella","Mitchella repens",NA,NA,"Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",16,9,7
"150","Monarda fistulosa","Monarda","Monarda","Monarda fistulosa",NA,NA,"N","Y","Y","leaves, tea","Y","Ornamentals","Medicinals",NA,"Ornamentals","Medicinals","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",101,19,82
"151","Oplopanax horridus","Devils-club","Oplopanax","Oplopanax horridus",NA,NA,"Y","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",12,8,4
"152","Opuntia polyacantha","Prickly-pear cactus","Opuntia","Opuntia polyacantha",NA,NA,"N","N","Y","","Y","Food","",NA,"Fruit","Vegetables","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",19,12,7
"153","Panax quinquefolius","Ginseng","Panax","Panax quinquefolius",NA,NA,"Y","N","Y","roots as tea","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",2,1,1
"154","Philadelphus lewisii","Mock-orange","Philadelphus","Philadelphus lewisii",NA,NA,"N","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",55,41,14
"155","Plantago maritima","Plantago","Plantago","Plantago maritima",NA,NA,"Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",8,3,5
"156","Podophyllum peltatum","Mayapple","Podophyllum","Podophyllum peltatum",NA,NA,"Y","N","Y","Mayapple; fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",19,17,2
"157","Prunella vulgaris","Heal-All","Prunella","Prunella vulgaris",NA,NA,"N","N","Y","flowers and leaves as tea","Y","Medicinals","",NA,"Medicinals","","",NA,2,NA,"2","","","","","","","","","","","GRIN-Global 2021","","Kuhnlein and Turner 2020",61,5,56
"158","Pycnanthemum virginianum","Mountain-mint","Pycnanthemum","Pycnanthemum virginianum",NA,NA,"Y","N","Y","condiment","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","GRIN-Global 2021","","Kuhnlein and Turner 2020",21,8,13
"159","Rhodiola rosea","Rhodiola","Rhodiola","Rhodiola rosea",NA,NA,"Y","N","Y","","Y","","Food",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",13,12,1
"160","Rhododendron groenlandicum","Labrador-tea","Rhododendron","Rhododendron groenlandicum",NA,NA,"Y","N","Y","tea","Y","","Medicinals",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",24,20,4
"161","Ribes oxyacanthoides","Currant, Gooseberry","Ribes","Ribes oxyacanthoides",NA,NA,"N","Y","Y","fruit","Y","","Food",NA,"Fruits","","",NA,1,"Progenitor","1A","","","","Disease Resistance (B)","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",9,1,8
"162","Rosa acicularis","Rose","Rosa","Rosa acicularis",NA,NA,"N","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",24,13,11
"163","Rosa arkansana","Rose","Rosa","Rosa arkansana",NA,NA,"N","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",7,2,5
"164","Rosa pisocarpa","Rose","Rosa","Rosa pisocarpa",NA,NA,"Y","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",12,8,4
"165","Rubus spectabilis","Blackberry, Raspberry","Rubus","Rubus spectabilis",NA,NA,"Y","Y","Y","fruit, shoots","Y","","Food",NA,"Fruits","","",NA,1,"Primary","1A","","","","","","","Crop Quality (AG)","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",81,15,66
"166","Sagittaria latifolia","Arrowshead","Sagittaria","Sagittaria latifolia",NA,NA,"Y","N","Y","","Y","","Food",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",10,8,2
"167","Salix arctica","Willow","Salix","Salix arctica",NA,NA,"Y","Y","Y","leaves","Y","Medicinals","Forest Resources",NA,"Medicinals","Forest Resources","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",3,3,0
"168","Salix arctophila","Willow","Salix","Salix arctophila",NA,NA,"Y","Y","Y","leaves","Y","Medicinals","Forest Resources",NA,"Medicinals","Forest Resources","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",3,3,0
"169","Salix scouleriana","Willow","Salix","Salix scouleriana",NA,NA,"Y","Y","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",2,2,0
"170","Sambucus racemosa","Elderberry","Sambucus","Sambucus racemosa",NA,NA,"Y","Y","Y","fruit","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",42,9,33
"171","Sedum spathulifolium","Sedum","Sedum","Sedum spathulifolium",NA,NA,"N","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",36,31,5
"172","Silphium integrifolium","Rosinweed","Silphium","Silphium integrifolium",NA,NA,"N","Y","Y","potential as an oilseed crop (see Reinert 2019)","N","Food","Medicinals",NA,"Oils","Medicinals","",NA,1,"Primary","1A","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","",5,1,4
"173","Silphium perfoliatum","Rosinweed","Silphium","Silphium perfoliatum",NA,NA,"N","Y","Y","potential as an oilseed crop (see Reinert 2019)","Y","Food","Medicinals",NA,"Oils","Medicinals","",NA,1,"Secondary","1B","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","",33,8,25
"174","Urtica dioica","Nettle","Urtica","Urtica dioica",NA,NA,"N","N","Y","","N","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",13,8,5
"175","Vaccinium corymbosum","Blueberry, Cranberry","Vaccinium","Vaccinium corymbosum",NA,NA,"Y","Y","Y","fruit, leaves and fruit as tea","Y","Food","",NA,"Fruits","","",NA,1,"Primary","1A","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",342,32,310
"176","Vaccinium vitis-idaea","Blueberry, Cranberry","Vaccinium","Vaccinium vitis-idaea",NA,NA,"Y","Y","Y","lingonberry; fruit, leaves and fruit as tea","Y","Food","","Food","Fruits","","","Fruits",1,"Primary","1A","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",114,10,104
"177","Zizania aquatica","Wild-rice","Zizania","Zizania aquatica",NA,NA,"N","Y","Y","wild rice', grains","Y","Food","",NA,"Cereals and pseudocereals","","",NA,1,"Secondary","1B","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020",5,4,1
"178","Allium tricoccum","Onions, Garlic, Leeks","Allium","Allium tricoccum",NA,NA,"N","Y","Y","ramps'; leaves and bulbs","Y","Food","",NA,"Vegetables","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",14,11,3
"179","Amphicarpaea bracteata","Hog-peanut","Amphicarpaea","Amphicarpaea bracteata",NA,NA,"N","N","Y","Hog-peanut; seeds","Y","Food","",NA,"Pulses","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",3,1,2
"180","Aralia nudicaulis","Wild-sarsaparilla","Aralia","Aralia nudicaulis",NA,NA,"Y","N","Y","medicinal properties","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",15,14,1
"181","Claytonia virginica","Spring-beauty","Claytonia","Claytonia virginica",NA,NA,"Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",4,3,1
"182","Erythronium americanum","Fawn-Lily","Erythronium","Erythronium americanum",NA,NA,"N","N","Y","bulbs","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",17,17,0
