SPECIES,TAXON,scientificName,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,CATEGORY,TIER,WUS,ROUNDED_N_RANK,ROUNDED_G_RANK,COSEWIC_DESC,CWR,total_accessions_sp,garden_accessions_sp,genebank_accessions_sp,total_accessions_w_finest_taxon_res,garden_accessions_w_finest_taxon_res,genebank_accessions_w_finest_taxon_res,INFRASPECIFIC_COLLECTIONS_ASSIGNED,FINEST_TAXON_RESOLUTION,GENUS,RANK,INFRASPECIFIC,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,GENEPOOL
Prunella vulgaris,Prunella vulgaris subsp. vulgaris,Prunella vulgaris subsp. vulgaris,Heal-All,NA,NA,Y,NNA,TU,,N,61,5,56,NA,NA,NA,N,Y,Prunella,subsp.,vulgaris,flowers and leaves as tea,N,Medicinals,,NA,Medicinals,,,NA,NA
Prunus americana,Prunus americana,Prunus americana Marshall,"Apricot, Cherry, Peach, Plum",1A,1,Y,N4,G5,,Y,97,81,16,69,69,0,,Y,Prunus,NA,NA,fruit,Y,Food,Ornamentals,Food,Fruits,Ornamentals,Materials,Nuts,Progenitor
Prunus emarginata,Prunus emarginata,Prunus emarginata (Douglas ex Hook.) Walp.,"Apricot, Cherry, Peach, Plum",1A,1,N,N5,G5,,Y,25,4,21,2,2,0,,Y,Prunus,NA,NA,,Y,Food,Ornamentals,Food,Fruits,Ornamentals,Materials,Nuts,Secondary
Prunus nigra,Prunus nigra,Prunus nigra Aiton,"Apricot, Cherry, Peach, Plum",1B,1,Y,N4,G4,,Y,16,11,5,9,8,1,,Y,Prunus,NA,NA,fruit,Y,Food,Ornamentals,Food,Fruits,Ornamentals,Materials,Nuts,Secondary
Prunus pensylvanica,Prunus pensylvanica,Prunus pensylvanica L.fil.,"Apricot, Cherry, Peach, Plum",1A,1,Y,N5,G5,,Y,127,69,58,106,63,43,,Y,Prunus,NA,NA,fruit,Y,Food,Ornamentals,Food,Fruits,Ornamentals,Materials,Nuts,Progenitor
Prunus pumila,Prunus pumila,Prunus pumila L.,"Apricot, Cherry, Peach, Plum",1A,1,N,N5,G5,,Y,44,26,18,24,22,2,Y,N,Prunus,NA,NA,,Y,Food,Ornamentals,Food,Fruits,Ornamentals,Materials,Nuts,Progenitor
Prunus pumila,Prunus pumila var. besseyi,Prunus pumila var. besseyi (L.H.Bailey) Gleason,"Apricot, Cherry, Peach, Plum",1A,1,N,N4,T4,,Y,44,26,18,0,0,0,Y,Y,Prunus,var.,besseyi,,Y,Food,Ornamentals,Food,Fruits,Ornamentals,Materials,Nuts,Progenitor
Prunus pumila,Prunus pumila var. depressa,Prunus pumila var. depressa (Pursh) Gleason,"Apricot, Cherry, Peach, Plum",1A,1,N,N4,T5,,Y,44,26,18,9,8,1,Y,Y,Prunus,var.,depressa,,Y,Food,Ornamentals,Food,Fruits,Ornamentals,Materials,Nuts,Progenitor
Prunus pumila,Prunus pumila var. pumila,Prunus pumila var. pumila,"Apricot, Cherry, Peach, Plum",1A,1,N,N3,T4,,Y,44,26,18,1,0,1,Y,Y,Prunus,var.,pumila,,Y,Food,Ornamentals,Food,Fruits,Ornamentals,Materials,Nuts,Progenitor
Prunus pumila,Prunus pumila var. susquehanae,Prunus pumila var. susquehanae (Willd.) H.Jaeger,"Apricot, Cherry, Peach, Plum",1A,1,N,N4,T4,,Y,44,26,18,14,14,0,Y,Y,Prunus,var.,susquehanae,,Y,Food,Ornamentals,Food,Fruits,Ornamentals,Materials,Nuts,Progenitor
Prunus serotina,Prunus serotina,Prunus serotina Ehrh.,"Apricot, Cherry, Peach, Plum",1C,1,Y,N5,G5,,Y,231,179,52,152,117,35,Y,N,Prunus,NA,NA,fruit,Y,Food,Ornamentals,Food,Fruits,Ornamentals,Materials,Nuts,Tertiary
Prunus serotina,Prunus serotina var. serotina,Prunus serotina var. serotina,"Apricot, Cherry, Peach, Plum",1C,1,Y,N5,T5,,Y,231,179,52,152,117,35,Y,Y,Prunus,var.,serotina,fruit,Y,Food,Ornamentals,Food,Fruits,Ornamentals,Materials,Nuts,Tertiary
Prunus virginiana,Prunus virginiana,Prunus virginiana L.,"Apricot, Cherry, Peach, Plum",1C,1,Y,N5,G5,,Y,340,90,250,282,66,216,N,N,Prunus,NA,NA,"fruit, bark as tea",Y,Food,Ornamentals,Food,Fruits,Ornamentals,Materials,Nuts,Tertiary
Prunus virginiana,Prunus virginiana var. demissa,Prunus virginiana var. demissa (Nutt.) Torr.,"Apricot, Cherry, Peach, Plum",1C,1,Y,NNR,T5,,Y,340,90,250,NA,NA,NA,N,Y,Prunus,var.,demissa,"fruit, bark as tea",Y,Food,Ornamentals,Food,Fruits,Ornamentals,Materials,Nuts,Tertiary
Prunus virginiana,Prunus virginiana var. virginiana,Prunus virginiana var. virginiana,"Apricot, Cherry, Peach, Plum",1C,1,Y,N5,T5,,Y,340,90,250,NA,NA,NA,N,Y,Prunus,var.,virginiana,"fruit, bark as tea",Y,Food,Ornamentals,Food,Fruits,Ornamentals,Materials,Nuts,Tertiary
Pseudoroegneria spicata,Pseudoroegneria spicata,Pseudoroegneria spicata (Pursh) Á.Löve,Wheat,1C,1,N,N5,G5,,Y,274,0,274,2,0,2,,Y,Pseudoroegneria,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Assume distant
Pseudotsuga menziesii,Pseudotsuga menziesii,Pseudotsuga menziesii (Mirb.) Franco,Douglas fir,2,2,Y,N5,G5,,Y,161,115,46,41,4,37,N,N,Pseudotsuga,NA,NA,"needles, sugar, tea",Y,Forest Resources,,NA,Forest Resources,,,NA,NA
Pseudotsuga menziesii,Pseudotsuga menziesii var. glauca,Pseudotsuga menziesii var. glauca (Beissn.) Franco,Douglas fir,2,2,Y,N5,T5,,Y,161,115,46,NA,NA,NA,N,Y,Pseudotsuga,var.,glauca,"needles, sugar, tea",Y,Forest Resources,,NA,Forest Resources,,,NA,NA
Pseudotsuga menziesii,Pseudotsuga menziesii var. menziesii,Pseudotsuga menziesii var. menziesii,Douglas fir,2,2,Y,N5,T5,,Y,161,115,46,NA,NA,NA,N,Y,Pseudotsuga,var.,menziesii,"needles, sugar, tea",Y,Forest Resources,,NA,Forest Resources,,,NA,NA
Ptelea trifoliata,Ptelea trifoliata,Ptelea trifoliata L.,Hop-tree,2,2,N,N3,G5,,Y,66,57,9,45,40,5,Y,N,Ptelea,NA,NA,,Y,Ornamentals,Forest Resources,NA,Ornamentals,Forest Resources,,NA,NA
Ptelea trifoliata,Ptelea trifoliata subsp. trifoliata,Ptelea trifoliata subsp. trifoliata,Hop-tree,2,2,N,NA,NA,,Y,66,57,9,45,40,5,Y,Y,Ptelea,var.,trifoliata,,Y,Ornamentals,Forest Resources,NA,Ornamentals,Forest Resources,,NA,NA
Pycnanthemum virginianum,Pycnanthemum virginianum,Pycnanthemum virginianum (L.) T.Durand & B.D.Jacks. ex B.L.Rob. & Fernald,Mountain-mint,NA,NA,Y,N4,G5,,N,21,8,13,2,2,0,,Y,Pycnanthemum,NA,NA,condiment,Y,Medicinals,,NA,Medicinals,,,NA,NA
Quercus alba,Quercus alba,Quercus alba L.,Oak,2,2,Y,N5,G5,,Y,43,27,16,14,14,0,,Y,Quercus,NA,NA,acorns,Y,Forest Resources,,NA,Forest Resources,,,NA,NA
Quercus bicolor,Quercus bicolor,Quercus bicolor Willd.,Oak,2,2,Y,N4,G5,,Y,85,81,4,39,39,0,,Y,Quercus,NA,NA,acorns,Y,Forest Resources,,NA,Forest Resources,,,NA,NA
Quercus garryana,Quercus garryana,Quercus garryana Douglas ex Hook.,Oak,2,2,Y,N5,G5,,Y,66,66,0,57,57,0,Y,N,Quercus,NA,NA,acorns,Y,Forest Resources,,NA,Forest Resources,,,NA,NA
Quercus garryana,Quercus garryana var. garryana,Quercus garryana Douglas ex Hook. var. garryana,Oak,2,2,Y,N5,T5,,Y,66,66,0,57,57,0,Y,Y,Quercus,var.,garryana,acorns,Y,Forest Resources,,NA,Forest Resources,,,NA,NA
Quercus macrocarpa,Quercus macrocarpa,Quercus macrocarpa Michx.,Oak,2,2,Y,N5,G5,,Y,158,152,6,86,86,0,,Y,Quercus,NA,NA,"acorns, seed meal",Y,Forest Resources,,NA,Forest Resources,,,NA,NA
Quercus muehlenbergii,Quercus muehlenbergii,Quercus muehlenbergii Engelm.,Oak,2,2,N,N4,G5,,Y,140,119,21,108,107,1,,Y,Quercus,NA,NA,,Y,Forest Resources,,NA,Forest Resources,,,NA,NA
Quercus palustris,Quercus palustris,Quercus palustris Munch.,Oak,2,2,N,N4,G5,,Y,26,21,5,6,5,1,,Y,Quercus,NA,NA,,Y,Forest Resources,,NA,Forest Resources,,,NA,NA
Quercus prinoides,Quercus prinoides,Quercus prinoides Willd.,Oak,2,2,Y,N2,G5,,Y,14,12,2,12,11,1,,Y,Quercus,NA,NA,acorns,Y,Forest Resources,,NA,Forest Resources,,,NA,NA
Quercus rubra,Quercus rubra,Quercus rubra L.,Oak,2,2,Y,N5,G5,,Y,478,466,12,53,52,1,,Y,Quercus,NA,NA,acorns,Y,Forest Resources,,NA,Forest Resources,,,NA,NA
Quercus velutina,Quercus velutina,Quercus velutina Lam.,Oak,2,2,Y,N4,G5,,Y,34,26,8,19,19,0,,Y,Quercus,NA,NA,acorns,Y,Forest Resources,,NA,Forest Resources,,,NA,NA
Rhodiola rosea,Rhodiola rosea,Rhodiola rosea L.,Rhodiola,NA,NA,Y,N5,G5,,N,13,12,1,4,4,0,,Y,Rhodiola,NA,NA,,Y,Food,,NA,Vegetables,,,NA,NA
Rhododendron columbianum,Rhododendron columbianum,Rhododendron columbianum (Piper) Harmaja,Labrador-tea,NA,NA,Y,NA,NA,,N,0,0,0,0,0,0,,Y,Rhododendron,NA,NA,tea,Y,Medicinals,,NA,Medicinals,,,NA,NA
Rhododendron groenlandicum,Rhododendron groenlandicum,Rhododendron groenlandicum (Oeder) Kron & Judd,Labrador-tea,NA,NA,Y,N5,G5,,N,24,20,4,4,4,0,,Y,Rhododendron,NA,NA,tea,Y,Medicinals,,NA,Medicinals,,,NA,NA
Rhus aromatica,Rhus aromatica,Rhus aromatica Aiton,Sumac,2,2,N,N5,G5,,Y,119,82,37,10,10,0,Y,N,Rhus,NA,NA,,Y,Ornamentals,Forest Resources,NA,Ornamentals,Forest Resources,,NA,NA
Rhus aromatica,Rhus aromatica var. aromatica,Rhus aromatica var. aromatica,Sumac,2,2,N,N5,T5,,Y,119,82,37,10,10,0,Y,Y,Rhus,var.,aromatica,,Y,Ornamentals,Forest Resources,NA,Ornamentals,Forest Resources,,NA,NA
Rhus copallinum,Rhus copallinum,Rhus copallina L.,Sumac,2,2,N,N4,G5,,Y,88,37,51,20,18,2,Y,N,Rhus,NA,NA,,Y,Ornamentals,Forest Resources,NA,Ornamentals,Forest Resources,,NA,NA
Rhus copallinum,Rhus copallinum var. copallinum,Rhus copallinum L. var. copallinum,Sumac,2,2,N,N4,T5,,Y,88,37,51,20,18,2,Y,Y,Rhus,var.,copallinum,,Y,Ornamentals,Forest Resources,NA,Ornamentals,Forest Resources,,NA,NA
Rhus glabra,Rhus glabra,Rhus glabra L.,Sumac,2,2,N,N5,G5,,Y,82,56,26,12,11,1,,Y,Rhus,NA,NA,,Y,Ornamentals,Forest Resources,NA,Ornamentals,Forest Resources,,NA,NA
Rhus typhina,Rhus typhina,Rhus typhina L.,Sumac,2,2,N,N5,G5,,Y,102,55,47,14,2,12,,Y,Rhus,NA,NA,,Y,Ornamentals,Forest Resources,NA,Ornamentals,Forest Resources,,NA,NA
Ribes acerifolium,Ribes acerifolium,Ribes acerifolium Howell,"Currant, Gooseberry",1C,1,Y,N5,G4,,Y,2,0,2,0,0,0,,Y,Ribes,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,Assume distant
Ribes americanum,Ribes americanum,Ribes americanum Mill.,"Currant, Gooseberry",1B,1,Y,N5,G5,,Y,23,12,11,7,7,0,,Y,Ribes,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,Secondary
Ribes aureum,Ribes aureum,Ribes aureum Pursh,"Currant, Gooseberry",1A,1,Y,N3,G5,,Y,61,27,34,0,0,0,Y,N,Ribes,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,Tertiary
Ribes aureum,Ribes aureum var. aureum,Ribes aureum var. aureum,"Currant, Gooseberry",1A,1,Y,N3,T4,,Y,61,27,34,0,0,0,Y,Y,Ribes,var.,aureum,fruit,Y,Food,,NA,Fruits,,,NA,Tertiary
Ribes aureum,Ribes aureum var. villosum,Ribes aureum var. villosum DC.,"Currant, Gooseberry",1A,1,Y,NNA,T4,,Y,61,27,34,0,0,0,Y,Y,Ribes,var.,villosum,fruit,N,Food,,NA,Fruits,,,NA,Tertiary
Ribes bracteosum,Ribes bracteosum,Ribes bracteosum Douglas ex Hook.,"Currant, Gooseberry",1B,1,Y,N5,G5,,Y,30,9,21,9,9,0,,Y,Ribes,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,Secondary
Ribes cereum,Ribes cereum,Ribes cereum Douglas,"Currant, Gooseberry",1C,1,Y,N5,G5,,Y,50,3,47,4,3,1,Y,N,Ribes,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,Tertiary
Ribes cereum,Ribes cereum var. cereum,Ribes cereum var. cereum,"Currant, Gooseberry",1C,1,Y,N5,T5,,Y,50,3,47,4,3,1,Y,Y,Ribes,var.,cereum,fruit,Y,Food,,NA,Fruits,,,NA,Tertiary
Ribes cynosbati,Ribes cynosbati,Ribes cynosbati L.,"Currant, Gooseberry",1B,1,Y,N5,G5,,Y,12,6,6,2,2,0,,Y,Ribes,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,Secondary
Ribes divaricatum,Ribes divaricatum,Ribes divaricatum Douglas,"Currant, Gooseberry",1A,1,Y,N5,G5,,Y,5,2,3,0,0,0,Y,N,Ribes,NA,NA,"fruit, greens",Y,Food,,NA,Fruits,,,NA,Secondary
Ribes divaricatum,Ribes divaricatum var. divaricatum,Ribes divaricatum var. divaricatum,"Currant, Gooseberry",1A,1,Y,N5,T5,,Y,5,2,3,0,0,0,Y,Y,Ribes,var.,divaricatum,"fruit, greens",Y,Food,,NA,Fruits,,,NA,Secondary
Ribes hirtellum,Ribes hirtellum,Ribes hirtellum Michx.,"Currant, Gooseberry",1A,1,Y,N5,G5,,Y,2,0,2,0,0,0,Y,Y,Ribes,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,Progenitor
Ribes hudsonianum,Ribes hudsonianum,Ribes hudsonianum Richardson,"Currant, Gooseberry",1B,1,Y,N5,G5,,Y,15,1,14,0,0,0,Y,N,Ribes,NA,NA,northern black currant; fruit,Y,Food,,NA,Fruits,,,NA,Secondary
Ribes hudsonianum,Ribes hudsonianum var. hudsonianum,Ribes hudsonianum var. hudsonianum,"Currant, Gooseberry",1B,1,Y,N5,T5,,Y,15,1,14,0,0,0,Y,Y,Ribes,var.,hudsonianum,northern black currant; fruit,Y,Food,,NA,Fruits,,,NA,Secondary
Ribes hudsonianum,Ribes hudsonianum var. petiolare,Ribes hudsonianum var. petiolare (Douglas) Jancz.,"Currant, Gooseberry",1B,1,Y,N5,T5,,Y,15,1,14,0,0,0,Y,Y,Ribes,var.,petiolare,northern black currant; fruit,Y,Food,,NA,Fruits,,,NA,Secondary
Ribes inerme,Ribes inerme,Ribes inerme Rydb.,"Currant, Gooseberry",1B,1,Y,N5,G5,,Y,15,0,15,0,0,0,Y,N,Ribes,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,Secondary
Ribes inerme,Ribes inerme var. inerme,Ribes inerme var. inerme,"Currant, Gooseberry",1B,1,Y,N5,T5,,Y,15,0,15,0,0,0,Y,Y,Ribes,var.,inerme,fruit,Y,Food,,NA,Fruits,,,NA,Secondary
Ribes lacustre,Ribes lacustre,Ribes lacustre (Pers.) Poir.,"Currant, Gooseberry",1C,1,Y,N5,G5,,Y,28,7,21,4,3,1,,Y,Ribes,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,Assume distant
Ribes laxiflorum,Ribes laxiflorum,Ribes laxiflorum Pursh,"Currant, Gooseberry",1C,1,Y,N5,G5,,Y,7,0,7,0,0,0,,Y,Ribes,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,Assume distant
Ribes lobbii,Ribes lobbii,Ribes lobbii A.Gray,"Currant, Gooseberry",1C,1,Y,N5,G4,,Y,10,3,7,3,3,0,Y,Y,Ribes,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,Assume distant
Ribes oxyacanthoides,Ribes oxyacanthoides,Ribes oxyacanthoides L.,"Currant, Gooseberry",1A,1,Y,N5,G5,,Y,9,1,8,2,0,2,Y,N,Ribes,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,Progenitor
Lupinus lepidus,Lupinus lepidus,Lupinus lepidus Douglas ex Lindl.,Lupin,1C,1,Y,N2,G5,,Y,2,0,2,0,0,0,,Y,Lupinus,NA,NA,used directly as an ornamental,Y,Food,Ornamentals,NA,Pulses,Ornamentals,,NA,Assume distant
Ribes oxyacanthoides,Ribes oxyacanthoides subsp. irriguum,Ribes oxyacanthoides subsp. irriguum (Douglas) Q.P.Sinnott,"Currant, Gooseberry",1B,1,Y,N3,T4,,Y,9,1,8,0,0,0,Y,Y,Ribes,subsp.,irriguum,fruit,Y,Food,,NA,Fruits,,,NA,Secondary
Ribes oxyacanthoides,Ribes oxyacanthoides var. oxyacanthoides,Ribes oxyacanthoides subsp. oxyacanthoides,"Currant, Gooseberry",1A,1,Y,N5,T5,,Y,9,1,8,2,0,2,Y,Y,Ribes,var.,oxyacanthoides,fruit,Y,Food,,NA,Fruits,,,NA,Progenitor
Lupinus perennis,Lupinus perennis,Lupinus perennis L.,Lupin,1C,1,Y,N2,G5,,Y,11,0,11,0,0,0,,Y,Lupinus,NA,NA,used directly as an ornamental,Y,Food,Ornamentals,NA,Pulses,Ornamentals,,NA,Assume distant
Ribes sanguineum,Ribes sanguineum,Ribes sanguineum Pursh,"Currant, Gooseberry",1B,1,Y,N5,G5,,Y,73,43,30,2,2,0,Y,N,Ribes,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,Secondary
Ribes sanguineum,Ribes sanguineum var. sanguineum,Ribes sanguineum var. sanguineum,"Currant, Gooseberry",1B,1,Y,N5,T5,,Y,73,43,30,2,2,0,Y,Y,Ribes,var.,sanguineum,fruit,Y,Food,,NA,Fruits,,,NA,Secondary
Ribes triste,Ribes triste,Ribes triste Pall.,"Currant, Gooseberry",1C,1,Y,N5,G5,,Y,17,2,15,2,2,0,,Y,Ribes,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,Tertiary
Ribes uva-crispa,Ribes uva-crispa,Ribes uva-crispa L.,"Currant, Gooseberry",1A,1,Y,NA,NA,,Y,149,5,144,6,0,6,,Y,Ribes,NA,NA,fruit,N,Food,,NA,Fruits,,,NA,Progenitor
Ribes viscosissimum,Ribes viscosissimum,Ribes viscosissimum Pursh,"Currant, Gooseberry",1C,1,Y,N5,G5,,Y,18,0,18,0,0,0,,Y,Ribes,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,Assume distant
Rorippa aquatica,Rorippa aquatica,Rorippa aquatica (Eaton) E.J.Palmer & Steyerm.,Horseradish,NA,2,Y,N3,G4,,N,0,0,0,0,0,0,,Y,Rorippa,NA,NA,horseradish; condiment,Y,Food,,NA,Herbs and Spices,,,NA,NA
Rosa acicularis,Rosa acicularis,Rosa acicularis Lindl.,Rose,2,2,Y,N5,G5,,Y,24,13,11,3,3,0,Y,N,Rosa,NA,NA,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA
Rosa acicularis,Rosa acicularis subsp. sayi,Rosa acicularis subsp. sayi (Schwein.) W.H.Lewis,Rose,2,2,Y,N5,T5,,Y,24,13,11,3,3,0,Y,Y,Rosa,subsp.,sayi,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA
Rosa arkansana,Rosa arkansana,Rosa arkansana Port. & Coult.,Rose,2,2,Y,N5,G5,,Y,7,2,5,2,1,1,Y,N,Rosa,NA,NA,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA
Rosa arkansana,Rosa arkansana var. arkansana,Rosa arkansana var. arkansana,Rose,2,2,Y,NNR,T4,,Y,7,2,5,2,1,1,Y,Y,Rosa,NA,NA,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA
Rosa blanda,Rosa blanda,Rosa blanda Aiton,Rose,2,2,Y,N5,G5,,Y,20,16,4,11,10,1,,Y,Rosa,NA,NA,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA
Rosa carolina,Rosa carolina,Rosa carolina L.,Rose,2,2,Y,N5,G5,,Y,13,2,11,1,0,1,,Y,Rosa,NA,NA,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA
Rosa gymnocarpa,Rosa gymnocarpa,Rosa gymnocarpa Nutt. ex Torr. & A.Gray,Rose,2,2,Y,N5,G5,,Y,11,7,4,4,4,0,Y,N,Rosa,NA,NA,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA
Rosa gymnocarpa,Rosa gymnocarpa var. gymnocarpa,Rosa gymnocarpa var. gymnocarpa,Rose,2,2,Y,N5,T5,,Y,11,7,4,4,4,0,Y,Y,Rosa,var.,gymnocarpa,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA
Rosa nitida,Rosa nitida,Rosa nitida Willd.,Rose,2,2,Y,N5,G5,,Y,3,3,0,0,0,0,,Y,Rosa,NA,NA,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA
Rosa nutkana,Rosa nutkana,Rosa nutkana C.Presl,Rose,2,2,Y,N5,G5,,Y,29,21,8,9,9,0,N,N,Rosa,NA,NA,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA
Rosa nutkana,Rosa nutkana subsp. macdougalii,Rosa nutkana subsp. macdougalii (Holz.) Piper,Rose,2,2,Y,N5,T5,,Y,29,21,8,NA,NA,NA,N,Y,Rosa,subsp.,macdougalii,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA
Rosa nutkana,Rosa nutkana subsp. nutkana,Rosa nutkana subsp. nutkana,Rose,2,2,Y,N5,T5,,Y,29,21,8,NA,NA,NA,N,Y,Rosa,subsp.,nutkana,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA
Rosa palustris,Rosa palustris,Rosa palustris Marshall,Rose,2,2,Y,N5,G5,,Y,36,14,22,5,5,0,,Y,Rosa,NA,NA,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA
Rosa pisocarpa,Rosa pisocarpa,Rosa pisocarpa A.Gray,Rose,2,2,Y,N4,G5,,Y,12,8,4,5,4,1,,Y,Rosa,NA,NA,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA
Rosa setigera,Rosa setigera,Rosa setigera Michx.,Rose,2,2,Y,N2,G5,SC - Special Concern (SC) / Pr�occupante (P),Y,33,25,8,22,22,0,,Y,Rosa,NA,NA,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA
Rosa virginiana,Rosa virginiana,Rosa virginiana Herrm.,Rose,2,2,Y,N5,G5,,Y,9,6,3,1,1,0,Y,N,Rosa,NA,NA,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA
Rosa virginiana,Rosa virginiana subsp. virginiana,Rosa virginiana subsp. virginiana,Rose,2,2,Y,NNR,T5,,Y,9,6,3,1,1,0,Y,Y,Rosa,var.,virginiana,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA
Rosa woodsii,Rosa woodsii,Rosa woodsii Lindl.,Rose,2,2,Y,N5,G5,,Y,121,7,114,1,0,1,N,N,Rosa,NA,NA,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA
Rosa woodsii,Rosa woodsii subsp. ultramontana,Rosa woodsii subsp. ultramontana (S.Watson) Taylor & Mac Bryde,Rose,2,2,Y,N5,T5,,Y,121,7,114,NA,NA,NA,N,Y,Rosa,subsp.,ultramontana,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA
Rosa woodsii,Rosa woodsii subsp. woodsii,Rosa woodsii subsp. woodsii,Rose,2,2,Y,N5,T5,,Y,121,7,114,NA,NA,NA,N,Y,Rosa,subsp.,woodsii,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA
Rubus allegheniensis,Rubus allegheniensis,Rubus allegheniensis Porter,"Blackberry, Raspberry",1A,1,Y,N5,G5,,Y,43,4,39,3,3,0,,Y,Rubus,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,Primary
Rubus arcticus,Rubus arcticus,Rubus arcticus L.,"Blackberry, Raspberry",1C,1,Y,N5,G5,,Y,28,11,17,3,3,0,Y,N,Rubus,NA,NA,Nagoonberry; fruit,Y,Food,,NA,Fruits,,,NA,Tertiary
Rubus arcticus,Rubus arcticus subsp. acaulis,Rubus arcticus subsp. acaulis (Michx.) Focke,"Blackberry, Raspberry",1C,1,Y,N5,T5,,Y,28,11,17,3,3,0,Y,Y,Rubus,subsp.,acaulis,Nagoonberry,Y,Food,,NA,Fruits,,,NA,Assume distant
Rubus arcticus,Rubus arcticus subsp. arcticus,Rubus arcticus subsp. arcticus,"Blackberry, Raspberry",1C,1,Y,NA,NA,,Y,28,11,17,0,0,0,Y,Y,Rubus,subsp.,arcticus,Nagoonberry,Y,Food,,NA,Fruits,,,NA,Assume distant
Rubus arcticus,Rubus arcticus subsp. stellatus,Rubus arcticus subsp. stellatus (Sm.) Boivin,"Blackberry, Raspberry",1C,1,Y,N4,T4,,Y,28,11,17,0,0,0,Y,Y,Rubus,subsp.,stellatus,Nagoonberry,Y,Food,,NA,Fruits,,,NA,Assume distant
Rubus canadensis,Rubus canadensis,Rubus canadensis L.,"Blackberry, Raspberry",1A,1,Y,N5,G5,,Y,29,6,23,9,6,3,,Y,Rubus,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,Primary
Rubus chamaemorus,Rubus chamaemorus,Rubus chamaemorus L.,"Blackberry, Raspberry",1C,1,Y,N5,G5,,Y,31,2,29,4,2,2,,Y,Rubus,NA,NA,fruit,Y,Food,,NA,Fruits,,,NA,Tertiary
Rubus flagellaris,Rubus flagellaris,Rubus flagellaris Willd.,"Blackberry, Raspberry",1B,1,Y,NNR,G5,,Y,14,1,13,1,1,0,,Y,Rubus,NA,NA,Northern dewberry,Y,Food,,NA,Fruits,,,NA,Secondary
Rubus idaeus,Rubus idaeus,Rubus idaeus L.,"Blackberry, Raspberry",1A,1,Y,N5,G5,,Y,659,38,621,46,11,35,Y,N,Rubus,NA,NA,"fruit, shoots, leaves for tea",Y,Food,,NA,Fruits,,,NA,Primary
Rubus idaeus,Rubus idaeus subsp. idaeus,Rubus idaeus subsp. idaeus,"Blackberry, Raspberry",1A,1,Y,NNA,T5,,Y,659,38,621,35,0,35,Y,Y,Rubus,subsp.,idaeus,"fruit, shoots, leaves for tea",N,Food,,NA,Fruits,,,NA,Primary
