SPECIES,TAXON,scientificName,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,CATEGORY,TIER,WUS,ROUNDED_N_RANK,ROUNDED_G_RANK,COSEWIC_DESC,CWR,total_accessions_sp,garden_accessions_sp,genebank_accessions_sp,total_accessions_w_finest_taxon_res,garden_accessions_w_finest_taxon_res,genebank_accessions_w_finest_taxon_res,INFRASPECIFIC_COLLECTIONS_ASSIGNED,FINEST_TAXON_RESOLUTION,GENUS,RANK,INFRASPECIFIC,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,GENEPOOL
Allium schoenoprasum,Allium schoenoprasum,Allium schoenoprasum L.,"Onions, Garlic, Leeks",1C,1,Y,N5,G5,,Y,49,16,33,0,0,0,N,N,Allium,NA,NA,gathered as 'wild chives',Y,Food,,NA,Vegetables,,,NA,Tertiary
Allium schoenoprasum,Allium schoenoprasum var. schoenoprasum,Allium schoenoprasum var. schoenoprasum,"Onions, Garlic, Leeks",1C,1,Y,NNA,T5,,Y,49,16,33,NA,NA,NA,N,Y,Allium,var.,schoenoprasum,gathered as 'wild chives',N,Food,,NA,Vegetables,,,NA,Tertiary
Allium schoenoprasum,Allium schoenoprasum var. sibiricum,Allium schoenoprasum var. sibiricum (L.) Hartm.,"Onions, Garlic, Leeks",1C,1,Y,N5,T5,,Y,49,16,33,NA,NA,NA,N,Y,Allium,var.,schoenoprasum,gathered as 'wild chives',N,Food,,NA,Vegetables,,,NA,Tertiary
Allium stellatum,Allium stellatum,Allium stellatum Nutt. ex Ker Gawl.,"Onions, Garlic, Leeks",1C,1,Y,N5,G5,,Y,4,4,0,0,0,0,,Y,Allium,NA,NA,"prairie onion or pink flowered onion, both the bulbs and greens consumed",Y,Food,,NA,Vegetables,,,NA,Assume distant
Allium textile,Allium textile,Allium textile A.Nelson & J.F.Macbr.,"Onions, Garlic, Leeks",1C,1,Y,N5,G5,,Y,33,0,33,0,0,0,,Y,Allium,NA,NA,wild onion; blubs and greens,Y,Food,,NA,Vegetables,,,NA,Assume distant
Allium tricoccum,Allium tricoccum,Allium tricoccum Aiton,"Onions, Garlic, Leeks",1C,1,Y,N4,G5,,Y,15,11,4,9,8,1,Y,N,Allium,NA,NA,ramps'; leaves and bulbs,Y,Food,,NA,Vegetables,,,NA,Assume distant
Allium tricoccum,Allium tricoccum var. burdickii,Allium tricoccum var. burdickii Hanes,"Onions, Garlic, Leeks",1C,1,Y,N3,G4,,Y,15,11,4,0,0,0,Y,Y,Allium,var.,burdickii,ramps'; leaves and bulbs,Y,Food,,NA,Vegetables,,,NA,Assume distant
Allium tricoccum,Allium tricoccum var. tricoccum,Allium tricoccum Aiton var. tricoccum,"Onions, Garlic, Leeks",1C,1,Y,N4,G5,,Y,15,11,4,9,8,1,Y,Y,Allium,var.,tricoccum,ramps'; leaves and bulbs,Y,Food,,NA,Vegetables,,,NA,Assume distant
Alnus alnobetula,Alnus alnobetula,Alnus alnobetula (Ehrh.) K.Koch,Alder,2,2,Y,N5,G5,,Y,91,4,87,87,0,87,Y,N,Alnus,NA,NA,inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA
Alnus alnobetula,Alnus alnobetula subsp. crispa,Alnus alnobetula subsp. crispa (Aiton) Raus,Alder,2,2,Y,N5,T5,,Y,91,4,87,67,0,67,Y,Y,Alnus,subsp.,crispa,inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA
Alnus alnobetula,Alnus alnobetula subsp. sinuata,Alnus alnobetula subsp. sinuata (Regel) Raus,Alder,2,2,Y,N5,T5,,Y,91,4,87,20,0,20,Y,Y,Alnus,subsp.,sinuata,inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA
Alnus incana,Alnus incana,Alnus incana (L.) Moench,Alder,2,2,Y,N5,G5,,Y,69,8,61,52,3,49,Y,N,Alnus,NA,NA,inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA
Alnus incana,Alnus incana subsp. rugosa,Alnus incana subsp. rugosa (Du Roi) R.T.Clausen,Alder,2,2,Y,N5,T5,,Y,69,8,61,42,3,39,Y,Y,Alnus,subsp.,rugosa,inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA
Alnus incana,Alnus incana subsp. tenuifolia,Alnus incana subsp. tenuifolia (Nutt.) Breitung,Alder,2,2,Y,N5,T5,,Y,69,8,61,10,0,10,Y,Y,Alnus,subsp.,tenuifolia,inner bark,Y,Forest Resources,,NA,Forest Resources,,,NA,NA
Alnus rubra,Alnus rubra,Alnus rubra Bong.,Alder,2,2,Y,N5,G5,,Y,44,6,38,33,0,33,,Y,Alnus,NA,NA,inner bark and catkins,Y,Forest Resources,,NA,Forest Resources,,,NA,NA
Alnus serrulata,Alnus serrulata,Alnus serrulata (Aiton) Willd.,Alder,2,2,Y,N3,G5,,Y,5,0,5,5,0,5,,Y,Alnus,NA,NA,inner bark and catkins,Y,Forest Resources,,NA,Forest Resources,,,NA,NA
Amaranthus albus,Amaranthus albus,Amaranthus albus L.,Amaranth,1C,1,Y,NNA,GNR,,Y,8,0,8,1,0,1,,Y,Amaranthus,NA,NA,greens and seeds used,N,Food,Ornamentals,NA,Cereals and pseudocereals,Ornamentals,,NA,Assume distant
