TAXON,SPECIES,TIER,CWR,WUS,INFRASPECIFIC_COLLECTIONS_ASSIGNED,FINEST_TAXON_RESOLUTION,ROUNDED_G_RANK,ROUNDED_N_RANK,COSEWIC_DESC,total_accessions_sp,garden_accessions_sp,genebank_accessions_sp,total_accessions_w_finest_taxon_res,garden_accessions_w_finest_taxon_res,genebank_accessions_w_finest_taxon_res,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,GENUS,RANK,INFRASPECIFIC,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,GENEPOOL,CATEGORY
Astragalus drummondii,Astragalus drummondii,2,Y,N,,Y,G5,N4,,1,0,1,0,0,0,Milk-vetch,Astragalus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus eucosmus,Astragalus eucosmus,2,Y,N,,Y,G5,N5,,0,0,0,0,0,0,Milk-vetch,Astragalus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus filipes,Astragalus filipes,2,Y,N,,Y,G5,N4,,2,0,2,0,0,0,Milk-vetch,Astragalus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus flexuosus,Astragalus flexuosus,2,Y,N,,Y,G5,N4,,3,0,3,2,0,2,Milk-vetch,Astragalus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus gilviflorus,Astragalus gilviflorus,2,Y,N,Y,N,G5,N5,,0,0,0,0,0,0,Milk-vetch,Astragalus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus gilviflorus var. gilviflorus,Astragalus gilviflorus,2,Y,N,Y,Y,T5,N5,,0,0,0,0,0,0,Milk-vetch,Astragalus,var.,gilviflorus,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus kentrophyta,Astragalus kentrophyta,2,Y,N,Y,N,G5,N2,,0,0,0,0,0,0,Milk-vetch,Astragalus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus kentrophyta var. kentrophyta,Astragalus kentrophyta,2,Y,N,Y,Y,T4,N2,,0,0,0,0,0,0,Milk-vetch,Astragalus,var.,kentrophyta,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus laxmannii,Astragalus laxmannii,2,Y,N,Y,N,G5,N5,,2,0,2,0,0,0,Milk-vetch,Astragalus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus laxmannii var. robustior,Astragalus laxmannii,2,Y,N,Y,Y,T5,N5,,2,0,2,0,0,0,Milk-vetch,Astragalus,var.,robustior,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus laxmannii var. tananaicus,Astragalus laxmannii,2,Y,N,Y,Y,T3,N3,,2,0,2,0,0,0,Milk-vetch,Astragalus,var.,tananaicus,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus lentiginosus,Astragalus lentiginosus,2,Y,N,Y,N,G5,N4,,0,0,0,0,0,0,Milk-vetch,Astragalus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus lentiginosus var. salinus,Astragalus lentiginosus,2,Y,N,Y,Y,T5,N4,,0,0,0,0,0,0,Milk-vetch,Astragalus,var.,salinus,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus lotiflorus,Astragalus lotiflorus,2,Y,N,,Y,G5,N4,,0,0,0,0,0,0,Milk-vetch,Astragalus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus microcystis,Astragalus microcystis,2,Y,N,,Y,G5,N2,,0,0,0,0,0,0,Milk-vetch,Astragalus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus miser,Astragalus miser,2,Y,Y,Y,N,G5,N5,,1,0,1,0,0,0,Milk-vetch,Astragalus,NA,NA,seeds,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus miser var. serotinus,Astragalus miser,2,Y,Y,Y,Y,T5,N5,,1,0,1,0,0,0,Milk-vetch,Astragalus,var.,serotinus,seeds,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus missouriensis,Astragalus missouriensis,2,Y,N,,Y,G5,N4,,0,0,0,0,0,0,Milk-vetch,Astragalus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus neglectus,Astragalus neglectus,2,Y,N,,Y,G4,N3,,0,0,0,0,0,0,Milk-vetch,Astragalus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus pectinatus,Astragalus pectinatus,2,Y,N,,Y,G5,N5,,0,0,0,0,0,0,Milk-vetch,Astragalus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus purshii,Astragalus purshii,2,Y,N,Y,N,G5,N5,,1,0,1,0,0,0,Milk-vetch,Astragalus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus purshii var. glareosus,Astragalus purshii,2,Y,N,Y,Y,T4,N5,,1,0,1,0,0,0,Milk-vetch,Astragalus,var.,glareosus,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus purshii var. purshii,Astragalus purshii,2,Y,N,Y,Y,T5,N5,,1,0,1,0,0,0,Milk-vetch,Astragalus,var.,purshii,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus racemosus,Astragalus racemosus,2,Y,N,Y,N,G5,N2,,1,0,1,0,0,0,Milk-vetch,Astragalus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus racemosus var. racemosus,Astragalus racemosus,2,Y,N,Y,Y,T5,N2,,1,0,1,0,0,0,Milk-vetch,Astragalus,var.,racemosus,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus robbinsii,Astragalus robbinsii,2,Y,N,Y,N,G5,N5,,1,0,1,0,0,0,Milk-vetch,Astragalus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus robbinsii var. fernaldii,Astragalus robbinsii,2,Y,N,Y,Y,T1,N1,SC - Special Concern (SC) / Préoccupante (P),1,0,1,0,0,0,Milk-vetch,Astragalus,var.,fernaldii,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus robbinsii var. minor,Astragalus robbinsii,2,Y,N,Y,Y,T5,N5,,1,0,1,0,0,0,Milk-vetch,Astragalus,var.,minor,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus sclerocarpus,Astragalus sclerocarpus,2,Y,N,,Y,G5,N2,,0,0,0,0,0,0,Milk-vetch,Astragalus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus spatulatus,Astragalus spatulatus,2,Y,N,,Y,G5,N3,,1,0,1,0,0,0,Milk-vetch,Astragalus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus tenellus,Astragalus tenellus,2,Y,N,,Y,G5,N5,,0,0,0,0,0,0,Milk-vetch,Astragalus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus umbellatus,Astragalus umbellatus,2,Y,N,,Y,G4,N5,,0,0,0,0,0,0,Milk-vetch,Astragalus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus vexilliflexus,Astragalus vexilliflexus,2,Y,N,Y,N,G4,N4,,0,0,0,0,0,0,Milk-vetch,Astragalus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus vexilliflexus var. vexilliflexus,Astragalus vexilliflexus,2,Y,N,Y,Y,T4,N4,,0,0,0,0,0,0,Milk-vetch,Astragalus,var.,vexilliflexus,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Astragalus williamsii,Astragalus williamsii,2,Y,N,,Y,G4,N4,,0,0,0,0,0,0,Milk-vetch,Astragalus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Balsamorhiza deltoidea,Balsamorhiza deltoidea,NA,N,Y,,Y,G5,N2,E - Endangered (E) / En voie de disparition (VD),9,6,3,5,5,0,Balsamroot,Balsamorhiza,NA,NA,"roots, sprouts",Y,Food,,NA,Vegetables,,,NA,NA,NA
Balsamorhiza sagittata,Balsamorhiza sagittata,NA,N,Y,,Y,G5,N5,,67,0,67,0,0,0,Balsamroot,Balsamorhiza,NA,NA,"roots, greens, stems, seeds",Y,Food,,NA,Vegetables,,,NA,NA,NA
Betula alleghaniensis,Betula alleghaniensis,2,Y,Y,,Y,G5,N5,,247,55,192,212,34,178,Birch,Betula,NA,NA,twigs and sap,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Betula cordifolia,Betula cordifolia,2,Y,N,,Y,T5,N5,,16,0,16,15,0,15,Birch,Betula,NA,NA,,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Betula lenta,Betula lenta,2,Y,Y,,Y,G5,N1,E - Endangered (E) / En voie de disparition (VD),86,72,14,44,44,0,Birch,Betula,NA,NA,leaves,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Betula minor,Betula minor,2,Y,N,,Y,G4,N4,,4,3,1,1,0,1,Birch,Betula,NA,NA,,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Betula occidentalis,Betula occidentalis,2,Y,N,,Y,G5,N5,,19,10,9,11,7,4,Birch,Betula,NA,NA,,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Betula papyrifera,Betula papyrifera,2,Y,Y,,Y,G5,NNR,,1031,847,184,517,348,169,Birch,Betula,NA,NA,"leaves, twigs and sap",Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Betula populifolia,Betula populifolia,2,Y,N,,Y,G5,N5,,87,33,54,50,6,44,Birch,Betula,NA,NA,,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Blitum capitatum,Blitum capitatum,1,Y,Y,Y,N,G5,N5,,4,1,3,0,0,0,Spinach,Blitum,NA,NA,strawberry spinach; greens and fruit,Y,Food,,NA,Vegetables,,,NA,Tertiary,1C
Blitum capitatum subsp. capitatum,Blitum capitatum,1,Y,Y,Y,Y,G5,N5,,4,1,3,0,0,0,Spinach,Blitum,subsp.,capitatum,strawberry spinach; greens and fruit,Y,Food,,NA,Vegetables,,,NA,Tertiary,1C
Blitum nuttallianum,Blitum nuttallianum,1,Y,N,,Y,G5,N5,,7,0,7,0,0,0,Spinach,Blitum,NA,NA,,Y,Food,,NA,Vegetables,,,NA,Tertiary,1C
Bromus anomalus,Bromus anomalus,2,Y,N,,Y,G5,NNR,,16,0,16,0,0,0,Bromegrass,Bromus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Bromus ciliatus,Bromus ciliatus,2,Y,N,,Y,G5,NNR,,19,0,19,1,0,1,Bromegrass,Bromus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Bromus inermis,Bromus inermis,2,Y,N,,Y,T5,NNA,,85,0,85,0,0,0,Bromegrass,Bromus,NA,NA,,N,Food,,NA,Forage and Feed,,,NA,NA,2
Bromus kalmii,Bromus kalmii,2,Y,N,,Y,G5,N4,,6,1,5,1,0,1,Bromegrass,Bromus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Bromus pacificus,Bromus pacificus,2,Y,N,,Y,G5,N5,,1,0,1,0,0,0,Bromegrass,Bromus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Bromus porteri,Bromus porteri,2,Y,N,,Y,G5,N5,,1,0,1,0,0,0,Bromegrass,Bromus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Bromus pubescens,Bromus pubescens,2,Y,N,,Y,G5,N4,,2,0,2,0,0,0,Bromegrass,Bromus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Bromus sitchensis,Bromus sitchensis,2,Y,N,Y,N,G5,NNR,,50,0,50,0,0,0,Bromegrass,Bromus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Bromus sitchensis var. aleutensis,Bromus sitchensis,2,Y,N,Y,Y,T5,N5,,50,0,50,0,0,0,Bromegrass,Bromus,var.,aleutensis,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Bromus sitchensis var. marginatus,Bromus sitchensis,2,Y,N,Y,Y,G5,N5,,50,0,50,0,0,0,Bromegrass,Bromus,var.,marginatus,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Bromus sitchensis var. sitchensis,Bromus sitchensis,2,Y,N,Y,Y,T5,N5,,50,0,50,0,0,0,Bromegrass,Bromus,var.,sitchensis,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Bromus vulgaris,Bromus vulgaris,2,Y,N,,Y,G5,N5,,4,1,3,0,0,0,Bromegrass,Bromus,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Calamagrostis canadensis,Calamagrostis canadensis,2,Y,N,Y,N,G5,N5,,41,1,40,10,1,9,Bluejoint,Calamagrostis,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Calamagrostis canadensis var. canadensis,Calamagrostis canadensis,2,Y,N,Y,Y,T5,N5,,41,1,40,10,1,9,Bluejoint,Calamagrostis,var.,canadensis,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Calamagrostis purpurascens,Calamagrostis purpurascens,2,Y,N,,Y,G5,N5,,0,0,0,0,0,0,Bluejoint,Calamagrostis,NA,NA,,Y,Food,,NA,Forage and Feed,,,NA,NA,2
Callitropsis nootkatensis,Callitropsis nootkatensis,2,Y,N,,Y,G4,N4,,15,15,0,0,0,0,Cypress,Callitropsis,NA,NA,,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Caltha leptosepala,Caltha leptosepala,NA,N,Y,,Y,G5,N5,,10,4,6,1,1,0,Marsh marigold,Caltha,NA,NA,,Y,Food,,NA,Vegetables,,,NA,NA,NA
Calypso bulbosa,Calypso bulbosa,NA,N,Y,N,N,G5,N5,,2,1,1,0,0,0,Orchid,Calypso,NA,NA,,Y,Food,,NA,Vegetables,,,NA,NA,NA
Calypso bulbosa var. americana,Calypso bulbosa,NA,N,Y,N,Y,T5,N5,,2,1,1,NA,NA,NA,Orchid,Calypso,var.,americana,,Y,Food,,NA,Vegetables,,,NA,NA,NA
Calypso bulbosa var. occidentalis,Calypso bulbosa,NA,N,Y,N,Y,T5,N5,,2,1,1,NA,NA,NA,Orchid,Calypso,var.,occidentalis,,Y,Food,,NA,Vegetables,,,NA,NA,NA
Camassia leichtlinii,Camassia leichtlinii,NA,N,Y,Y,N,G4,N4,,49,37,12,9,8,1,Camas,Camassia,NA,NA,bulbs,Y,Food,,NA,Vegetables,,,NA,NA,NA
Camassia leichtlinii subsp. suksdorfii,Camassia leichtlinii,NA,N,Y,Y,Y,T4,N4,,49,37,12,9,8,1,Camas,Camassia,subsp.,suksdorfii,bulbs,Y,Food,,NA,Vegetables,,,NA,NA,NA
Camassia quamash,Camassia quamash,NA,N,Y,N,N,G5,N5,,31,18,13,0,0,0,Camas,Camassia,NA,NA,bulbs,Y,Food,,NA,Vegetables,,,NA,NA,NA
Camassia quamash subsp. maxima,Camassia quamash,NA,N,Y,N,Y,T4,N4,,31,18,13,NA,NA,NA,Camas,Camassia,subsp.,maxima,bulbs,Y,Food,,NA,Vegetables,,,NA,NA,NA
Camassia quamash subsp. quamash,Camassia quamash,NA,N,Y,N,Y,T4,N4,,31,18,13,NA,NA,NA,Camas,Camassia,subsp.,quamash,bulbs,Y,Food,,NA,Vegetables,,,NA,NA,NA
Carex obnupta,Carex obnupta,NA,N,Y,,Y,G5,N5,,5,0,5,0,0,0,Sedge,Carex,NA,NA,material for weaving,Y,Materials,,NA,Materials,,,NA,NA,NA
Carpinus caroliniana,Carpinus caroliniana,2,Y,N,Y,N,G5,N5,,83,40,43,10,7,3,Blue-beech,Carpinus,NA,NA,,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Carpinus caroliniana subsp. virginiana,Carpinus caroliniana,2,Y,N,Y,Y,T5,N5,,83,40,43,10,7,3,Blue-beech,Carpinus,subsp.,virginiana,,Y,Forest Resources,,NA,Forest Resources,,,NA,NA,2
Carya cordiformis,Carya cordiformis,1,Y,Y,,Y,G5,N5,,56,25,31,19,19,0,"Pecan, Hickory",Carya,NA,NA,"swamp hickory, bitternut hickory; nuts",Y,Food,Materials,NA,Nuts,Materials,,NA,Primary,1A
Carya glabra,Carya glabra,1,Y,Y,,Y,G5,N3,,51,22,29,16,16,0,"Pecan, Hickory",Carya,NA,NA,pignut hickory; nuts,Y,Food,Materials,NA,Nuts,Materials,,NA,Secondary,1B
Carya laciniosa,Carya laciniosa,1,Y,N,,Y,G5,N3,,73,35,38,34,34,0,"Pecan, Hickory",Carya,NA,NA,,Y,Food,Materials,NA,Nuts,Materials,,NA,Primary,1A
Carya ovalis,Carya ovalis,1,Y,Y,,Y,G5,NNA,,6,0,6,0,0,0,"Pecan, Hickory",Carya,NA,NA,false shagbark hickory; nuts,Y,Food,Materials,NA,Nuts,Materials,,NA,Secondary,1B
Carya ovata,Carya ovata,1,Y,Y,,N,G5,N5,,88,29,59,13,13,0,"Pecan, Hickory",Carya,NA,NA,shagbark hickory; nuts,Y,Food,Materials,NA,Nuts,Materials,,NA,Primary,1A
Castanea dentata,Castanea dentata,1,Y,Y,,Y,G3,N1,E - Endangered (E) / En voie de disparition (VD),267,258,9,106,101,5,Chestnut,Castanea,NA,NA,american chestnut'; nuts,Y,Food,Ornamentals,NA,Nuts,Ornamentals,,NA,Primary,1A
Celtis occidentalis,Celtis occidentalis,2,Y,Y,,Y,G5,N4,,62,46,16,17,16,1,Hackberry,Celtis,NA,NA,hackberry; fruit,Y,Ornamentals,Forest Resources,NA,Ornamentals,Forest Resources,,NA,NA,2
Cephalanthus occidentalis,Cephalanthus occidentalis,2,Y,N,,Y,G5,N5,,34,31,3,24,21,3,Buttonbush,Cephalanthus,NA,NA,,Y,Ornamentals,Forest Resources,NA,Ornamentals,Forest Resources,,NA,NA,2
Chamaenerion angustifolium,Chamaenerion angustifolium,NA,N,Y,N,N,G5,N5,,70,10,60,6,3,3,Fireweed,Chamaenerion,NA,NA,greens food; honey plant,Y,Food,,NA,Vegetables,,,NA,NA,NA
Chamaenerion angustifolium subsp. angustifolium,Chamaenerion angustifolium,NA,N,Y,N,Y,T5,N5,,70,10,60,NA,NA,NA,Fireweed,Chamaenerion,subsp.,angustifolium,,Y,Food,,NA,Vegetables,,,NA,NA,NA
Chamaenerion angustifolium subsp. circumvagum,Chamaenerion angustifolium,NA,N,Y,N,Y,T5,N5,,70,10,60,NA,NA,NA,Fireweed,Chamaenerion,subsp.,circumvagum,,Y,Food,,NA,Vegetables,,,NA,NA,NA
Chenopodiastrum simplex,Chenopodiastrum simplex,1,Y,N,,Y,G5,N5,,2,0,2,0,0,0,Quinoa,Chenopodiastrum,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Assume distant,1C
Chenopodium berlandieri,Chenopodium berlandieri,1,Y,Y,Y,N,G5,N5,,22,0,22,0,0,0,Quinoa,Chenopodium,NA,NA,lambsquarters; greens and seeds,Y,Food,,NA,Cereals and pseudocereals,,,NA,Secondary,1B
Chenopodium berlandieri var. bushianum,Chenopodium berlandieri,1,Y,Y,Y,Y,T4,N1,,22,0,22,0,0,0,Quinoa,Chenopodium,var.,bushianum,lambsquarters; greens and seeds,Y,Food,,NA,Cereals and pseudocereals,,,NA,Secondary,1B
Chenopodium berlandieri var. macrocalycium,Chenopodium berlandieri,1,Y,Y,Y,Y,T4,N4,,22,0,22,0,0,0,Quinoa,Chenopodium,var.,macrocalycium,lambsquarters; greens and seeds,Y,Food,,NA,Cereals and pseudocereals,,,NA,Secondary,1B
Chenopodium berlandieri var. zschackei,Chenopodium berlandieri,1,Y,Y,Y,Y,T5,N5,,22,0,22,0,0,0,Quinoa,Chenopodium,var.,zschackei,lambsquarters; greens and seeds,Y,Food,,NA,Cereals and pseudocereals,,,NA,Secondary,1B
Chenopodium desiccatum,Chenopodium desiccatum,1,Y,N,,Y,G5,N4,,4,0,4,0,0,0,Quinoa,Chenopodium,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary,1C
Chenopodium fremontii,Chenopodium fremontii,1,Y,Y,,Y,G5,N5,,3,0,3,0,0,0,Quinoa,Chenopodium,NA,NA,fremont's goosefoot; greens and seeds,Y,Food,,NA,Cereals and pseudocereals,,,NA,Assume distant,1C
Chenopodium hians,Chenopodium hians,1,Y,N,,Y,G5,NU,,9,0,9,0,0,0,Quinoa,Chenopodium,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary,1C
Chenopodium leptophyllum,Chenopodium leptophyllum,1,Y,Y,,Y,G5,NNR,,10,0,10,0,0,0,Quinoa,Chenopodium,NA,NA,narrow leaved goosefoot; greens and seeds,Y,Food,,NA,Cereals and pseudocereals,,,NA,Assume distant,1C
Chenopodium watsonii,Chenopodium watsonii,1,Y,N,,Y,G5,N3,,12,0,12,0,0,0,Quinoa,Chenopodium,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Tertiary,1C
Claytonia caroliniana,Claytonia caroliniana,NA,N,Y,,Y,G5,N5,,3,3,0,3,3,0,Spring-beauty,Claytonia,NA,NA,,Y,Food,,NA,Vegetables,,,NA,NA,NA
Claytonia lanceolata,Claytonia lanceolata,NA,N,Y,,Y,G5,N5,,3,1,2,0,0,0,Spring-beauty,Claytonia,NA,NA,"greens, very important",Y,Food,,NA,Vegetables,,,NA,NA,NA
Claytonia megarhiza,Claytonia megarhiza,NA,N,Y,,Y,G5,N3,,0,0,0,0,0,0,Spring-beauty,Claytonia,NA,NA,,Y,Food,,NA,Vegetables,,,NA,NA,NA
Claytonia perfoliata,Claytonia perfoliata,NA,N,Y,N,N,G5,N5,,5,0,5,0,0,0,Spring-beauty,Claytonia,NA,NA,,Y,Food,,NA,Vegetables,,,NA,NA,NA
Claytonia perfoliata subsp. intermontana,Claytonia perfoliata,NA,N,Y,N,Y,TNR,N2,,5,0,5,NA,NA,NA,Spring-beauty,Claytonia,subsp.,intermontana,,Y,Food,,NA,Vegetables,,,NA,NA,NA
Claytonia perfoliata subsp. perfoliata,Claytonia perfoliata,NA,N,Y,N,Y,TNR,N4,,5,0,5,NA,NA,NA,Spring-beauty,Claytonia,subsp.,perfoliata,,Y,Food,,NA,Vegetables,,,NA,NA,NA
Claytonia sibirica,Claytonia sibirica,NA,N,Y,,Y,G5,N5,,2,1,1,0,0,0,Spring-beauty,Claytonia,NA,NA,,Y,Food,,NA,Vegetables,,,NA,NA,NA
Claytonia virginica,Claytonia virginica,NA,N,Y,,Y,G5,N5,,4,3,1,0,0,0,Spring-beauty,Claytonia,NA,NA,,Y,Food,,NA,Vegetables,,,NA,NA,NA
Clinopodium douglasii,Clinopodium douglasii,NA,N,Y,,Y,G5,N5,,0,0,0,0,0,0,Yerba buena,Clinopodium,NA,NA,leaves for tea,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA
Coleataenia longifolia,Coleataenia longifolia,1,Y,N,Y,N,G4,N3,,0,0,0,0,0,0,Proso-millet,Coleataenia,NA,NA,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Assume distant,1C
Coleataenia longifolia subsp. longifolia,Coleataenia longifolia,1,Y,N,Y,Y,T5,N3,,0,0,0,0,0,0,Proso-millet,Coleataenia,subsp.,longifolia,,Y,Food,,NA,Cereals and pseudocereals,,,NA,Assume distant,1C
Comarum palustre,Comarum palustre,1,Y,Y,,Y,G5,N5,,15,6,9,5,4,1,Strawberry,Comarum,NA,NA,wild strawberry',Y,Food,,NA,Fruits,,,NA,Tertiary,1C
Conioselinum gmelinii,Conioselinum pacificum,NA,N,Y,,Y,T5,N5,,0,0,0,0,0,0,Hemlock-parsley,Conioselinum,NA,NA,wild carrot,Y,Food,,NA,Vegetables,,,NA,NA,NA
Cornus amomum,Cornus amomum,NA,Y,Y,,Y,G5,N5,,41,16,25,1,0,1,Dogwood,Cornus,NA,NA,fruit,Y,Food,Ornamentals,NA,Fruits,Ornamentals,Forest Resources,NA,NA,2
Cornus canadensis,Cornus canadensis,NA,Y,Y,,Y,G5,N5,,32,22,10,4,2,2,Dogwood,Cornus,NA,NA,fruit,Y,Food,Ornamentals,NA,Fruits,Ornamentals,Forest Resources,NA,NA,2
Cornus nuttallii,Cornus nuttallii,NA,Y,Y,,Y,G5,N5,,19,18,1,17,16,1,Dogwood,Cornus,NA,NA,fruit,Y,Food,Ornamentals,NA,Fruits,Ornamentals,Forest Resources,NA,NA,2
Cornus obliqua,Cornus obliqua,NA,Y,Y,,Y,G5,N5,,0,0,0,0,0,0,Dogwood,Cornus,NA,NA,fruit,Y,Food,Ornamentals,NA,Fruits,Ornamentals,Forest Resources,NA,NA,2
Cornus sericea,Cornus sericea,NA,Y,Y,,Y,G5,N5,,250,212,38,102,88,14,Dogwood,Cornus,NA,NA,fruit,Y,Food,Ornamentals,NA,Fruits,Ornamentals,Forest Resources,NA,NA,2
Cornus suecica,Cornus suecica,NA,Y,Y,,Y,G5,N5,,0,0,0,0,0,0,Dogwood,Cornus,NA,NA,fruit,Y,Food,Ornamentals,NA,Fruits,Ornamentals,Forest Resources,NA,NA,2
Cornus unalaschkensis,Cornus unalaschkensis,NA,Y,Y,,Y,G5,N5,,7,5,2,4,4,0,Dogwood,Cornus,NA,NA,berries edible,Y,Food,Ornamentals,NA,Fruits,Ornamentals,Forest Resources,NA,NA,2
Corylus americana,Corylus americana,1,Y,Y,,Y,G5,N5,,93,50,43,32,32,0,Hazelnut,Corylus,NA,NA,hazelnut; nuts,Y,Food,,NA,Nuts,,,NA,Secondary,1B
Corylus californica,Corylus californica,1,Y,Y,,Y,T5,N5,,52,5,47,0,0,0,Hazelnut,Corylus,NA,NA,hazelnut; nuts,Y,Food,,NA,Nuts,,,NA,Secondary,1B
Corylus cornuta,Corylus cornuta,1,Y,Y,,Y,G5,N5,,44,29,15,15,15,0,Hazelnut,Corylus,NA,NA,hazelnut; nuts,Y,Food,,NA,Nuts,,,NA,Tertiary,1C
Crataegus aquacervensis,Crataegus aquacervensis,NA,Y,Y,,Y,G2,N2,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus atrovirens,Crataegus atrovirens,NA,Y,Y,,Y,G3,N3,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus beata,Crataegus beata,NA,Y,Y,,Y,G3,N1,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus brainerdii,Crataegus brainerdii,NA,Y,Y,,Y,G5,N2,,0,0,0,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
Crataegus calpodendron,Crataegus calpodendron,NA,Y,Y,,Y,G5,N4,,2,0,2,0,0,0,Hawthorn,Crataegus,NA,NA,berries edible,Y,Food,Forest Resources,NA,Fruits,Forest Resources,,NA,NA,NA
