"","Accession","Name","Taxonomy","Origin","Repository","Taxon","Genus","Species","Rank","Infraspecific"
"147","CN 103886","Native 'BC Collection: Site 6'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"148","CN 99593","Native 'BC Collection: Site 123'","Fragaria virginiana Mill.","Ontario, Canada","CCG","Fragaria virginiana  ","Fragaria","Fragaria virginiana","",""
"149","CN 99593","Native 'BC Collection: Site 123'","Fragaria virginiana Mill.","Ontario, Canada","CCG","Fragaria virginiana  ","Fragaria","Fragaria virginiana","",""
"150","CN 100529","Native 'BC Collection: Site 135 A'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"151","CN 102234","Native 'BC Collection: Site 164'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"152","CN 102594","Native 'Smithfield, Ontario'","Ribes rubrum L.","Ontario, Canada","CCG","Ribes rubrum  ","Ribes","Ribes rubrum","",""
"153","CN 102597","Native 'Hillier, Ontario: Site 1'","Ribes odoratum H. L. Wendl.","Ontario, Canada","CCG","Ribes odoratum  ","Ribes","Ribes odoratum","",""
"154","CN 102598","Native 'Hillier, Ontario: Site 2'","Ribes odoratum H. L. Wendl.","Ontario, Canada","CCG","Ribes odoratum  ","Ribes","Ribes odoratum","",""
"155","CN 102599","Native 'Hillier, Ontario: Site 3'","Ribes odoratum H. L. Wendl.","Ontario, Canada","CCG","Ribes odoratum  ","Ribes","Ribes odoratum","",""
"156","CN 102600","Native 'Hillier, Ontario: Site 4'","Ribes rubrum L.","Ontario, Canada","CCG","Ribes rubrum  ","Ribes","Ribes rubrum","",""
"157","CN 102601","Native 'Hillier, Ontario: Site 5'","Ribes rubrum L.","Ontario, Canada","CCG","Ribes rubrum  ","Ribes","Ribes rubrum","",""
"158","CN 102497","RUB0102","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"159","CN 102498","RUB0103","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"160","CN 102373","RUB0140","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"161","CN 102374","RUB0141","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"162","CN 102375","RUB0142","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
"163","CN 102376","RUB0143","Rubus idaeus L. var. strigosus (Michx.) Maxim.","British Columbia, Canada","CCG","Rubus idaeus Var. strigosus","Rubus","Rubus idaeus","Var.","strigosus"
