"","Accession","Name","Taxonomy","Origin","Repository","Taxon","Genus","Species","Rank","Infraspecific"
"380","CN 99650","Native 'BC Collection: Site 51'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"381","CN 99651","Native 'BC Collection: Site 51'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"382","CN 99652","Native 'BC Collection: Site 51'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"383","CN 99653","Native 'BC Collection: Site 51'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"384","CN 99654","Native 'BC Collection: Site 51'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"385","CN 99658","Native 'BC Collection: Site 52'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"386","CN 99659","Native 'BC Collection: Site 52'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"387","CN 99660","Native 'BC Collection: Site 52'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"388","CN 99661","Native 'BC Collection: Site 52'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"389","CN 99662","Native 'BC Collection: Site 52'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"390","CN 99663","Native 'BC Collection: Site 52'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"391","CN 99664","Native 'BC Collection: Site 52'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"392","CN 99666","Native 'BC Collection: Site 53'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"393","CN 99668","Native 'BC Collection: Site 53'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"394","CN 99669","Native 'BC Collection: Site 53'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"395","CN 99670","Native 'BC Collection: Site 53'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"396","CN 99671","Native 'BC Collection: Site 53'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"397","CN 99672","Native 'BC Collection: Site 53'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"398","CN 99673","Native 'BC Collection: Site 53'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"399","CN 99682","Native 'BC Collection: Site 54'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"400","CN 99687","Native 'BC Collection: Site 54'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"401","CN 99688","Native 'BC Collection: Site 55'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"402","CN 99690","Native 'BC Collection: Site 55'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"403","CN 99691","Native 'BC Collection: Site 55'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"404","CN 99694","Native 'BC Collection: Site 56'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"405","CN 99695","Native 'BC Collection: Site 56'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"406","CN 99698","Native 'BC Collection: Site 58'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"407","CN 99700","Native 'BC Collection: Site 58'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"408","CN 99701","Native 'BC Collection: Site 58'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"409","CN 99702","Native 'BC Collection: Site 58'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"410","CN 99703","Native 'BC Collection: Site 58'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"411","CN 99704","Native 'BC Collection: Site 58'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"412","CN 99705","Native 'BC Collection: Site 60'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"413","CN 99706","Native 'BC Collection: Site 60'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"414","CN 99707","Native 'BC Collection: Site 60'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"415","CN 99711","Native 'BC Collection: Site 62'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"416","CN 99712","Native 'BC Collection: Site 62'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"417","CN 99713","Native 'BC Collection: Site 62'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"418","CN 99714","Native 'BC Collection: Site 62'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"419","CN 99715","Native 'BC Collection: Site 62'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"420","CN 99716","Native 'BC Collection: Site 66'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"421","CN 99717","Native 'BC Collection: Site 66'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"422","CN 99718","Native 'BC Collection: Site 66'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"423","CN 99719","Native 'BC Collection: Site 66'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"424","CN 99720","Native 'BC Collection: Site 66'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"425","CN 99722","Native 'BC Collection: Site 66'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"426","CN 99723","Native 'BC Collection: Site 66'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"427","CN 99725","Native 'BC Collection: Site 66'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"428","CN 99726","Native 'BC Collection: Site 66'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"429","CN 99727","Native 'BC Collection: Site 66'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"430","CN 99728","Native 'BC Collection: Site 66'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"431","CN 99729","Native 'BC Collection: Site 68'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"432","CN 99730","Native 'BC Collection: Site 68'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"433","CN 99731","Native 'BC Collection: Site 68'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"434","CN 99733","Native 'BC Collection: Site 68'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"435","CN 99734","Native 'BC Collection: Site 68'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"436","CN 99735","Native 'BC Collection: Site 68'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"437","CN 99736","Native 'BC Collection: Site 68'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"438","CN 99737","Native 'BC Collection: Site 68'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"439","CN 99738","Native 'BC Collection: Site 68'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"440","CN 99739","Native 'BC Collection: Site 68'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"441","CN 99740","Native 'BC Collection: Site 68'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"442","CN 99742","Native 'BC Collection: Site 69'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"443","CN 99755","Native 'BC Collection: Site 69'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"444","CN 99582","Native 'BC Collection: Site 70'","Fragaria vesca L.","British Columbia, Canada","CCG","Fragaria vesca  ","Fragaria","Fragaria vesca","",""
"445","CN 99586","Native 'BC Collection: Site 70'","Fragaria vesca L.","British Columbia, Canada","CCG","Fragaria vesca  ","Fragaria","Fragaria vesca","",""
"446","CN 99757","Native 'BC Collection: Site 71'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"447","CN 99758","Native 'BC Collection: Site 71'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"448","CN 99759","Native 'BC Collection: Site 71'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"449","CN 99760","Native 'BC Collection: Site 71'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"450","CN 99761","Native 'BC Collection: Site 71'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"451","CN 99762","Native 'BC Collection: Site 71'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"452","CN 99763","Native 'BC Collection: Site 71'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"453","CN 99764","Native 'BC Collection: Site 71'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"454","CN 99767","Native 'BC Collection: Site 71'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"455","CN 99772","Native 'BC Collection: Site 72'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"456","CN 99775","Native 'BC Collection: Site 72'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"457","CN 99776","Native 'BC Collection: Site 72'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"458","CN 99783","Native 'BC Collection: Site 73'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"459","CN 99784","Native 'BC Collection: Site 73'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"460","CN 99785","Native 'BC Collection: Site 73'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"461","CN 99786","Native 'BC Collection: Site 73'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"462","CN 99787","Native 'BC Collection: Site 73'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"463","CN 99789","Native 'BC Collection: Site 73'","Fragaria chiloensis (L.) Mill. subsp. pacifica Staudt","British Columbia, Canada","CCG","Fragaria chiloensis Subsp. pacifica","Fragaria","Fragaria chiloensis","Subsp.","pacifica"
"464","CN 99791","Native 'BC Collection: Site 74'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"465","CN 99794","Native 'BC Collection: Site 74'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"466","CN 99796","Native 'BC Collection: Site 75'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"467","CN 99797","Native 'BC Collection: Site 75'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"468","CN 99798","Native 'BC Collection: Site 75'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"469","CN 99800","Native 'BC Collection: Site 75'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"470","CN 99801","Native 'BC Collection: Site 75'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"471","CN 99802","Native 'BC Collection: Site 75'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"472","CN 99803","Native 'BC Collection: Site 75'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"473","CN 99804","Native 'BC Collection: Site 75'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"474","CN 99806","Native 'BC Collection: Site 75'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"475","CN 99807","Native 'BC Collection: Site 75'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"476","CN 99808","Native 'BC Collection: Site 75'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"477","CN 99809","Native 'BC Collection: Site 75'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"478","CN 99811","Native 'BC Collection: Site 75'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"479","CN 99813","Native 'BC Collection: Site 75'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"480","CN 99814","Native 'BC Collection: Site 75'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"481","CN 99815","Native 'BC Collection: Site 76'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"482","CN 99816","Native 'BC Collection: Site 76'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
"483","CN 99817","Native 'BC Collection: Site 76'","Fragaria ×ananassa Duchesne ex Rozier subsp. cuneifolia (Nutt. ex Howell) Staudt","British Columbia, Canada","CCG","Fragaria ×ananassa Subsp. cuneifolia","Fragaria","Fragaria ×ananassa","Subsp.","cuneifolia"
