"","TAXON","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","GENUS","SPECIES","RANK","INFRASPECIFIC","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","TIER","GENEPOOL","CATEGORY","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","total_accessions","garden_accessions","genebank_accessions"
"88","Rosa carolina","Rose","Rosa","Rosa carolina",NA,NA,"N","Y","Y","fruit","Y","Ornamentals","Food",NA,"Ornamentals","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",13,2,11
"89","Sambucus caerulea","Elderberry","Sambucus","Sambucus caerulea",NA,NA,"Y","Y","Y","fruit, flowers (as WUS not as CWR, CWR assigned for ornamental value)","Y","Food","Ornamentals",NA,"Fruits","Ornamentals","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",1,1,0
"90","Taxus brevifolia","Yew","Taxus","Taxus brevifolia",NA,NA,"Y","Y","Y","medicinal properties","Y","Forest Resources","Medicinals",NA,"Forest Resources","Medicinals","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Fett-Neto et al. 1992",9,4,5
"91","Sorbus sitchensis var. sitchensis","Rowan","Sorbus","Sorbus sitchensis","var.","sitchensis","Y","Y","Y","fruit","Y","Forest Resources","Food",NA,"Forest Resources","Fruits","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",12,5,7
"92","Salix planifolia","Willow","Salix","Salix planifolia",NA,NA,"Y","Y","Y","leaves","Y","Medicinals","Forest Resources",NA,"Medicinals","Forest Resources","",NA,2,NA,"2","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020",4,4,0
"93","Bromus kalmii","Bromegrass","Bromus","Bromus kalmii",NA,NA,"Y","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",6,1,5
"94","Calamagrostis canadensis","Bluejoint","Calamagrostis","Calamagrostis canadensis",NA,NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","GRIN-Global 2021","","",41,1,40
"95","Festuca altaica","Fescue","Festuca","Festuca altaica",NA,NA,"Y","Y","N","","Y","Food","Ornamentals",NA,"Forage and Feed","Ornamentals","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",22,1,21
"96","Poa alpina","Bluegrass","Poa","Poa alpina",NA,NA,"N","Y","N","","Y","Food","",NA,"Forage and Feed","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","",112,2,110
"97","Quercus garryana var. garryana","Oak","Quercus","Quercus garryana","var.","garryana","Y","Y","Y","acorns","Y","Forest Resources","",NA,"Forest Resources","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020",66,66,0
