TAXON_INFRA,TAXON,SPECIES,TIER,CWR,WUS,INFRASPECIFIC_COLLECTIONS_ASSIGNED,FINEST_TAXON_RESOLUTION,ROUNDED_G_RANK,ROUNDED_N_RANK,COSEWIC_DESC,total_accessions_sp,garden_accessions_sp,genebank_accessions_sp,Canada_PGR_accessions_sp,NPGS_accessions_sp,total_accessions_w_finest_taxon_res,garden_accessions_w_finest_taxon_res,genebank_accessions_w_finest_taxon_res,Canada_PGR_accessions_w_finest_taxon_res,NPGS_accessions_w_finest_taxon_res,SOURCE_OF_TAXON,WUS_SOURCE,PRIMARY_ASSOCIATED_CROP_COMMON_NAME,SECONDARY_ASSOCIATED_CROP_COMMON_NAME,GENUS,RANK,INFRASPECIFIC,scientificName,UNABLE_TO_ASSIGN_GEO_DISTR,GENETIC_RELATIONSHIP_NOTES,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,GENEPOOL,CATEGORY,GRAFTSTOCK,ABIOTIC_TRAIT_2,ABIOTIC_TRAIT_3,BIOTIC_TRAIT_1,BIOTIC_TRAIT_2,FERTILITY_TRAIT,AGRONOMIC_TRAIT_1,AGRONOMIC_TRAIT_2,AGRONOMIC_TRAIT_3,PHENOLOGICAL_TRAIT,CURRENT_US_DISTRIBUTION,CURRENT_CA_DISTRIBUTION
Rosa arkansana var. arkansana,Rosa arkansana,Rosa arkansana,2,Y,Y,Y,N,G5,N5,,2,2,5,0,5,1,1,1,0,1,Kuhnlein and Turner 2020,Kuhnlein and Turner 2020,Rose,,Rosa,NA,NA,Rosa arkansana Port. & Coult.,,,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA,2,,,,,,,,,,,"AR(SNR), CO(SNR), GS(PH), IA(S5), IL(SNR), IN(SNR), KS(SNR), MA(SNR), MI(SNR), MN(SNR), MO(SNR), MT(S5), ND(SNR), NE(SNR), NM(SNR), NY(SNR), OH(SX), OK(SNR), SD(SNR), TX(SNR), WI(SNR), WY(S3S4)","AB(S5), BC(S3?), MB(S4), ON(S1), ON(S1), SK(S5)"
Rosa arkansana var. arkansana,Rosa arkansana var. arkansana,Rosa arkansana,2,Y,Y,Y,Y,T4,NNR,,2,2,5,0,5,1,1,1,0,1,Kuhnlein and Turner 2020,Kuhnlein and Turner 2020,Rose,,Rosa,NA,NA,Rosa arkansana var. arkansana,,,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA,2,,,,,,,,,,,"CO(SNR), IL(SNR), KS(SNR), MN(SNR), ND(SNR), NE(SNR), NM(SNR), SD(SNR), TX(SNR), WI(SNR), WY(SNR)","AB(SNR), BC(SNR), MB(SNR), SK(SNR)"
Rosa blanda,Rosa blanda,Rosa blanda,2,Y,Y,,Y,G5,N5,,16,16,4,0,4,10,10,1,0,1,Kuhnlein and Turner 2020,Kuhnlein and Turner 2020,Rose,,Rosa,NA,NA,Rosa blanda Aiton,,,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA,2,,,,,,,,,,,"CT(SNR), DC(SNR), IA(S5), IL(SNR), IN(SNR), KS(S1), MA(S2S3), MD(S1), ME(S4), MI(SNR), MN(SNR), MO(S1), MS(SNR), ND(SNR), NE(SNR), NH(SNR), NJ(SNR), NY(SNR), OH(S2), PA(SU), SD(SNR), VA(SU), VT(S5), WI(SNR), WV(S2)","MB(S4S5), NB(S5), NS(S1), NT(SNR), ON(S5), QC(S5), SK(S1S2)"
Rosa carolina,Rosa carolina,Rosa carolina,2,Y,Y,,Y,G5,N5,,2,2,11,0,11,0,0,1,0,1,Kuhnlein and Turner 2020,Kuhnlein and Turner 2020,Rose,,Rosa,NA,NA,Rosa carolina L.,,,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA,2,,,,,,,,,,,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(S3), FL(SNR), GA(SNR), GS(P2), IA(S4), IL(SNR), IN(SNR), KS(SNR), KY(SNR), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S4), NE(SNR), NH(SNR), NJ(SNR), NY(S5), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5)","NB(S4S5), NS(S4S5), ON(S4), PE(S2S3), QC(SNR)"
Rosa gymnocarpa var. gymnocarpa,Rosa gymnocarpa,Rosa gymnocarpa,2,Y,Y,Y,N,G5,N5,,7,7,4,0,4,4,4,0,0,0,Kuhnlein and Turner 2020,Kuhnlein and Turner 2020,Rose,,Rosa,NA,NA,Rosa gymnocarpa Nutt. ex Torr. & A.Gray,,,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA,2,,,,,,,,,,,"CA(SNR), ID(SNR), MT(S4S5), OR(SNR), WA(SNR)",BC(S5)
Rosa gymnocarpa var. gymnocarpa,Rosa gymnocarpa var. gymnocarpa,Rosa gymnocarpa,2,Y,Y,Y,Y,T5,N5,,7,7,4,0,4,4,4,0,0,0,Kuhnlein and Turner 2020,Kuhnlein and Turner 2020,Rose,,Rosa,var.,gymnocarpa,Rosa gymnocarpa var. gymnocarpa,,,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA,2,,,,,,,,,,,"CA(SNR), ID(SNR), MT(SNR), OR(SNR), WA(SNR)",BC(S5)
Rosa nitida,Rosa nitida,Rosa nitida,2,Y,Y,,Y,G5,N5,,3,3,0,0,0,0,0,0,0,0,Kuhnlein and Turner 2020,Kuhnlein and Turner 2020,Rose,,Rosa,NA,NA,Rosa nitida Willd.,,,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA,2,,,,,,,,,,,"CT(SH), MA(SNR), ME(SNR), NH(SNR), RI(SNR), VT(S2)","NB(S5), NF(S4S5), NS(S4S5), ON(SH), PE(S4), QC(S4)"
Rosa nutkana,Rosa nutkana,Rosa nutkana,2,Y,Y,N,N,G5,N5,,21,21,8,0,8,9,9,0,0,0,Kuhnlein and Turner 2020,Kuhnlein and Turner 2020,Rose,,Rosa,NA,NA,Rosa nutkana C.Presl,,,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA,2,,,,,,,,,,,"AK(SNR), CA(SNR), ID(SNR), MT(SNR), NM(SNR), NV(SNR), OR(SNR), UT(SNR), WA(SNR), WY(S2)",BC(S5)
Rosa nutkana,Rosa nutkana subsp. macdougalii,Rosa nutkana,2,Y,Y,N,Y,T5,N5,,21,21,8,0,8,NA,NA,NA,NA,NA,Kuhnlein and Turner 2020,Kuhnlein and Turner 2020,Rose,,Rosa,subsp.,macdougalii,Rosa nutkana subsp. macdougalii (Holz.) Piper,,,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA,2,,,,,,,,,,,"ID(SNR), MT(SNR), NV(SNR), OR(SNR), UT(SNR), WA(SNR), WY(S2)",BC(S5)
Rosa nutkana subsp. nutkana,Rosa nutkana subsp. nutkana,Rosa nutkana,2,Y,Y,N,Y,T5,N5,,21,21,8,0,8,NA,NA,NA,NA,NA,Kuhnlein and Turner 2020,Kuhnlein and Turner 2020,Rose,,Rosa,subsp.,nutkana,Rosa nutkana subsp. nutkana,,,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA,2,,,,,,,,,,,"AK(SNR), CA(SNR), OR(SNR), WA(SNR)",BC(S5)
Rosa palustris,Rosa palustris,Rosa palustris,2,Y,Y,,Y,G5,N5,,14,14,22,0,22,5,5,0,0,0,Kuhnlein and Turner 2020,Kuhnlein and Turner 2020,Rose,,Rosa,NA,NA,Rosa palustris Marshall,,,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA,2,,,,,,,,,,,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(S5), FL(SNR), GA(SNR), GS(P2), IA(SNA), IL(SNR), IN(SNR), KY(S5), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MO(SNR), MS(SNR), NC(SNR), NH(SNR), NJ(S5), NY(S5), OH(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5)","NB(SNR), NS(SNR), ON(SNR), QC(SNR)"
Rosa pisocarpa,Rosa pisocarpa,Rosa pisocarpa,2,Y,Y,,Y,G5,N4,,8,8,4,0,4,4,4,1,0,1,Kuhnlein and Turner 2020,Kuhnlein and Turner 2020,Rose,,Rosa,NA,NA,Rosa pisocarpa A.Gray,,,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA,2,,,,,,,,,,,"CA(SNR), ID(SNR), OR(SNR), WA(SNR)",BC(S4S5)
Rosa setigera,Rosa setigera,Rosa setigera,2,Y,Y,,Y,G5,N2,SC - Special Concern (SC) / PrÈoccupante (P),25,25,8,0,8,22,22,0,0,0,Kuhnlein and Turner 2020,Kuhnlein and Turner 2020,Rose,,Rosa,NA,NA,Rosa setigera Michx.,,,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA,2,,,,,,,,,,,"AL(SNR), AR(SNR), CT(SNR), DC(SX), DE(SNA), FL(SNR), GA(S3?), GS(P1), IA(S3), IL(SNR), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNA), MI(S2S3), MO(SNR), NC(SNA), NE(SNR), NH(SNR), NJ(SNR), NY(SNR), OH(SNR), OK(SNR), PA(S1), PA(S1), SC(SNR), TN(SNR), TV(SNR), TX(SNR), VA(S1), WI(SNR), WV(S3)",ON(S2S3)
Rosa virginiana subsp. virginiana,Rosa virginiana,Rosa virginiana,2,Y,Y,Y,N,G5,N5,,6,6,3,0,3,1,1,0,0,0,Kuhnlein and Turner 2020,Kuhnlein and Turner 2020,Rose,,Rosa,NA,NA,Rosa virginiana Herrm.,,,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA,2,,,,,,,,,,,"AL(SNR), CT(SNR), DC(SNR), DE(SU), GA(SNR), IA(SNR), IL(SNR), KY(SNR), MA(SNR), MD(S4), ME(SNR), MI(SNR), NC(SH), NH(SNR), NJ(SNR), NY(S4), PA(S1), RI(SNR), TN(SH), TV(SNR), VA(SH), VT(SNR), WV(SH)","NB(S5), NF(S4S5), NS(S5), ON(SU), PE(S5), QC(SNR)"
Rosa virginiana subsp. virginiana,Rosa virginiana subsp. virginiana,Rosa virginiana,2,Y,Y,Y,Y,T5,NNR,,6,6,3,0,3,1,1,0,0,0,Kuhnlein and Turner 2020,Kuhnlein and Turner 2020,Rose,,Rosa,var.,virginiana,Rosa virginiana subsp. virginiana,,,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA,2,,,,,,,,,,,"AL(SNR), CT(SNR), DE(SNR), GA(SNR), IL(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MO(SNR), NC(SNR), NH(SNR), NJ(S5), NY(SNR), PA(SNR), RI(SNR), TN(SNR), VA(SH), VT(SNR), WV(SH)","NB(S5), NS(S5), ON(SU), PE(S5), QC(S4)"
Rosa woodsii,Rosa woodsii,Rosa woodsii,2,Y,Y,N,N,G5,N5,,8,7,114,1,113,1,0,1,1,0,Kuhnlein and Turner 2020,Kuhnlein and Turner 2020,Rose,,Rosa,NA,NA,Rosa woodsii Lindl.,,,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA,2,,,,,,,,,,,"AK(S2S3), AZ(S3), CA(SNR), CO(SNR), IA(S3), ID(SNR), KS(SNR), MN(SNR), MT(S5), ND(S4), NE(SNR), NM(S5), NV(SNR), OK(SNR), OR(SNR), SD(SNR), TX(S2), UT(SNR), WA(SNR), WI(SNR), WY(SNR)","AB(S5), BC(SNR), MB(SNR), NT(SNR), SK(SNR), YT(SNR)"
Rosa woodsii subsp. ultramontana,Rosa woodsii subsp. ultramontana,Rosa woodsii,2,Y,Y,N,Y,T5,N5,,8,7,114,1,113,NA,NA,NA,NA,NA,Kuhnlein and Turner 2020,Kuhnlein and Turner 2020,Rose,,Rosa,subsp.,ultramontana,Rosa woodsii subsp. ultramontana (S.Watson) Taylor & Mac Bryde,,,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA,2,,,,,,,,,,,"CA(SNR), CO(SNR), ID(SNR), MT(SNR), NM(SNR), NV(SNR), OR(SNR), UT(SNR), WA(SNR), WY(SNR)",BC(S5)
Rosa woodsii subsp. woodsii,Rosa woodsii subsp. woodsii,Rosa woodsii,2,Y,Y,N,Y,T5,N5,,8,7,114,1,113,NA,NA,NA,NA,NA,Kuhnlein and Turner 2020,Kuhnlein and Turner 2020,Rose,,Rosa,subsp.,woodsii,Rosa woodsii subsp. woodsii,,,fruit,Y,Ornamentals,Food,NA,Ornamentals,Fruits,,NA,NA,2,,,,,,,,,,,"AK(S1S2), AZ(SNR), IA(SNR), KS(S1), MN(SNR), MT(SNR), ND(SNR), NE(SNR), NM(S5), OK(S1), SD(SNR), TX(SNR), WI(SNR), WY(SNR)","AB(S5), BC(S3S4), MB(S4), NT(SNR), QC(SNA), SK(S5), YT(S3S4)"
Rubus allegheniensis,Rubus allegheniensis,Rubus allegheniensis,1,Y,Y,,Y,G5,N5,,4,4,39,0,39,3,3,0,0,0,GRIN-Global 2021,Kuhnlein and Turner 2020,"Blackberry, Raspberry",,Rubus,NA,NA,Rubus allegheniensis Porter,,,fruit,Y,Food,,NA,Fruits,,,NA,Primary,1A,,,,,,,Crop Quality (AG),Growth Habit (AG),,,"AL(S1), AR(SNR), CA(SNR), CT(SNR), DC(SNR), DE(SU), GA(SNR), GS(P4), IA(S5), IL(SNR), IN(SNR), KS(S2), KY(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), NC(S5), NE(S3S5), NH(SNR), NJ(SNR), NY(S5), OH(SNR), OK(S3), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TV(SNR), VA(SNR), VT(SNR), WI(SNR), WV(S5)","BC(SNA), NB(SNR), NS(SNR), ON(SNR), PE(SNR), QC(S4S5)"
Rubus arcticus subsp. acaulis,Rubus arcticus,Rubus arcticus,1,Y,Y,Y,N,G5,N5,,11,11,17,0,17,3,3,0,0,0,GRIN-Global 2021,Kuhnlein and Turner 2020,"Blackberry, Raspberry",,Rubus,NA,NA,Rubus arcticus L.,,,Nagoonberry; fruit,Y,Food,,NA,Fruits,,,NA,Tertiary,1C,,,,,,,High Yield (AG),,,,"AK(S5), CO(SNR), ME(SNR), MI(SNR), MN(SNR), MT(S2), OR(SNR), WA(SNR), WI(SNR), WY(S2)","AB(S5), BC(S5), LB(S5), MB(S5), NF(S3S4), NT(SNR), NU(SU), ON(S5), QC(SNR), SK(S4), YT(S5)"
Rubus arcticus subsp. acaulis,Rubus arcticus subsp. acaulis,Rubus arcticus,1,Y,Y,Y,Y,T5,N5,,11,11,17,0,17,3,3,0,0,0,Davidson 1995,Kuhnlein and Turner 2020,"Blackberry, Raspberry",,Rubus,subsp.,acaulis,Rubus arcticus subsp. acaulis (Michx.) Focke,,,Nagoonberry,Y,Food,,NA,Fruits,,,NA,Assume distant,1C,,,,,,,,,,,"AK(SNR), CO(S1), ME(SNR), MI(S1), MN(SNR), MT(SNR), WA(S1), WI(SNR), WY(S2)","AB(S5), BC(S4), LB(S5), MB(S5), NF(S3S4), NT(SNR), NU(SU), ON(S5), QC(S4), SK(S4), YT(S5)"
Rubus arcticus subsp. arcticus,Rubus arcticus subsp. arcticus,Rubus arcticus,1,Y,Y,Y,Y,NA,NA,,11,11,17,0,17,0,0,0,0,0,Davidson 1995,Kuhnlein and Turner 2020,"Blackberry, Raspberry",,Rubus,subsp.,arcticus,Rubus arcticus subsp. arcticus,,,Nagoonberry,Y,Food,,NA,Fruits,,,NA,Assume distant,1C,,,,,,,,,,,NA,NA
Rubus arcticus subsp. stellatus,Rubus arcticus subsp. stellatus,Rubus arcticus,1,Y,Y,Y,Y,T4,N4,,11,11,17,0,17,0,0,0,0,0,Davidson 1995,Kuhnlein and Turner 2020,"Blackberry, Raspberry",,Rubus,subsp.,stellatus,Rubus arcticus subsp. stellatus (Sm.) Boivin,,,Nagoonberry,Y,Food,,NA,Fruits,,,NA,Assume distant,1C,,,,,,,,,,,AK(S4),"BC(S4), NT(SNR), YT(S2S3)"
Rubus canadensis,Rubus canadensis,Rubus canadensis,1,Y,Y,,Y,G5,N5,,7,6,23,1,22,7,6,3,1,2,GRIN-Global 2021,Kuhnlein and Turner 2020,"Blackberry, Raspberry",,Rubus,NA,NA,Rubus canadensis L.,,,fruit,Y,Food,,NA,Fruits,,,NA,Primary,1A,,,,,,,Crop Quality (AG),,,,"CT(SNR), GA(SNR), GS(P4P5), KY(S1?), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), NC(S3?), NH(SNR), NJ(S1), NY(S3?), OH(SNR), PA(SNR), SC(SNR), TN(SNR), VA(S4), VT(SNR), WI(SNR), WV(SH)","NB(SNR), NF(SNR), NS(SNR), ON(SNR), PE(SNR), QC(SNR)"
Rubus chamaemorus,Rubus chamaemorus,Rubus chamaemorus,1,Y,Y,,Y,G5,N5,,2,2,29,0,29,2,2,2,0,2,GRIN-Global 2021,Kuhnlein and Turner 2020,"Blackberry, Raspberry",,Rubus,NA,NA,Rubus chamaemorus L.,,,fruit,Y,Food,,NA,Fruits,,,NA,Tertiary,1C,,,,,,,,,,,"AK(SNR), ME(S3S4), MN(S2), NH(S2), NJ(SNR), NY(SX)","AB(S5), BC(S5), LB(S5), MB(S5), NB(S3S4), NF(S5), NS(S4), NT(SNR), NU(SU), ON(S5), PE(S2), QC(S5), SK(S5), YT(S5)"
Rubus flagellaris,Rubus flagellaris,Rubus flagellaris,1,Y,Y,,Y,G5,NNR,,1,1,13,0,13,1,1,0,0,0,GRIN-Global 2021,Kuhnlein and Turner 2020,"Blackberry, Raspberry",,Rubus,NA,NA,Rubus flagellaris Willd.,,,Northern dewberry,Y,Food,,NA,Fruits,,,NA,Secondary,1B,,,,,,,,,,,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(SU), FL(SNR), GA(SNR), GS(P3?), IA(SNR), IL(SNR), IN(SNR), KS(SNR), KY(S5), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), NE(S1), NH(SNR), NJ(SNR), NY(S5), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(SNR), VT(SNR), WI(SNR), WV(S5)","NF(SU), NS(SNR), ON(SNR), QC(S3)"
Rubus idaeus subsp. strigosus,Rubus idaeus,Rubus idaeus,1,Y,Y,Y,N,G5,N5,,112,38,621,74,547,11,11,35,0,35,GRIN-Global 2021,Kuhnlein and Turner 2020,"Blackberry, Raspberry",,Rubus,NA,NA,Rubus idaeus L.,,,"fruit, shoots, leaves for tea",Y,Food,,NA,Fruits,,,NA,Primary,1A,,,,,,,,,,,"AK(SNR), AR(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DE(SNR), GS(PNR), IA(SNR), ID(SNR), IL(SNR), IN(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MT(S5), NC(S2?), ND(SNR), NE(SNR), NH(SNR), NJ(SNR), NM(SNR), NV(SNR), NY(SNR), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNR), SD(SNR), TN(SNR), TV(SNR), UT(SNR), VA(S2), VT(SNR), WA(SNR), WI(SNR), WV(S4), WY(SNR)","AB(S5), BC(SNR), LB(SNR), MB(SNR), NB(SNR), NF(SNR), NS(SNR), NT(SNR), NU(SNR), ON(SNR), ON(SNR), PE(SNR), QC(SNR), SK(SNR), YT(SNR)"
Rubus idaeus subsp. idaeus,Rubus idaeus subsp. idaeus,Rubus idaeus,1,Y,Y,Y,Y,T5,NNA,,112,38,621,74,547,35,0,35,35,0,GRIN-Global 2021,Kuhnlein and Turner 2020,"Blackberry, Raspberry",,Rubus,subsp.,idaeus,Rubus idaeus L. subsp. idaeus,,,"fruit, shoots, leaves for tea",N,Food,,NA,Fruits,,,NA,Primary,1A,,,,,,,,,,,"AK(SNR), AR(SNR), CT(SNR), IA(SNA), ID(SNR), IL(SNA), IN(SNA), MA(SNR), ME(SNR), MI(SNR), MN(SNR), MT(SNR), NC(SNA), ND(SNR), NY(SNA), OH(SNR), RI(SNA), SD(SNR), TN(SNR), UT(SNR), VA(SNA), VT(SNR), WA(SNR), WY(SNA)","NB(SNA), NS(SNA), ON(SNA), PE(SNA), QC(SNA)"
Rubus idaeus subsp. strigosus,Rubus idaeus subsp. strigosus,Rubus idaeus,1,Y,Y,Y,Y,T5,N5,,112,38,621,74,547,11,11,0,0,0,GRIN-Global 2021,Kuhnlein and Turner 2020,"Blackberry, Raspberry",,Rubus,subsp.,strigosus,Rubus idaeus subsp. strigosus (Michx.) Focke,,,"fruit, shoots, leaves for tea",Y,Food,,NA,Fruits,,,NA,Primary,1A,,,,,,,,,,,"AK(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DE(SNA), GS(P1), IA(S4), ID(SNR), IL(SNR), IN(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MT(SNR), NC(S2?), ND(SNR), NE(S1), NH(SNR), NJ(S4), NM(SNR), NV(SNR), NY(S5), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNR), SD(SNR), TN(SNR), TV(SNR), UT(SNR), VA(S2), VT(SNR), WA(SNR), WI(SNR), WV(S4), WY(S1?)","AB(S5), BC(SNR), LB(SNR), MB(SNR), NB(SNR), NF(SNR), NS(SNR), NT(SNR), NU(SNR), ON(SNR), PE(SNR), QC(S4S5), SK(SNR), YT(SNR)"
Rubus lasiococcus,Rubus lasiococcus,Rubus lasiococcus,1,Y,Y,,Y,G5,N3,,0,0,10,0,10,0,0,0,0,0,Davidson 1995,Kuhnlein and Turner 2020,"Blackberry, Raspberry",,Rubus,NA,NA,Rubus lasiococcus A.Gray,,,fruit,Y,Food,,NA,Fruits,,,NA,Assume distant,1C,,,,,,,,,,,"CA(SNR), OR(SNR), WA(SNR)",BC(S3)
Rubus leucodermis,Rubus leucodermis,Rubus leucodermis,1,Y,Y,,Y,G5,N5,,1,1,57,0,57,0,0,3,0,3,GRIN-Global 2021,Kuhnlein and Turner 2020,"Blackberry, Raspberry",,Rubus,NA,NA,Rubus leucodermis Douglas ex Hook.,,,"fruit, shoots",Y,Food,,NA,Fruits,,,NA,Primary,1A,,,,,,,,,,,"AK(SNR), AZ(S3), CA(SNR), ID(SNR), MT(SNR), NM(SNR), NV(SNR), OR(SNR), UT(SNR), WA(SNR)",BC(SNR)
Rubus nivalis,Rubus nivalis,Rubus nivalis,1,Y,Y,,Y,G4,N3,,0,0,2,0,2,0,0,0,0,0,Davidson 1995,Kuhnlein and Turner 2020,"Blackberry, Raspberry",,Rubus,NA,NA,Rubus nivalis Douglas ex Hook.,,,fruit,Y,Food,,NA,Fruits,,,NA,Assume distant,1C,,,,,,,,,,,"CA(S1), ID(SNR), OR(SNR), WA(SNR)",BC(S3S4)
Rubus nutkanus,Rubus nutkanus,Rubus nutkanus,1,Y,Y,,Y,G5,N5,,0,0,45,0,45,0,0,2,0,2,GRIN-Global 2021,Kuhnlein and Turner 2020,"Blackberry, Raspberry",,Rubus,NA,NA,Rubus nutkanus Moc. ex Ser.,,,fruit,Y,Food,,NA,Fruits,,,NA,Secondary,1B,,,,,,,,,,,"AK(SNR), AZ(SNR), CA(SNR), CO(SNR), IA(SNR), ID(SNR), IL(SNR), MA(SNR), MI(SNR), MN(SNR), MT(S5), NM(SNR), NV(SNR), OR(SNR), SD(SNR), UT(SNR), WA(SNR), WI(SNR), WY(S3)","AB(S5), BC(S5), ON(S4), SK(S1)"
Rubus occidentalis,Rubus occidentalis,Rubus occidentalis,1,Y,Y,,Y,G5,N5,,4,3,238,1,237,2,2,2,0,2,GRIN-Global 2021,Kuhnlein and Turner 2020,"Blackberry, Raspberry",,Rubus,NA,NA,Rubus occidentalis L.,,,"fruit, greens, shoots]",Y,Food,,NA,Fruits,,,NA,Primary,1A,,,,,,,,,,,"AL(SNR), AR(SNR), CO(SNA), CT(SNR), DC(SNR), DE(SU), GA(S4), GS(P3), IA(S5), IL(SNR), IN(SNR), KS(SNR), KY(S5), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S4), ND(SNR), NE(SNR), NH(SNR), NJ(S5), NM(SNR), NY(S5), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), SD(SNR), TN(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5)","NB(S3), ON(S5), QC(S3S4)"
Rubus odoratus,Rubus odoratus,Rubus odoratus,1,Y,Y,,Y,G5,N5,,22,22,15,0,15,7,7,0,0,0,GRIN-Global 2021,Kuhnlein and Turner 2020,"Blackberry, Raspberry",,Rubus,NA,NA,Rubus odoratus L.,,,fruit,Y,Food,,NA,Fruits,,,NA,Secondary,1B,,,,Disease Resistance (B),,,High Yield (AG),,,,"AL(SNR), CT(SNR), DE(S1), GA(SNR), GS(P3P4), IA(SNA), IL(S1), IN(S2), KY(S4?), MA(SNR), MD(SNR), ME(SNR), MI(SNR), NC(S4), NH(SNR), NJ(SNR), NY(S5), OH(SNR), PA(SNR), RI(SNR), TN(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5)","NB(SNA), NS(SU), ON(S5), QC(S4S5)"
Rubus paracaulis,Rubus paracaulis,Rubus paracaulis,1,Y,Y,,Y,GNA,NNA,,0,0,0,0,0,0,0,0,0,0,Davidson 1995,Kuhnlein and Turner 2020,"Blackberry, Raspberry",,Rubus,NA,NA,Rubus ◊paracaulis L.H. Bailey,,,fruit,Y,Food,,NA,Fruits,,,NA,Assume distant,1C,,,,,,,,,,,MI(SNA),"AB(S1), LB(SNA), MB(SNA), NF(SNA), NT(SNA), ON(SNA), QC(SNA), SK(SNA)"
Rubus pedatus,Rubus pedatus,Rubus pedatus,1,Y,Y,,Y,G5,N5,,7,7,16,0,16,4,4,0,0,0,Davidson 1995,Kuhnlein and Turner 2020,"Blackberry, Raspberry",,Rubus,NA,NA,Rubus pedatus Sm.,,,fruit,Y,Food,,NA,Fruits,,,NA,Assume distant,1C,,,,,,,,,,,"AK(SNR), ID(SNR), MT(SNR), OR(SNR), WA(SNR)","AB(S5), BC(S5), YT(S1)"
Rubus pensilvanicus,Rubus pensilvanicus,Rubus pensilvanicus,1,Y,Y,,Y,G5,NNR,,0,0,4,0,4,0,0,0,0,0,Davidson 1995,Kuhnlein and Turner 2020,"Blackberry, Raspberry",,Rubus,NA,NA,Rubus pensilvanicus Poir.,,,fruit,Y,Food,,NA,Fruits,,,NA,Assume distant,1C,,,,,,,,,,,"CT(SNR), DC(SNR), IL(SNR), IN(SNR), KY(SNR), MA(SNR), MD(SNR), MI(SNR), MO(S5), NC(SNR), NE(S5), NH(SNR), NJ(S5), NY(S5), OH(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5)","NF(SNR), ON(SNR), PE(SNR), QC(SNR)"
