"","TAXON","Verified","Pasted_NPGS","Pasted.PGRC","PRIMARY_ASSOCIATED_CROP_COMMON_NAME","FINEST_TAXON_RESOLUTION","CWR","WUS","WUS_NOTES","NATIVE","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1","PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2","SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2","PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3","SECONDARY_CROP_OR_WUS_USE_1","TIER","GENEPOOL","CATEGORY","GRAFTSTOCK","ABIOTIC_TRAIT_2","ABIOTIC_TRAIT_3","BIOTIC_TRAIT_1","BIOTIC_TRAIT_2","FERTILITY_TRAIT","AGRONOMIC_TRAIT_1","AGRONOMIC_TRAIT_2","AGRONOMIC_TRAIT_3","PHENOLOGICAL_TRAIT","SOURCE_OF_TAXON","GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE","WUS_SOURCE","GENUS","SPECIES","RANK","INFRASPECIFC"
"392","Leymus innovatus","y","y",NA,"Wheat","N","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Leymus","Leymus innovatus",NA,NA
"393","Leymus innovatus subsp. innovatus","y","y",NA,"Wheat","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Leymus","Leymus innovatus","subsp.","innovatus"
"394","Leymus innovatus subsp. velutinus","y","y",NA,"Wheat","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Leymus","Leymus innovatus","subsp.","velutinus"
"395","Leymus mollis","y","y",NA,"Barley","N","Y","Y","wild rye grass; grains","Y","Food","","Food","Cereals and pseudocereals","","","Cereals and pseudocereals",1,"Tertiary","1C","","Heat Tolerance (AB)","Salt Tolerance (AB)","Disease Resistance (B)","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Leymus","Leymus mollis",NA,NA
"396","Leymus mollis subsp. mollis","y","y",NA,"Barley","Y","Y","Y","wild rye grass; grains","Y","Food","","Food","Cereals and pseudocereals","","","Cereals and pseudocereals",1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Leymus","Leymus mollis","subsp.","mollis"
"397","Leymus mollis subsp. villosissimus","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Leymus","Leymus mollis","subsp.","villosissimus"
"398","Leymus triticoides","y","y",NA,"Wheat","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Leymus","Leymus triticoides",NA,NA
"399","Lilium columbianum","y","y",NA,"Lily","Y","N","Y","","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Lilium","Lilium columbianum",NA,NA
"400","Linum lewisii","y","y",NA,"Flax","N","Y","N","","Y","Food","Materials",NA,"Oils","Materials","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Linum","Linum lewisii",NA,NA
"401","Linum lewisii var. lepagei","y","y",NA,"Flax","Y","Y","N","","Y","Food","Materials",NA,"Oils","Materials","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Linum","Linum lewisii","var.","lepagei"
"402","Linum lewisii var. lewisii","y","y",NA,"Flax","Y","Y","N","","Y","Food","Materials",NA,"Oils","Materials","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Linum","Linum lewisii","var.","lewisii"
"403","Linum medium","y","y",NA,"Flax","N","Y","N","","Y","Food","Materials",NA,"Oils","Materials","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Linum","Linum medium",NA,NA
"404","Linum medium var. medium","y","y",NA,"Flax","Y","Y","N","","Y","Food","Materials",NA,"Oils","Materials","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Linum","Linum medium","var.","medium"
"405","Linum medium var. texanum","y","y",NA,"Flax","Y","Y","N","","Y","Food","Materials",NA,"Oils","Materials","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Linum","Linum medium","var.","texanum"
"406","Linum perenne","y","y",NA,"Flax","Y","Y","Y","seeds","N","Food","Materials",NA,"Oils","Materials","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Linum","Linum perenne",NA,NA
"407","Linum rigidum","y","y",NA,"Flax","Y","Y","N","","Y","Food","Materials",NA,"Oils","Materials","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Linum","Linum rigidum",NA,NA
"408","Linum sulcatum","y","y",NA,"Flax","Y","Y","N","","Y","Food","Materials",NA,"Oils","Materials","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Linum","Linum sulcatum",NA,NA
"409","Linum virginianum","y","y",NA,"Flax","Y","Y","N","","Y","Food","Materials",NA,"Oils","Materials","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Linum","Linum virginianum",NA,NA
"410","Linum compactum","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Linum","Linum compactum",NA,NA
"411","Linum striatum","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Linum","Linum striatum",NA,NA
"412","Linum usitatissimum","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Linum","Linum usitatissimum",NA,NA
"413","Lomatium ambiguum","y","y",NA,"Biscuitroot","Y","N","Y","roots","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Lomatium","Lomatium ambiguum",NA,NA
"414","Lomatium cous","y","y",NA,"Biscuitroot","Y","N","Y","roots","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Lomatium","Lomatium cous",NA,NA
"415","Lomatium dissectum","y","y",NA,"Biscuitroot","Y","N","Y","roots","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Lomatium","Lomatium dissectum",NA,NA
"416","Lomatium foeniculaceum","y","y",NA,"Biscuitroot","N","N","Y","roots","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Lomatium","Lomatium foeniculaceum",NA,NA
"417","Lomatium foeniculaceum subsp. foeniculaceum","y","y",NA,"Biscuitroot","Y","N","Y","roots","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Lomatium","Lomatium foeniculaceum","subsp.","foeniculaceum"
"418","Lomatium geyeri","y","y",NA,"Biscuitroot","Y","N","Y","roots","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Lomatium","Lomatium geyeri",NA,NA
"419","Lomatium macrocarpum","y","y",NA,"Biscuitroot","Y","N","Y","roots","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Lomatium","Lomatium macrocarpum",NA,NA
"420","Lomatium nudicaule","y","y",NA,"Biscuitroot","Y","N","Y","roots","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Lomatium","Lomatium nudicaule",NA,NA
"421","Lomatium triternatum","y","y",NA,"Biscuitroot","Y","N","Y","roots","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Lomatium","Lomatium triternatum",NA,NA
"422","Lomatium utriculatum","y","y",NA,"Biscuitroot","Y","N","Y","roots","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Lomatium","Lomatium utriculatum",NA,NA
"423","Lonicera ciliosa","y","y",NA,"Honeysuckle","Y","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Lonicera","Lonicera ciliosa",NA,NA
"424","Lonicera involucrata","y","y",NA,"Honeysuckle","N","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Lonicera","Lonicera involucrata",NA,NA
"425","Lonicera involucrata var. involucrata","y","y",NA,"Honeysuckle","Y","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Lonicera","Lonicera involucrata","var.","involucrata"
"426","Lonicera utahensis","y","y",NA,"Honeysuckle","Y","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Lonicera","Lonicera utahensis",NA,NA
"427","Lupinus littoralis","y","y",NA,"Lupin","Y","Y","Y","","Y","Food","",NA,"Pulses","","",NA,1,"Assume distant","1C","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Lupinus","Lupinus littoralis",NA,NA
"428","Lupinus nootkatensis","y","y",NA,"Lupin","N","Y","Y","","Y","Food","",NA,"Pulses","","",NA,1,"Assume distant","1C","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Lupinus","Lupinus nootkatensis",NA,NA
"429","Lupinus nootkatensis var. nootkatensis","y","y",NA,"Lupin","Y","Y","Y","","Y","Food","",NA,"Pulses","","",NA,1,"Assume distant","1C","","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Lupinus","Lupinus nootkatensis","var.","nootkatensis"
"430","Lupinus polyphyllus","y","y",NA,"Lupin","N","Y","Y","used directly as an ornamental","Y","Food","Ornamentals",NA,"Pulses","Ornamentals","",NA,1,"Progenitor","1A","","","","","","Gene Transfer (F)","Ornamental Features (AG)","Crop Quality (AG)","High Yield (AG)","","GRIN-Global 2021","GRIN-Global 2021","Khoury et al. 2020","Lupinus","Lupinus polyphyllus",NA,NA
"431","Lupinus polyphyllus var. polyphyllus","y","y",NA,"Lupin","Y","Y","Y","used directly as an ornamental","Y","Food","Ornamentals",NA,"Pulses","Ornamentals","",NA,1,"Progenitor","1A","","","","","","Gene Transfer (F)","Ornamental Features (AG)","Crop Quality (AG)","High Yield (AG)","","GRIN-Global 2021","GRIN-Global 2021","Khoury et al. 2020","Lupinus","Lupinus polyphyllus","var.","polyphyllus"
"432","Lupinus polyphyllus var. burkei","","",NA,"Lupin","Y","Y","Y","used directly as an ornamental","Y","Food","Ornamentals",NA,"Pulses","Ornamentals","",NA,1,"Progenitor","1A","","","","","","Gene Transfer (F)","Ornamental Features (AG)","Crop Quality (AG)","High Yield (AG)","","GRIN-Global 2021","GRIN-Global 2021","Khoury et al. 2020","Lupinus","Lupinus polyphyllus","var.","burkei"
"433","Lupinus arbustus","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Lupinus","Lupinus arbustus",NA,NA
"434","Lupinus arcticus","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Lupinus","Lupinus arcticus",NA,NA
"435","Lupinus argenteus","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Lupinus","Lupinus argenteus",NA,NA
"436","Lupinus bicolor","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Lupinus","Lupinus bicolor",NA,NA
"437","Lupinus depressus","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Lupinus","Lupinus depressus",NA,NA
"438","Lupinus kuschei","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Lupinus","Lupinus kuschei",NA,NA
"439","Lupinus latifolius","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Lupinus","Lupinus latifolius",NA,NA
"440","Lupinus lepidus","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Lupinus","Lupinus lepidus",NA,NA
"441","Lupinus leucophyllus","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Lupinus","Lupinus leucophyllus",NA,NA
"442","Lupinus microcarpus","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Lupinus","Lupinus microcarpus",NA,NA
"443","Lupinus oreganus","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Lupinus","Lupinus oreganus",NA,NA
"444","Lupinus perennis","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Lupinus","Lupinus perennis",NA,NA
"445","Lupinus pusillus","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Lupinus","Lupinus pusillus",NA,NA
"446","Lupinus rivularis","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Lupinus","Lupinus rivularis",NA,NA
"447","Lupinus sericeus","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Lupinus","Lupinus sericeus",NA,NA
"448","Lupinus sulphureus","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Lupinus","Lupinus sulphureus",NA,NA
"449","Lysichiton americanus","y","y",NA,"Skunk Cabbage","Y","N","Y","","Y","Food","Ornamentals",NA,"Vegetables","Medicinals","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Lysichiton","Lysichiton americanus",NA,NA
"450","Magnolia acuminata","y","y",NA,"Magnolia","Y","Y","N","","Y","Ornamentals","",NA,"Ornamentals","","",NA,2,NA,"2","Graftstock","","","","","","Ornamental Features (AG)","","","","GRIN-Global 2021","GRIN-Global 2021","","Magnolia","Magnolia acuminata",NA,NA
"451","Mahonia aquifolium","y","y",NA,"Barberry","Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Mahonia","Mahonia aquifolium",NA,NA
"452","Mahonia nervosa","y","y",NA,"Barberry","Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Mahonia","Mahonia nervosa",NA,NA
"453","Mahonia repens","y","y",NA,"Barberry","Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Mahonia","Mahonia repens",NA,NA
"454","Maianthemum dilatatum","y","y",NA,"Maianthemum","Y","N","Y","","Y","Food","Medicinals",NA,"Vegetables","Medicinals","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Maianthemum","Maianthemum dilatatum",NA,NA
"455","Maianthemum racemosum","y","y",NA,"Maianthemum","Y","N","Y","","Y","Food","Medicinals",NA,"Vegetables","Medicinals","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Maianthemum","Maianthemum racemosum",NA,NA
"456","Maianthemum stellatum","y","y",NA,"Maianthemum","Y","N","Y","","Y","Food","Medicinals",NA,"Vegetables","Medicinals","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Maianthemum","Maianthemum stellatum",NA,NA
"457","Malus coronaria","y","y",NA,"Apple","Y","Y","Y","fruit","Y","Food","",NA,"Fruits","","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Malus","Malus coronaria",NA,NA
"458","Melica bulbosa","y","y",NA,"Onion grass","Y","N","Y","bulbs","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Melica","Melica bulbosa",NA,NA
"459","Melica subulata","y","y",NA,"Onion grass","Y","N","Y","bulbs","Y","Food","",NA,"Vegetables","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Melica","Melica subulata",NA,NA
"460","Mentha canadensis","y","y",NA,"Mint","Y","Y","Y","leaves, tea, essential oil","Y","Food","Medicinals",NA,"Herbs and Spices","Medicinals","",NA,1,"Secondary","1B","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","Kuhnlein and Turner 2020","Mentha","Mentha canadensis",NA,NA
"461","Clinopodium douglasii","y","y",NA,"Yerba buena","Y","N","Y","leaves for tea","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Clinopodium","Clinopodium douglasii",NA,NA
"462","Mitchella repens","y","y",NA,"Partidge berry","Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Mitchella","Mitchella repens",NA,NA
"463","Monarda fistulosa","y","y",NA,"Monarda","N","Y","Y","leaves, tea","Y","Ornamentals","Medicinals",NA,"Ornamentals","Medicinals","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Monarda","Monarda fistulosa",NA,NA
"464","Monarda fistulosa var. fistulosa","y","y",NA,"Monarda","Y","Y","Y","leaves, tea","Y","Ornamentals","Medicinals",NA,"Ornamentals","Medicinals","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Monarda","Monarda fistulosa","var.","fistulosa"
"465","Monarda fistulosa var. menthifolia","y","y",NA,"Monarda","Y","Y","Y","leaves, tea","Y","Ornamentals","Medicinals",NA,"Ornamentals","Medicinals","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Monarda","Monarda fistulosa","var.","menthifolia"
"466","Monotropa uniflora","y","y",NA,"Ghost-pipe","Y","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Monotropa","Monotropa uniflora",NA,NA
"467","Morella pensylvanica","y","y",NA,"Bayberry","Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Morella","Morella pensylvanica",NA,NA
"468","Morus rubra","y","y",NA,"Mulberry","Y","Y","Y","mulberry; fruit","Y","Food","",NA,"Fruits","","",NA,2,NA,"2","","","","","","","","","","","Davidson 1995","","Kuhnlein and Turner 2020","Morus","Morus rubra",NA,NA
"469","Myrica gale","y","y",NA,"Bayberry","Y","N","Y","fruit, leaves","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Myrica","Myrica gale",NA,NA
"470","Nicotiana attenuata","y","y",NA,"Tobacco","Y","Y","N","","Y","Food","Medicinals",NA,"Herbs and Spices","Medicinals","",NA,1,"Tertiary","1C","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Nicotiana","Nicotiana attenuata",NA,NA
"471","Nuphar polysepala","y","y",NA,"Water-lily","Y","N","Y","","Y","Food","Medicinals",NA,"Vegetables","Medicinals","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Nuphar","Nuphar polysepala",NA,NA
"472","Nymphaea tetragona","y","y",NA,"Water-lily","Y","Y","N","","Y","Ornamentals","",NA,"Ornamentals","","",NA,2,NA,"2","","","","","","","Ornamental Features (AG)","","","","GRIN-Global 2021","GRIN-Global 2021","","Nymphaea","Nymphaea tetragona",NA,NA
"473","Oemleria cerasiformis","y","y",NA,"Oso","Y","N","Y","fruit","Y","Food","",NA,"Fruits","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Oemleria","Oemleria cerasiformis",NA,NA
"474","Oenanthe sarmentosa","y","y",NA,"Water-parsley","Y","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Oenanthe","Oenanthe sarmentosa",NA,NA
"475","Oplopanax horridus","y","y",NA,"Devils-club","Y","N","Y","","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Oplopanax","Oplopanax horridus",NA,NA
"476","Opuntia fragilis","y","y",NA,"Prickly-pear cactus","Y","N","Y","","Y","Food","",NA,"Fruit","Vegetables","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Opuntia","Opuntia fragilis",NA,NA
"477","Opuntia polyacantha","y","y",NA,"Prickly-pear cactus","N","N","Y","","Y","Food","",NA,"Fruit","Vegetables","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Opuntia","Opuntia polyacantha",NA,NA
"478","Opuntia polyacantha var. polyacantha","y","y",NA,"Prickly-pear cactus","Y","N","Y","","Y","Food","",NA,"Fruit","Vegetables","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Opuntia","Opuntia polyacantha","var.","polyacantha"
"479","Oxybasis rubra","y","y",NA,"Quinoa","N","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Oxybasis","Oxybasis rubra",NA,NA
"480","Oxybasis rubra var. humilis","y","y",NA,"Quinoa","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Oxybasis","Oxybasis rubra","var.","humilis"
"481","Oxybasis rubra var. rubra","y","y",NA,"Quinoa","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Oxybasis","Oxybasis rubra","var.","rubra"
"482","Panax quinquefolius","y","y",NA,"Ginseng","Y","N","Y","roots as tea","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Panax","Panax quinquefolius",NA,NA
"483","Panax trifolius","y","y",NA,"Ginseng","Y","N","Y","roots as tea","Y","Medicinals","",NA,"Medicinals","","",NA,NA,NA,NA,"","","","","","","","","","","Kuhnlein and Turner 2020","","Kuhnlein and Turner 2020","Panax","Panax trifolius",NA,NA
"484","Dichanthelium boreale","y","y",NA,"Proso-millet","Y","Y","N","","Y","Food","","Na","Cereals and pseudocereals","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Dichanthelium","Dichanthelium boreale",NA,NA
"485","Panicum capillare","y","y",NA,"Proso-millet","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,1,"Probable progenitor","1A","","","","","","","","","","","GRIN-Global 2021","GRIN-Global 2021","","Panicum","Panicum capillare",NA,NA
"486","Dichanthelium clandestinum","y","y",NA,"Proso-millet","Y","Y","N","","Y","Food","","Na","Cereals and pseudocereals","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Dichanthelium","Dichanthelium clandestinum",NA,NA
"487","Dichanthelium depauperatum","y","y",NA,"Proso-millet","Y","Y","N","","Y","Food","","Na","Cereals and pseudocereals","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Dichanthelium","Dichanthelium depauperatum",NA,NA
"488","Panicum dichotomiflorum","y","y",NA,"Proso-millet","N","Y","N","","N","Food","","Na","Cereals and pseudocereals","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Panicum","Panicum dichotomiflorum",NA,NA
"489","Panicum dichotomiflorum subsp. dichotomiflorum","y","y",NA,"Proso-millet","Y","Y","N","","N","Food","","Na","Cereals and pseudocereals","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Panicum","Panicum dichotomiflorum","subsp.","dichotomiflorum"
"490","Dichanthelium dichotomum","y","y",NA,"Proso-millet","Y","Y","N","","Y","Food","","Na","Cereals and pseudocereals","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Dichanthelium","Dichanthelium dichotomum",NA,NA
"491","Dichanthelium dichotomum subsp. dichotomum","y","y",NA,"","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","Dichanthelium","Dichanthelium dichotomum","subsp.","dichotomum"
"492","Dichanthelium latifolium","y","y",NA,"Proso-millet","Y","Y","N","","Y","Food","","Na","Cereals and pseudocereals","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Dichanthelium","Dichanthelium latifolium",NA,NA
"493","Dichanthelium leibergii","y","y",NA,"Proso-millet","Y","Y","N","","Y","Food","","Na","Cereals and pseudocereals","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Dichanthelium","Dichanthelium leibergii",NA,NA
"494","Dichanthelium linearifolium","y","y",NA,"Proso-millet","Y","Y","N","","Y","Food","","Na","Cereals and pseudocereals","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Dichanthelium","Dichanthelium linearifolium",NA,NA
"495","Panicum philadelphicum","y","y",NA,"Proso-millet","Y","Y","N","","Y","Food","","Na","Cereals and pseudocereals","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Panicum","Panicum philadelphicum",NA,NA
"496","Panicum sphaerocarpon","y","y",NA,"Proso-millet","Y","Y","N","","Y","Food","","Na","Cereals and pseudocereals","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Panicum","Panicum sphaerocarpon",NA,NA
"497","Panicum virgatum","y","y",NA,"Proso-millet","Y","Y","N","","Y","Food","",NA,"Cereals and pseudocereals","","",NA,2,NA,"2","","","","","","","","","","","GRIN-Global 2021","","","Panicum","Panicum virgatum",NA,NA
"498","Dichanthelium wilcoxianum","y","y",NA,"Proso-millet","Y","Y","N","","Y","Food","","Na","Cereals and pseudocereals","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Dichanthelium","Dichanthelium wilcoxianum",NA,NA
"499","Dichanthelium xanthophysum","y","y",NA,"Proso-millet","Y","Y","N","","Y","Food","","Na","Cereals and pseudocereals","","",NA,1,"Assume distant","1C","","","","","","","","","","","Davidson 1995","","","Dichanthelium","Dichanthelium xanthophysum",NA,NA
