PRIMARY_ASSOCIATED_CROP_COMMON_NAME,TAXON,GENUS,SPECIES,RANK,INFRASPECIFIC,ROUNDED_G_RANK,ROUNDED_N_RANK,CURRENT_US_DISTRIBUTION,CURRENT_CA_DISTRIBUTION,COSEWIC_DESC,FINEST_TAXON_RESOLUTION,CWR,WUS,WUS_NOTES,NATIVE,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_1,PRIMARY_ASSOCIATED_CROP_TYPE_GENERAL_2,SECONDARY_ASSOCIATED_CROP_TYPE_GENERAL,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_1,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_2,PRIMARY_CROP_OR_WUS_USE_SPECIFIC_3,SECONDARY_CROP_OR_WUS_USE_1,TIER,GENEPOOL,CATEGORY,GRAFTSTOCK,ABIOTIC_TRAIT_2,ABIOTIC_TRAIT_3,BIOTIC_TRAIT_1,BIOTIC_TRAIT_2,FERTILITY_TRAIT,AGRONOMIC_TRAIT_1,AGRONOMIC_TRAIT_2,AGRONOMIC_TRAIT_3,PHENOLOGICAL_TRAIT,SOURCE_OF_TAXON,GENEPOOL__GRAFTSTOCK_TRAITS_SOURCE,WUS_SOURCE
Bluejoint,Calamagrostis purpurascens,Calamagrostis,Calamagrostis purpurascens,NA,NA,G5,N5,"AB(S4), BC(S5), MB(S2), NF(SH), NT(S5), NU(S4), ON(S2), QC(SNR), SK(S3), YT(S5)","AK(SNR), CA(SNR), CO(SNR), ID(SNR), MN(S1), MT(S4?), NM(SNR), NV(SNR), OR(SNR), SD(SNR), UT(SNR), WA(SNR), WY(S3)",,Y,Y,N,,Y,Food,,NA,Forage and Feed,,,NA,2,NA,2,,,,,,,,,,,GRIN-Global 2021,,
Cypress,Callitropsis nootkatensis,Callitropsis,Callitropsis nootkatensis,NA,NA,G4,N4,BC(S4),"AK(S4), CA(S3), OR(S4), WA(SNR)",,Y,Y,N,,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,Davidson 1995,,
Marsh marigold,Caltha leptosepala,Caltha,Caltha leptosepala,NA,NA,G5,N5,"AK(SNR), AZ(S2S3), CA(SNR), CO(SNR), ID(SNR), MT(S4), NM(SNR), NV(SNR), OR(SNR), UT(SNR), WA(SNR), WY(S3S4)","AB(S4), BC(SNR), YT(S3)",,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Orchid,Calypso bulbosa,Calypso,Calypso bulbosa,NA,NA,G5,N5,"AK(S4), AZ(S3), CA(SNR), CO(S4?), ID(SNR), ME(S3S4), MI(S2), MN(SNR), MT(S4S5), NH(SNR), NM(SNR), NN(S1), NY(SH), OR(SNR), SD(S3), UT(S4), VT(SH), WA(SNR), WI(S2), WY(S3)","AB(S5?), BC(S5), MB(S4), NB(S2), NF(S1), NT(S4), NU(S2), ON(S4?), QC(SNR), SK(S3), YT(S3S4)",,N,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Orchid,Calypso bulbosa var. americana,Calypso,Calypso bulbosa,var.,americana,T5,N5,"AK(S3S4), AZ(S3), CO(SNR), ME(SNR), MI(SNR), MN(SNR), MT(S4), NH(SH), NM(SNR), NY(SH), SD(SNR), UT(SNR), VT(SH), WA(SNR), WI(SNR), WY(S3)","AB(S5?), BC(S5), MB(S4), NB(S2), NF(S1), NT(S4), NU(S2), ON(S4?), QC(S3), SK(S3), YT(S3S4)",,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Orchid,Calypso bulbosa var. occidentalis,Calypso,Calypso bulbosa,var.,occidentalis,T5,N5,"AK(S3?), CA(SNR), ID(SNR), MT(S4), OR(SNR), WA(SNR)",BC(S5),,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Camas,Camassia leichtlinii,Camassia,Camassia leichtlinii,NA,NA,G4,N4,"CA(SNR), NV(SNR), OR(SNR), WA(SNR)",BC(S4),,N,N,Y,bulbs,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Camas,Camassia leichtlinii subsp. suksdorfii,Camassia,Camassia leichtlinii,subsp.,suksdorfii,T4,N4,BC(S4),"CA(SNR), NV(SNR), OR(SNR), WA(SNR)",,Y,N,Y,bulbs,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Camas,Camassia quamash,Camassia,Camassia quamash,NA,NA,G5,N5,"CA(SNR), ID(SNR), MT(S4S5), NV(SNR), OR(SNR), UT(SNR), WA(SNR), WY(S2)","AB(S3), BC(S5)",,N,N,Y,bulbs,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Camas,Camassia quamash subsp. maxima,Camassia,Camassia quamash,subsp.,maxima,T4,N4,BC(S4),"OR(SNR), WA(SNR)",,Y,N,Y,bulbs,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Camas,Camassia quamash subsp. quamash,Camassia,Camassia quamash,subsp.,quamash,T4,N4,"AB(S3), BC(S4)","ID(SNR), MT(SNR), OR(SNR), WA(SNR), WY(S2)",,Y,N,Y,bulbs,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Sedge,Carex obnupta,Carex,Carex obnupta,NA,NA,G5,N5,"CA(SNR), OR(SNR), WA(SNR)",BC(S5),,Y,N,Y,material for weaving,Y,Materials,,NA,Materials,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Blue-beech,Carpinus caroliniana,Carpinus,Carpinus caroliniana,NA,NA,NA,NA,NA,NA,,N,Y,N,,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,CANADENSYS 2021,,
Blue-beech,Carpinus caroliniana subsp. virginiana,Carpinus,Carpinus caroliniana,subsp.,virginiana,NA,NA,NA,NA,,Y,Y,N,,Y,Forest Resources,,NA,Forest Resources,,,NA,2,NA,2,,,,,,,,,,,CANADENSYS 2021,,
"Pecan, Hickory",Carya cordiformis,Carya,Carya cordiformis,NA,NA,G5,N5,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(S5), FL(SNR), GA(SNR), GS(P4), IA(S4), IL(S5), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), ME(S1), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S4), NE(SNR), NH(SNR), NJ(S4), NY(S5), OH(SNR), OK(SNR), PA(S5), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S5), VT(SNR), WI(SNR), WV(S5)","ON(S5), QC(SNR)",,Y,Y,Y,"swamp hickory, bitternut hickory; nuts",Y,Food,Materials,NA,Nuts,Materials,,NA,1,Primary,1A,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
"Pecan, Hickory",Carya glabra,Carya,Carya glabra,NA,NA,G5,N3,"AL(SNR), AR(SNR), CT(SNR), DC(S5), DE(S5), FL(SNR), GA(SNR), GS(P5?), IL(S4S5), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), MI(SNR), MO(S4), MS(SNR), NC(S5), NH(SNR), NJ(SNR), NY(S5), OH(SNR), PA(S5), RI(SNR), SC(SNR), TN(SNR), TV(SNR), TX(SNR), VA(S5), VT(S2), WV(S5)",ON(S3),,Y,Y,Y,pignut hickory; nuts,Y,Food,Materials,NA,Nuts,Materials,,NA,1,Secondary,1B,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
"Pecan, Hickory",Carya laciniosa,Carya,Carya laciniosa,NA,NA,G5,N3,"AL(SNR), AR(SNR), DE(SNR), GA(S2?), IA(S3), IL(S2S3), IN(SNR), KS(S2), KY(S5), MA(SNR), MD(S1), ME(SNA), MI(S3), MO(SNR), MS(S2), NC(S1), NE(SNR), NJ(SNR), NY(S2), OH(SNR), OK(SNR), PA(S3S4), TN(SNR), TV(SNR), TX(SNR), WV(S4)",ON(S3),,Y,Y,N,,Y,Food,Materials,NA,Nuts,Materials,,NA,1,Primary,1A,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,
"Pecan, Hickory",Carya ovalis,Carya,Carya ovalis,NA,NA,G5,NNA,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(S4), FL(SNR), GA(S5), GS(P2?), IA(SNR), IL(S3S4), IN(SNR), KY(S4?), LA(SNR), MA(SNR), MD(SNR), ME(SNA), MI(SNR), MO(SNR), MS(SNR), NC(S4), NH(SNR), NJ(S5), NY(S5), OH(SNR), OK(SNR), PA(S4), RI(SNR), SC(SNR), TN(SNR), VA(S5), VT(SNR), WV(S4)",,,Y,Y,Y,false shagbark hickory; nuts,Y,Food,Materials,NA,Nuts,Materials,,NA,1,Secondary,1B,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
"Pecan, Hickory",Carya ovata,Carya,Carya ovata,NA,NA,G5,N5,"AL(SNR), AR(SNR), CT(SNR), DC(SNR), DE(SNR), GA(SNR), IA(SNR), IL(SNR), IN(SNR), KS(SNR), KY(SNR), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(SNR), NE(SNR), NH(SNR), NJ(SNR), NY(SNR), OH(SNR), OK(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(SNR), VT(SNR), WI(SNR), WV(SNR)","ON(S5), QC(SNR)",,N,Y,Y,shagbark hickory; nuts,Y,Food,Materials,NA,Nuts,Materials,,NA,1,Primary,1A,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
Chestnut,Castanea dentata,Castanea,Castanea dentata,NA,NA,G3,N1,"AL(SNR), CT(SNR), DC(S1S2), DE(S4), FL(SX), GA(S3), GS(P3), IA(SNA), IL(SX), IN(S1), KY(S1?), MA(SNR), MD(S2S3), ME(S4), MI(S1S2), MO(SNR), MS(S1), NC(S4), NH(SNR), NJ(S4), NY(S5), OH(S3), PA(S5), RI(SNR), SC(SNR), TN(S2S3), TV(SNR), VA(S4), VT(S3), VT(S3), WI(SNR), WV(S3)","BC(SNA), ON(S1S2)",E - Endangered (E) / En voie de disparition (VD),Y,Y,Y,american chestnut'; nuts,Y,Food,Ornamentals,NA,Nuts,Ornamentals,,NA,1,Primary,1A,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
Hackberry,Celtis occidentalis,Celtis,Celtis occidentalis,NA,NA,G5,N4,"AL(SNR), AR(SNR), CT(SNR), DC(S5), DE(S5), GA(SNR), GS(P1), IA(S5), ID(SNR), IL(S5), IN(SNR), KS(SNR), KY(S5), LA(SNR), MA(SNR), MD(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(SNR), NC(S2), ND(SNR), NE(SNR), NH(S3), NJ(S5), NM(SNR), NY(S4), OH(SNR), OK(SNR), PA(S5), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TV(SNR), TX(SNR), VA(S5), VT(S4), WI(SNR), WV(S5), WY(S1)","MB(S1?), ON(S4), QC(S3)",,Y,Y,Y,hackberry; fruit,Y,Ornamentals,Forest Resources,NA,Ornamentals,Forest Resources,,NA,2,NA,2,Graftstock,,,,,,,,,,Davidson 1995,GRIN-Global 2021,Kuhnlein and Turner 2020
Buttonbush,Cephalanthus occidentalis,Cephalanthus,Cephalanthus occidentalis,NA,NA,NA,NA,NA,NA,,Y,Y,N,,Y,Ornamentals,Forest Resources,NA,Ornamentals,Forest Resources,,NA,2,NA,2,,,,,,,,,,,CANADENSYS 2021,,
Fireweed,Chamaenerion angustifolium,Chamaenerion,Chamaenerion angustifolium,NA,NA,G5,N5,"AK(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DE(SNR), IA(S3), ID(SNR), IL(S2S4), IN(S1), KY(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MT(S5), ND(SNR), NE(S3), NH(SNR), NJ(SNR), NM(SNR), NV(SNR), NY(SNR), OH(S1), OR(SNR), PA(SNR), RI(SNR), SD(SNR), TN(S1), TV(SNR), UT(SNR), VA(SNR), VT(SNR), WA(SNR), WI(SNR), WV(S4), WY(S5)","AB(S5), BC(S5), LB(S5), MB(S5), NB(S5), NF(S5), NS(S5), NT(SNR), NU(S4), ON(S5), PE(S5), QC(SNR), SK(S4), YT(S5)",,N,N,Y,greens food; honey plant,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Fireweed,Chamaenerion angustifolium subsp. angustifolium,Chamaenerion,Chamaenerion angustifolium,subsp.,angustifolium,T5,N5,"AB(SU), BC(SNR), LB(SU), MB(S5?), NF(SU), NT(SNR), NU(S4), ON(S5?), QC(S5), SK(S4), YT(S4S5)","AK(SNR), MN(SNR), MT(SNR), RI(SNR), WA(SNR), WV(S2), WY(S4S5)",,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Fireweed,Chamaenerion angustifolium subsp. circumvagum,Chamaenerion,Chamaenerion angustifolium,subsp.,circumvagum,T5,N5,"AB(SU), BC(SNR), MB(S5?), NB(S5), NF(SU), NS(S5), NT(SNR), ON(S5), PE(S5), QC(S4), SK(S4)","AK(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DE(SH), IA(SNR), ID(SNR), IL(SNR), IN(SNR), KY(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MT(SNR), NC(S1), ND(SNR), NE(SNR), NH(SNR), NJ(SH), NM(SNR), NV(SNR), NY(SNR), OH(SNR), OR(SNR), PA(SNR), RI(SNR), SD(SNR), TN(SNR), UT(SNR), VA(SNR), VT(SNR), WA(SNR), WI(SNR), WV(S4), WY(SNR)",,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Quinoa,Chenopodiastrum simplex,Chenopodiastrum,Chenopodiastrum simplex,NA,NA,G5,N5,"AR(SNR), CA(S4), CO(SNR), CT(SNR), DE(S4), FL(SNR), IA(S3), ID(SNR), IL(SNR), IN(SNR), KS(SNR), KY(S4), LA(SNR), MA(S3?), MD(S2), ME(SNR), MI(SNR), MN(SNR), MO(SNR), MT(SNR), NC(S1), ND(SNR), NE(SNR), NH(SNR), NJ(S2), NM(SNR), NV(SNR), NY(SNA), OH(SNR), OK(SNR), OR(SNR), PA(S5), RI(SNR), SD(SNR), TN(SNR), TV(SNR), TX(SNR), UT(SNR), VA(S3), VT(SNR), WA(SNR), WI(SNR), WV(S4), WY(S2)","AB(S4), BC(S5), MB(S5), NB(S1), ON(S5), QC(S4), SK(S4), YT(S1)",,Y,Y,N,,Y,Food,,NA,Cereals and pseudocereals,,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,
Quinoa,Chenopodium berlandieri,Chenopodium,Chenopodium berlandieri,NA,NA,G5,N5,"AK(SNR), AL(SNR), AR(SNR), AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DC(SNR), DE(S4), FL(SNR), GA(SNR), IA(S3), ID(SNR), IL(SNR), IN(SNR), KS(SNR), KY(SNA), LA(SNR), MA(SNR), MD(SNR), ME(S4?), MI(SNR), MN(SNR), MO(SNR), MS(SNR), MT(SU), NC(SNR), ND(SNR), NE(SNR), NH(SNR), NJ(SNR), NM(SNR), NV(SNR), NY(SNR), OH(SNR), OK(SNR), OR(SNR), PA(SNA), RI(SNR), SC(SNR), SD(SNR), TN(SNR), TX(SNR), UT(SNR), VA(SNR), VT(S1), VT(S1), VT(S1), WA(SNR), WI(SNR), WV(SNA), WY(S5)","AB(S3), BC(S5), MB(S3), NB(S4?), NS(SU), NT(SNR), PE(SU), QC(SNA), SK(S5), YT(SU)",,N,Y,Y,lambsquarters; greens and seeds,Y,Food,,NA,Cereals and pseudocereals,,,NA,1,Secondary,1B,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
Quinoa,Chenopodium berlandieri var. bushianum,Chenopodium,Chenopodium berlandieri,var.,bushianum,T4,N1,"AL(SNR), AR(SNR), CT(SNR), DC(SNA), IA(SNA), IL(S3S4), IN(SNR), KS(S2), KY(SNA), LA(SNR), MA(SNR), MD(SNR), ME(SNR), MI(SNR), MN(SNR), MO(SNR), NC(SNR), ND(SNR), NH(SNR), NY(S5), OH(SNR), PA(SNR), RI(SNR), SD(SNR), TN(SNR), VA(SNR), VT(S1), WI(SNR), WV(SNA)","ON(S1S2), QC(SNA)",,Y,Y,Y,lambsquarters; greens and seeds,Y,Food,,NA,Cereals and pseudocereals,,,NA,1,Secondary,1B,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
Quinoa,Chenopodium berlandieri var. macrocalycium,Chenopodium,Chenopodium berlandieri,var.,macrocalycium,T4,N4,"IN(SNR), MA(SNR), NC(SNR), NJ(S3), NY(S1S2), RI(SNR), VA(SNR), VT(SU)","NB(S4?), NS(SU), PE(SU)",,Y,Y,Y,lambsquarters; greens and seeds,Y,Food,,NA,Cereals and pseudocereals,,,NA,1,Secondary,1B,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
Quinoa,Chenopodium berlandieri var. zschackei,Chenopodium,Chenopodium berlandieri,var.,zschackei,T5,N5,"AK(SNR), AR(SNR), AZ(SNR), CA(SNR), CO(SNR), FL(SNR), IA(SNR), ID(SNR), IL(S3S4), IN(SNR), KS(SNR), LA(SNR), MA(SNR), MN(SNR), MO(SNR), MT(SNR), NC(SNR), ND(SNR), NE(SNR), NM(SNR), NV(SNR), OH(SNR), OK(SNR), OR(SNR), PA(SNR), SC(SNR), SD(SNR), TX(SNR), UT(SNR), VT(SNA), WA(SNR), WI(SNR), WV(SNR), WY(S5)","AB(S3), BC(S5), MB(S3), NT(SNR), ON(SU), QC(SU), SK(S5), YT(SU)",,Y,Y,Y,lambsquarters; greens and seeds,Y,Food,,NA,Cereals and pseudocereals,,,NA,1,Secondary,1B,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,Kuhnlein and Turner 2020
Quinoa,Chenopodium desiccatum,Chenopodium,Chenopodium desiccatum,NA,NA,G5,N4,"AZ(SNR), CA(SNR), CO(SNR), IA(S5), ID(SNR), IL(SNR), LA(SNR), MN(SNR), MT(SNR), NE(S3S5), NM(SNR), NV(SNR), NY(SNA), SD(SNR), UT(SNR), VT(SNA), WY(S3)","AB(S3), BC(SNR), NB(SNA), SK(S3)",,Y,Y,N,,Y,Food,,NA,Cereals and pseudocereals,,,NA,1,Tertiary,1C,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,
Quinoa,Chenopodium fremontii,Chenopodium,Chenopodium fremontii,NA,NA,G5,N5,"AZ(SNR), CA(SNR), CO(SNR), ID(SNR), KS(S1), MT(SNR), ND(SNR), NE(S4S5), NM(SNR), NV(SNR), NY(SNA), OR(SNR), SD(SNR), TX(SNR), UT(SNR), WA(SNR), WY(S3)","AB(S2), BC(S5), MB(S3), SK(S4)",,Y,Y,Y,fremont's goosefoot; greens and seeds,Y,Food,,NA,Cereals and pseudocereals,,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
Quinoa,Chenopodium hians,Chenopodium,Chenopodium hians,NA,NA,G5,NU,"AZ(SNR), CA(SNR), CO(SNR), NM(SNR), NV(SNR), OR(SNR), TX(SNR), UT(SNR), WA(SNR), WY(S2)","AB(SU), BC(SU), SK(SH), YT(SU)",,Y,Y,N,,Y,Food,,NA,Cereals and pseudocereals,,,NA,1,Tertiary,1C,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,
Quinoa,Chenopodium leptophyllum,Chenopodium,Chenopodium leptophyllum,NA,NA,G5,NNR,"AZ(SNR), CA(SNR), CO(SNR), CT(SNR), DE(SNR), IA(SNR), ID(SNR), IL(SNR), IN(SNR), KS(SNR), KY(SNR), ME(SNR), MN(SNR), MO(SNR), MT(SNR), NC(SNR), ND(SNR), NE(SNR), NH(SNR), NM(SNR), NV(SNR), OH(SNR), OK(SNR), OR(SNR), PA(SNR), RI(SNR), SD(SNR), TX(SNR), UT(SNR), VA(SNR), VT(SNR), WA(SNR), WI(SNR), WY(SNR)","AB(SNR), BC(SNR), ON(SNR), SK(S4)",,Y,Y,Y,narrow leaved goosefoot; greens and seeds,Y,Food,,NA,Cereals and pseudocereals,,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,Kuhnlein and Turner 2020
Quinoa,Chenopodium watsonii,Chenopodium,Chenopodium watsonii,NA,NA,G5,N3,"AZ(SNR), CO(SNR), KS(SH), ME(SNA), MO(SNR), MT(SNR), NM(SNR), SD(SNR), UT(SNR), WY(S1)","AB(S2), SK(S3)",,Y,Y,N,,Y,Food,,NA,Cereals and pseudocereals,,,NA,1,Tertiary,1C,,,,,,,,,,,GRIN-Global 2021,GRIN-Global 2021,
Spring-beauty,Claytonia caroliniana,Claytonia,Claytonia caroliniana,NA,NA,G5,N5,"AL(S1), AR(SU), CT(SNR), GA(SNR), GS(P4), IL(SNR), IN(SNR), KY(S5), LA(SNR), MA(SNR), MD(S3), ME(SNR), MI(SNR), MN(S3), NC(S4), NH(SNR), NY(S5), OH(SNR), PA(SNR), TN(SNR), TV(SNR), VA(S4), VT(SNR), WI(SNR), WV(S5)","NB(S4S5), NF(S2), NS(S4), ON(S5), PE(S1S2), QC(S5?)",,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Spring-beauty,Claytonia lanceolata,Claytonia,Claytonia lanceolata,NA,NA,G5,N5,"CA(SNR), CO(SNR), ID(S5), MT(S5), NM(SNR), NV(SNR), OR(SNR), UT(SNR), WA(SNR), WY(S4)","AB(S4), BC(S5), SK(S2)",,Y,N,Y,"greens, very important",Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Spring-beauty,Claytonia megarhiza,Claytonia,Claytonia megarhiza,NA,NA,G5,N3,"CA(S2), CO(SNR), ID(SNR), MT(S3S4), NM(SNR), NV(SNR), OR(SNR), UT(SNR), WA(SNR), WY(S3)","AB(S3), BC(S3), NT(SNR), YT(S1)",,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Spring-beauty,Claytonia perfoliata,Claytonia,Claytonia perfoliata,NA,NA,G5,N5,"AR(SNR), AZ(SNR), CA(SNR), CO(S4), ID(SNR), MT(SNR), NM(SNR), NV(SNR), OR(SNR), UT(SNR), WA(SNR), WY(S2)",BC(S5),,N,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Spring-beauty,Claytonia perfoliata subsp. intermontana,Claytonia,Claytonia perfoliata,subsp.,intermontana,TNR,N2,BC(S2S3),"AZ(SNR), CA(SNR), CO(SNR), ID(SNR), MT(SNR), NV(SNR), OR(SNR), UT(SNR), WA(SNR), WY(S2)",,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Spring-beauty,Claytonia perfoliata subsp. perfoliata,Claytonia,Claytonia perfoliata,subsp.,perfoliata,TNR,N4,BC(S5),"AR(SNR), CA(SNR), CO(SNR), ID(SNR), MT(SNR), NV(SNR), OR(SNR), UT(SNR), WA(SNR), WY(SNR)",,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Spring-beauty,Claytonia sibirica,Claytonia,Claytonia sibirica,NA,NA,G5,N5,"AK(SNR), CA(SNR), ID(SNR), MA(SNR), MT(SNR), OR(SNR), WA(SNR)",BC(S5),,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Spring-beauty,Claytonia virginica,Claytonia,Claytonia virginica,NA,NA,G5,N5,"AL(SNR), AR(SNR), CT(SNR), DC(S5), DE(SNR), GA(SNR), GS(P2?), IA(S4), IL(S5), IN(SNR), KS(SNR), KY(SNR), LA(SNR), MA(S1), MD(SNR), MI(SNR), MN(SNR), MO(SNR), MS(SNR), NC(S5), NE(S1), NJ(SNR), NY(S5), OH(SNR), OK(SNR), PA(SNR), RI(SH), SC(SNR), TN(SNR), TX(SNR), VA(S5), VT(S2), WI(SNR), WV(S5)","ON(S5), QC(S2)",,Y,N,Y,,Y,Food,,NA,Vegetables,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Yerba buena,Clinopodium douglasii,Clinopodium,Clinopodium douglasii,NA,NA,G5,N5,"AK(S1), CA(SNR), ID(SNR), MT(S3), OR(SNR), WA(SNR)",BC(S5),,Y,N,Y,leaves for tea,Y,Medicinals,,NA,Medicinals,,,NA,NA,NA,NA,,,,,,,,,,,Kuhnlein and Turner 2020,,Kuhnlein and Turner 2020
Proso-millet,Coleataenia longifolia,Coleataenia,Coleataenia longifolia,NA,NA,G4,N3,"GS(P1), IL(SX), IN(SNR), MA(SNR), MI(S2), NH(SNR), OH(SH), PA(S1), RI(SNR)",NS(S3),,N,Y,N,,Y,Food,,NA,Cereals and pseudocereals,,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,
Proso-millet,Coleataenia longifolia subsp. longifolia,Coleataenia,Coleataenia longifolia,subsp.,longifolia,T5,N3,NS(S3),"AL(SNR), AR(SNR), CT(SU), DC(SNR), DE(S4), FL(SNR), GA(SNR), IL(SNR), IN(S1), LA(SNR), MA(S2), MD(SNR), MI(SNR), MO(SU), MS(SNR), NC(S4), NH(SH), NJ(S4S5), NY(SNR), OH(SNR), PA(SNR), RI(SNR), SC(SNR), TN(SNR), TX(SNR), VA(S5?)",,Y,Y,N,,Y,Food,,NA,Cereals and pseudocereals,,,NA,1,Assume distant,1C,,,,,,,,,,,Davidson 1995,,
